LOCALIDADES,Coxcatln,Chalma,Papatlatla,Tezapotla,San Martn Chalchicuautla,Tancanhuitz,Colonia las Flores,Tehuetln,Tampamoln Corona,Nuevo Tampan,Tampate,Chapulhuacanito,Tambaca,Chililico,Chalchocoyo,Coacuilco,Ahuatitla,Agua Buena,Huautla,Matlapa,Huitzitzilingo,Ixcatepec,Chapulhuacn,Calnali,Santa Teresa,Ozuluama de Mascareas,Molango,Tamasopo,Jacala,Potrero del Llano,Chicontepec de Tejeda,Citlaltpec,Tamaln,Tamiahua,Tepetzintla,Tlanchinol,Chinampa de Gorostiza,Jaltocn,San Vicente Tancuayalab,Xilitla,Orizatln,Axtla de Terrazas,El Higo,Tanquin de Escobedo,Platn Snchez,Jalpan de Serra,Tempoal de Snchez,Tamun,Naranjos,Cerro Azul,Tamazunchale,Tantoyuca,Huejutla de Reyes,Pnuco,Ciudad Valles, 
Tampate,0,0,0,0,0,12.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.141, 
Chapulhuacanito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tambaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.417, 
Chililico,0,0,0,0,0,0,0,15.277,0,0,0,0,0,0,0,0,0,0,31.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.281,0,0, 
Chalchocoyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Coacuilco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.487,0,0,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Ahuatitla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Agua Buena,0,0,0,0,0,0,0,0,0,0,0,0,12.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Huautla,0,0,0,0,0,0,0,0,0,0,0,0,0,31.312,0,0,0,0,0,0,0,0,0,0,34.051,0,0,0,0,0,25.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Matlapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.649,0,0,0,0,0,0,0,0,17.215,0,0,0,0, 
Huitzitzilingo,0,0,0,0,0,0,0,0,0,0,0,7.087,0,0,0,0,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.435,0,0,0,0, 
Ixcatepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.09,0,0,29.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.723,0,0,0, 
Chapulhuacn,0,0,0,23.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Calnali,0,0,22.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Santa Teresa,0,0,11.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Ozuluama de Mascareas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Molango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tamasopo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Jacala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Potrero del Llano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.654,0,0,0,0,0, 
Chicontepec de Tejeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Citlaltpec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.09,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tamaln,0,0,0,0,0,0,14.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.09,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tamiahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.897,0,0,0,0,0,0, 
Tepetzintla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.731,0,0,0,0,0,0,0,17.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tlanchinol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.487,0,0,0,0,0,0,0,0,0,0,35.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Chinampa de Gorostiza,0,0,0,0,0,0,6.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Jaltocn,0,0,0,0,0,0,0,0,0,0,0,0,0,16.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
San Vicente Tancuayalab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.098,0,0,0,0,0,0,0, 
Xilitla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.269,0,0,0,82.328,0,0,0,0,0,0,0,0,0, 
Orizatln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Axtla de Terrazas,16.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
El Higo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.657,0,0,0,0,0,0,50.612,0, 
Tanquin de Escobedo,0,0,0,0,0,0,0,0,19.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Platn Snchez,0,12.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.574,0,0,0, 
Jalpan de Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tempoal de Snchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.657,0,0,0,0,0,0,0,0,28.047,0,0,0, 
Tamun,0,0,0,0,0,0,0,0,0,31.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.414, 
Naranjos,0,0,0,0,0,0,2.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Cerro Azul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tamazunchale,0,0,0,19.952,26.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.215,36.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Tantoyuca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.574,0,28.047,0,0,0,0,0,0,0,0, 
Huejutla de Reyes,0,11.539,0,0,0,0,0,0,0,0,0,0,0,3.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Pnuco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.612,0,0,0,0,0,0,0,0,0,0,0,0, 
Ciudad Valles,0,0,0,0,0,0,0,0,0,0,53.141,0,40.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.414,0,0,0,0,0,0,0, 
