LOCALIDADES,Pueblo Mayo,Cuauhtmoc (Campo Cinco),Paredn Colorado (Paredn Viejo),Sahuaral,Rosario,Baha de Lobos,Ycora,Basconcobe,Quetchehueca,Bacame Nuevo,Yavaros (Isla las Viejas),Heroica Muleg,Bcum,San Jos de Bcum,Buaysiacobe,Providencia,La Unin,Puerto San Carlos,Francisco Javier Mina (Campo 60),Ptam,Villa Alberto Andrs Alvarado Armburo,San Ignacio Ro Muerto,Ccorit,Bacobampo,Marte R. Gmez (Tobarito),Ciudad Insurgentes,Alamos,Vcam (Switch),Etchojoa,Santa Rosala,Villa Jurez,Pueblo Yaqui,Loreto,Huatabampo,Esperanza,Ciudad Constitucin,Empalme,Heroica Guaymas,Navojoa,Ciudad Obregn, 
Yavaros (Isla las Viejas),76.191,135.228,77.337,34.555,196.405,174.974,324.951,38.037,99.566,69.531,0,479.655,154.217,156.485,60.828,140.998,28.251,699.365,150.066,198.844,560.577,163.689,146.922,50.273,114.294,668.165,118.432,183.58,38.555,419.699,82.561,126.537,613.178,27.379,143.335,642.371,252.513,260.993,64.014,133.465, 
Heroica Muleg,396.908,344.561,398.262,429.715,411.661,271.67,629.284,425.701,373.698,401.829,479.655,0,323.697,332.986,411.019,336.741,454.478,338.555,337.414,297.017,204.769,331.129,337.629,424.154,362.096,253.894,467.183,297.153,433.287,63.891,393.415,353.764,134.676,451.159,336.834,280.525,232.047,227.598,415.588,347.827, 
Bcum,71.47,20.818,69.531,104.277,99.616,54.573,227.178,100.263,45.561,76.391,154.217,323.697,0,9.74,85.976,13.495,129.435,661.579,14.168,43.365,405.099,32.091,14.656,99.111,37.053,576.917,142.14,28.101,108.244,264.221,68.372,30.518,457.7,126.116,25.019,603.549,97.035,105.515,90.545,20.892, 
San Jos de Bcum,73.738,21.999,70.752,106.545,108.905,45.209,236.467,102.531,46.792,78.659,156.485,332.986,9.74,0,88.207,15.726,131.666,670.847,8.919,52.633,414.367,21.793,21.625,101.342,39.284,586.185,144.371,37.369,110.475,273.489,69.431,28.737,466.968,128.347,34.287,612.817,106.303,114.783,92.776,23.123, 
Buaysiacobe,25.286,75.593,29.813,18.406,137.536,115.34,266.082,14.392,48.062,18.125,60.828,411.019,85.976,88.207,0,72.892,35.663,709.656,81.96,130.738,492.471,95.583,78.816,13.376,53.799,678.456,88.948,115.474,22.509,351.593,22.067,66.042,545.072,32.344,75.229,652.662,184.407,192.887,37.353,65.358, 
Providencia,58.251,10.665,59.605,91.058,91.01,58.188,218.572,87.044,34.192,63.172,140.998,336.741,13.495,15.726,72.892,0,116.199,674.623,16.493,56.409,418.143,35.661,10.663,85.875,23.817,589.961,128.904,41.145,95.008,277.265,55.136,20.334,470.744,112.88,15.246,616.593,110.079,118.559,77.309,7.656, 
La Unin,60.016,119.053,61.162,18.38,180.23,158.799,308.776,21.862,83.391,53.356,28.251,454.478,129.435,131.666,35.663,116.199,0,672.036,124.937,173.715,535.448,138.56,121.793,25.144,89.165,640.836,93.303,158.451,13.426,394.57,57.432,101.408,588.049,4.037,118.206,615.042,227.384,235.864,38.885,108.336, 
Puerto San Carlos,693.429,681.963,733.272,685.24,749.063,609.072,966.686,688.722,711.1,696.747,699.365,338.555,661.579,670.847,709.656,674.623,672.036,0,674.781,634.384,542.136,668.496,674.996,690.613,699.463,84.988,696.933,634.52,680.614,401.258,721.688,691.131,204.508,675.478,674.201,59.194,569.414,564.965,673.972,685.194, 
Francisco Javier Mina (Campo 60),67.32,14.092,63.254,100.126,113.333,41.843,240.895,96.112,38.835,72.24,150.066,337.414,14.168,8.919,81.96,16.493,124.937,674.781,0,56.919,418.653,19.344,24.808,94.597,33.207,590.471,137.627,41.655,103.73,277.775,61.933,21.239,471.254,121.603,38.573,617.103,110.589,119.069,86.031,19.3, 
Ptam,116.097,63.749,117.451,148.904,130.849,48.79,258.411,144.89,92.886,121.018,198.844,297.017,43.365,52.633,130.738,56.409,173.715,634.384,56.919,0,378.282,44.237,57.187,143.713,81.655,550.1,186.742,16.711,152.846,237.404,112.974,73.323,430.883,170.718,56.392,576.732,70.218,78.698,135.147,67.386, 
Villa Alberto Andrs Alvarado Armburo,477.83,425.483,479.184,510.637,492.583,352.592,710.206,506.623,454.62,482.751,560.577,204.769,405.099,414.367,492.471,418.143,535.448,542.136,418.653,378.282,0,412.05,418.55,505.075,443.017,457.508,548.104,378.074,514.208,142.299,474.336,434.685,338.291,532.08,417.755,484.14,312.968,308.519,496.509,428.748, 
San Ignacio Ro Muerto,80.942,26.039,69.746,113.749,131.256,23.992,258.818,109.735,45.761,85.863,163.689,331.129,32.091,21.793,95.583,35.661,138.56,668.496,19.344,44.237,412.05,0,43.997,105.976,40.148,584.268,149.005,36.309,115.109,271.572,68.425,27.731,465.051,132.981,56.659,610.9,104.386,112.866,97.409,38.456, 
Ccorit,64.175,19.683,65.529,96.982,79.164,81.347,206.726,92.968,40.964,69.096,146.922,337.629,14.656,21.625,78.816,10.663,121.793,674.996,24.808,57.187,418.55,43.997,0,91.741,29.683,588.196,134.77,39.38,100.874,275.5,61.002,29.38,468.979,118.746,3.911,614.828,108.314,116.794,83.175,15.413, 
Bacobampo,45.175,88.728,38.875,7.851,150.671,128.475,279.217,3.837,61.104,31.069,50.273,424.154,99.111,101.342,13.376,85.875,25.144,690.613,94.597,143.713,505.075,105.976,91.741,0,66.841,663.245,78.856,128.609,11.99,364.728,35.108,79.084,558.207,21.825,88.364,637.451,197.542,206.022,24.438,78.493, 
Marte R. Gmez (Tobarito),50.8,20.144,35.878,71.872,101.941,62.647,229.503,67.858,17.515,55.721,114.294,362.096,37.053,39.284,53.799,23.817,89.165,699.463,33.207,81.655,443.017,40.148,29.683,66.841,0,615.492,118.178,66.677,75.978,302.796,31.687,15.151,496.275,85.813,26.432,642.124,135.61,144.09,66.582,16.562, 
Ciudad Insurgentes,649.648,597.301,651.002,654.04,664.401,524.41,882.024,657.522,626.438,654.569,668.165,253.894,576.917,586.185,678.456,589.961,640.836,84.988,590.471,550.1,457.508,584.268,588.196,663.245,615.492,0,665.547,551.713,649.228,318.451,647.975,608.324,121.701,644.092,591.394,26.725,486.607,482.158,642.586,602.387, 
Alamos,72.722,131.758,112.411,85.737,192.935,171.504,321.481,82.439,123.234,76.039,118.432,467.183,142.14,144.371,88.948,128.904,93.303,696.933,137.627,186.742,548.104,149.005,134.77,78.856,118.178,665.547,0,171.185,80.522,407.304,100.678,127.919,600.783,89.994,130.94,639.238,240.118,248.598,53.931,121.07, 
Vcam (Switch),100.833,48.485,102.187,133.64,115.585,40.871,243.147,129.626,77.622,105.754,183.58,297.153,28.101,37.369,115.474,41.145,158.451,634.52,41.655,16.711,378.074,36.309,39.38,128.609,66.677,551.713,171.185,0,137.528,237.312,97.656,58.005,430.791,155.4,41.074,576.64,70.126,78.606,119.829,52.067, 
Etchojoa,47.225,97.861,48.008,5.226,167.439,137.608,295.985,8.708,70.237,40.202,38.555,433.287,108.244,110.475,22.509,95.008,13.426,680.614,103.73,152.846,514.208,115.109,100.874,11.99,75.978,649.228,80.522,137.528,0,381.779,44.392,88.368,575.258,10.106,105.415,623.292,214.593,223.073,26.094,95.545, 
Santa Rosala,336.952,284.605,338.306,369.759,351.705,211.714,569.328,365.745,313.742,341.873,419.699,63.891,264.221,273.489,351.593,277.265,394.57,401.258,277.775,237.404,142.299,271.572,275.5,364.728,302.796,318.451,407.304,237.312,381.779,0,333.462,293.811,197.417,391.206,276.881,343.266,172.094,167.645,355.635,287.874, 
Villa Jurez,36.972,51.488,14.42,40.139,133.26,84.083,260.822,36.125,25.946,29.811,82.561,393.415,68.372,69.431,22.067,55.136,57.432,721.688,61.933,112.974,474.336,68.425,61.002,35.108,31.687,647.975,100.678,97.656,44.392,333.462,0,43.93,527.595,54.076,57.752,664.348,166.93,175.41,49.039,47.882, 
Pueblo Yaqui,57.567,10.713,42.169,84.115,110.829,50.23,238.391,80.101,18.199,62.488,126.537,353.764,30.518,28.737,66.042,20.334,101.408,691.131,21.239,73.323,434.685,27.731,29.38,79.084,15.151,608.324,127.919,58.005,88.368,293.811,43.93,0,487.782,98.056,34.936,633.631,127.117,135.597,75.837,23.13, 
Loreto,530.431,478.084,531.785,563.238,545.184,405.193,762.807,559.224,507.221,535.352,613.178,134.676,457.7,466.968,545.072,470.744,588.049,204.508,471.254,430.883,338.291,465.051,468.979,558.207,496.275,121.701,600.783,430.791,575.258,197.417,527.595,487.782,0,584.621,470.296,147.316,365.509,361.06,549.05,481.289, 
Huatabampo,56.697,115.734,57.843,15.061,176.911,155.48,305.457,18.543,80.072,50.037,27.379,451.159,126.116,128.347,32.344,112.88,4.037,675.478,121.603,170.718,532.08,132.981,118.746,21.825,85.813,644.092,89.994,155.4,10.106,391.206,54.076,98.056,584.621,0,114.899,618.157,224.077,232.557,35.578,105.029, 
Esperanza,60.588,25.239,61.942,93.395,76.679,80.552,204.241,89.381,37.377,65.509,143.335,336.834,25.019,34.287,75.229,15.246,118.206,674.201,38.573,56.392,417.755,56.659,3.911,88.364,26.432,591.394,130.94,41.074,105.415,276.881,57.752,34.936,470.296,114.899,0,616.606,110.092,118.572,79.29,11.529, 
Ciudad Constitucin,636.435,623.933,676.278,628.246,691.033,551.042,908.656,631.728,653.07,639.753,642.371,280.525,603.549,612.817,652.662,616.593,615.042,59.194,617.103,576.732,484.14,610.9,614.828,637.451,642.124,26.725,639.238,576.64,623.292,343.266,664.348,633.631,147.316,618.157,616.606,0,510.312,505.863,617.217,626.092, 
Empalme,169.766,117.419,171.12,202.573,184.519,108.948,406.173,198.559,146.556,174.687,252.513,232.047,97.035,106.303,184.407,110.079,227.384,569.414,110.589,70.218,312.968,104.386,108.314,197.542,135.61,486.607,240.118,70.126,214.593,172.094,166.93,127.117,365.509,224.077,110.092,510.312,0,13.188,188.765,121.004, 
Heroica Guaymas,178.246,125.899,179.6,211.053,192.999,117.428,402.04,207.039,155.036,183.167,260.993,227.598,105.515,114.783,192.887,118.559,235.864,564.965,119.069,78.698,308.519,112.866,116.794,206.022,144.09,482.158,248.598,78.606,223.073,167.645,175.41,135.597,361.06,232.557,118.572,505.863,13.188,0,197.171,129.409, 
Navojoa,21.126,80.162,63.265,31.319,141.34,119.908,269.886,28.021,71.639,24.444,64.014,415.588,90.545,92.776,37.353,77.309,38.885,673.972,86.031,135.147,496.509,97.409,83.175,24.438,66.582,642.586,53.931,119.829,26.094,355.635,49.039,75.837,549.05,35.578,79.29,617.217,188.765,197.171,0,69.472, 
Ciudad Obregn,50.718,13.432,47.406,83.524,87.672,60.955,215.234,79.51,26.906,55.639,133.465,347.827,20.892,23.123,65.358,7.656,108.336,685.194,19.3,67.386,428.748,38.456,15.413,78.493,16.562,602.387,121.07,52.067,95.545,287.874,47.882,23.13,481.289,105.029,11.529,626.092,121.004,129.409,69.472,0, 
