LOCALIDADES,Villa Hidalgo,Kotolte,Carmen Zacatal,El mbar (El mbar de Echeverra),San Vicente la Mesilla,El Progreso,Benito Jurez,Nuevo Len,Huitiupn,Guaquitepec,Jardnes del Grijalva,Abasolo,Nuevo Vicente Guerrero,Doctor Domingo Chanona,San Andrs Duraznal,Lzaro Crdenas,Nuevo Mxico,La Independencia,Presidente Echeverra (Laja Tendida),Cuauhtmoc,Chenalh,Plan de Ayala,Coapilla,Nachig,Francisco Sarabia,Valle Morelos,Chamula,Chicoasn,Aguacatenango,Ricardo Flores Magn,Benito Jurez,Guadalupe Victoria (Lzaro Crdenas),Ixhuatn,Yoshib,Past,Chiapilla,Zinacantn,Soyatitn,Ocuilapa de Jurez,Amatn,Soyal,Nicols Ruz,Tres Picos,Jitotol,Tenango,Tecpatn,Totolapa,Navenchauc,El Jobo,20 de Noviembre,Amatenango del Valle,Ocotepec,Cristbal Obregn,San Lucas,Socoltenango,Tzimol,El Bosque,Rincn Chamula,Rayn,Ixtapa,San Juan Cancuc,Copainal,Oxchuc,Jess Mara Garza,Raudales Malpaso,Pantelh,Chanal,San Francisco Pujiltic,Tapilula,La Concordia,Revolucin Mexicana,Copoya,San Pedro Buenavista,Altamirano,San Fernando,Jiquipilas,Pueblo Nuevo Solistahuacn,Simojovel de Allende,Villa Corzo,El Parral,Bochil,Acala,Venustiano Carranza,Teopisca,Suchiapa,Las Rosas,Las Margaritas,Berriozbal,Tonal,Villaflores,Ocozocoautla de Espinosa,Cintalapa de Figueroa,Chiapa de Corzo,Comitn de Domnguez,San Cristbal de las Casas,Tuxtla Gutirrez, 
Jardnes del Grijalva,78.534,123.451,110.415,111.583,140.636,33.746,117.373,83.687,127.886,159.43,0,122.13,112.524,95.439,149.285,103.553,80.126,154.841,88.792,71.936,103.654,171.743,99.693,66.101,69.376,95.926,83.863,52.08,98.198,81.069,74.801,47.188,183.85,124.459,68.45,60.753,71.694,122.957,50.785,211.071,84.845,92.272,191.23,125.528,140.673,97.566,66.968,57.326,15.058,35.339,90.406,210.074,87.597,68.174,131.214,155.024,129.689,149.695,165.483,68.329,133.678,77.611,102.015,69.87,100.323,137.419,105.632,117.298,175.37,134.923,83.887,15.198,94.701,149.634,29.698,83.611,142.053,145.648,95.144,56.441,101.984,49.151,101.338,85.018,27.39,112.574,160.57,29.998,156.994,84.484,41.826,90.663,9.547,142.302,78.031,12.571, 
Abasolo,198.761,46.127,150.597,231.811,174.881,150.502,237.601,104.782,122.613,56.956,122.13,0,253.857,238.47,213.588,246.584,223.157,149.071,126.561,213.269,90.556,69.709,227.543,80.92,161.817,237.259,79.577,179.93,92.428,131.734,216.134,188.521,248.153,38.463,84.345,107.471,83.705,118.716,193.816,168.284,149.148,111.084,334.261,189.831,19.162,225.416,100.714,90.944,158.089,134.124,84.635,274.377,230.628,104.325,125.444,149.254,193.992,213.998,229.786,132.632,41.761,205.461,19.888,211.203,243.354,72.713,63.583,123.772,239.673,276.256,225.22,158.229,236.034,28.985,172.729,226.642,206.356,114.738,236.477,197.774,166.287,118.413,115.469,79.248,170.421,106.804,89.932,173.029,300.025,225.817,184.857,233.694,139.537,136.532,69.627,155.602, 
Nuevo Vicente Guerrero,79.65,228.702,215.666,22.711,216.772,138.997,28.501,159.823,233.137,264.681,112.524,253.857,0,84.894,255.889,193.757,98.425,243.904,145.571,75.788,210.258,260.806,206.297,172.705,175.98,19.514,190.467,158.684,187.261,137.848,104.455,100.693,290.454,231.063,175.054,135.123,178.298,179.736,157.389,317.675,191.449,166.643,229.063,232.132,247.277,204.17,141.339,163.93,113.668,107.302,179.468,316.678,95.736,142.544,190.407,221.216,236.293,256.299,272.087,174.933,240.282,184.215,208.619,99.524,206.927,244.023,212.236,174.077,281.974,42.033,28.786,114.79,39.345,256.238,136.302,173.815,248.657,252.252,53.464,61.036,208.588,123.522,158.117,174.081,100.437,189.646,249.633,136.602,194.827,64.342,148.43,180.866,116.151,231.364,184.635,119.175, 
Doctor Domingo Chanona,35.698,213.315,200.279,87.971,200.344,91.642,93.761,143.395,217.75,249.294,95.439,238.47,84.894,0,241.377,110.773,15.441,246.934,129.07,28.49,195.746,263.836,159.732,158.193,129.415,68.44,175.955,112.119,190.291,121.347,23.953,41.694,275.942,216.551,160.542,118.623,163.786,163.235,67.449,303.163,145.707,150.143,144.541,217.62,232.766,167.598,124.839,149.418,79.856,90.801,182.499,203.852,12.752,126.044,173.906,247.117,221.781,241.787,257.575,160.421,225.77,137.65,194.108,21.258,128.396,229.511,197.725,157.576,267.462,107.438,57.109,80.978,46.344,241.727,89.738,90.831,234.145,237.74,32.388,62.186,194.076,107.022,141.616,177.111,66.625,173.145,252.663,72.516,110.305,24.827,52.981,97.882,101.639,234.395,170.123,83.415, 
San Andrs Duraznal,225.916,91.106,13.453,258.966,272.195,131.038,264.756,202.096,28.716,110.926,149.285,213.588,255.889,241.377,0,221.363,197.936,196.279,185.212,188.048,83.755,213.181,100.775,96.084,84.717,212.038,83.541,102.831,139.636,177.489,190.913,163.3,83.7,96.179,163.513,157.173,90.868,165.924,168.595,76.104,68.613,188.693,309.04,24.392,130.342,144.903,163.389,152.388,132.868,151.451,131.843,109.924,205.407,164.594,172.652,196.462,35.144,49.545,65.333,98.458,105.868,123.388,143.452,185.982,218.133,72.481,147.069,213.718,75.22,251.035,199.999,133.008,210.813,191.071,147.508,201.421,41.904,19.174,211.256,172.553,47.968,145.571,197.758,126.456,145.2,154.012,202.008,147.808,274.804,200.596,159.636,208.473,114.316,183.739,94.075,130.381, 
Lzaro Crdenas,144.561,221.429,208.393,196.834,241.836,99.756,202.624,184.887,225.864,257.408,103.553,246.584,193.757,110.773,221.363,0,106.462,266.07,182.938,125.937,214.882,282.972,178.868,177.329,148.551,165.886,195.091,131.255,209.427,175.215,121.399,147.863,295.078,235.687,179.678,171.981,182.922,217.103,83.262,322.299,164.843,203.5,110.642,236.756,251.902,186.734,178.196,168.554,110.538,144.669,201.635,222.988,113.932,179.402,227.774,266.253,240.917,260.923,276.711,179.557,244.906,156.786,213.244,118.704,147.532,248.647,216.861,211.444,286.598,204.884,154.555,110.677,143.79,260.863,108.874,33.474,253.281,256.876,129.834,165.771,213.212,160.379,195.484,196.247,122.869,223.803,271.799,91.652,76.406,122.273,70.851,23.93,120.775,253.531,189.259,102.551, 
Nuevo Mxico,49.229,198.002,184.966,101.502,218.409,76.329,107.292,161.46,202.437,233.981,80.126,223.157,98.425,15.441,197.936,106.462,0,231.621,148.489,42.021,180.433,248.523,144.419,142.88,114.102,81.971,160.642,96.806,174.978,140.766,30.879,55.226,260.629,201.238,145.229,137.532,148.473,182.654,52.136,287.85,130.394,169.051,153.068,202.307,217.453,152.285,143.747,134.105,76.089,110.22,167.186,188.539,7.599,144.953,193.325,231.804,206.468,226.474,242.262,145.108,210.457,122.337,178.795,28.184,113.083,214.198,182.412,176.995,252.149,120.969,70.64,76.228,59.875,226.414,74.425,75.518,218.832,222.427,45.919,75.717,178.763,125.93,161.035,161.798,80.157,189.354,237.35,57.203,118.832,38.358,37.668,82.569,86.326,219.082,154.81,68.102, 
La Independencia,213.932,143.388,183.309,246.981,52.088,183.213,252.771,92.971,200.711,132.145,154.841,149.071,243.904,246.934,196.279,266.07,231.621,0,103.133,246.717,132.816,33.646,260.991,114.368,195.265,227.749,113.025,213.378,75.86,110.28,249.582,221.969,281.601,148.295,117.793,110.428,117.153,62.499,227.264,308.822,182.596,100.635,367.709,223.279,114.421,258.864,103.671,124.392,191.537,137.081,66.454,307.825,264.076,107.282,54.228,26.864,227.44,247.446,263.234,166.08,157.514,238.909,129.608,244.651,276.802,160.539,92.625,74.299,273.121,266.746,215.71,191.677,226.524,70.412,206.177,260.09,239.804,243.399,269.925,188.264,199.735,121.37,92.469,71.462,203.869,51.612,10.583,206.477,333.473,259.265,218.305,267.142,172.985,19.377,103.075,189.05, 
Presidente Echeverra (Laja Tendida),115.599,120.878,172.242,148.648,54.387,100.081,154.438,35.309,189.713,150.512,88.792,126.561,145.571,129.07,185.212,182.938,148.489,103.133,0,130.244,125.712,111.776,184.591,97.409,160.829,146.789,105.921,136.978,58.411,8.149,133.109,105.496,247.165,141.191,99.758,35.79,103.002,35.167,135.683,274.386,148.16,31.464,276.128,188.843,161.161,182.464,39.63,88.633,99.956,56.121,50.961,273.389,172.495,43.211,45.838,76.647,193.004,213.01,228.798,131.644,150.41,162.509,122.504,128.178,185.221,153.435,126.12,29.508,238.685,185.786,134.75,100.096,145.564,170.122,114.596,168.509,205.368,208.963,159.683,107.304,165.299,40.409,13.548,48.57,91.401,45.078,110.525,114.896,241.892,142.792,126.724,175.561,81.404,82.335,95.971,97.469, 
Cuauhtmoc,11.942,188.114,175.078,78.865,183.629,90.816,84.655,126.68,192.549,224.093,71.936,213.269,75.788,28.49,188.048,125.937,42.021,246.717,130.244,0,169.69,237.779,158.474,132.137,128.157,59.334,149.899,110.861,164.234,104.63,28.739,24.977,249.886,190.495,134.486,101.906,137.73,146.518,94.029,277.107,150.881,133.426,172.66,191.564,206.709,156.347,108.122,123.362,63.14,74.084,156.442,276.11,39.332,109.327,157.189,187.998,195.725,215.731,231.519,134.365,199.714,136.392,168.051,23.808,154.976,203.455,171.668,140.859,241.406,98.332,48.003,64.262,37.238,215.67,88.48,117.411,208.089,211.684,23.282,33.099,168.02,90.305,124.899,151.054,49.908,156.428,226.606,87.709,138.424,12.622,79.561,124.462,75.583,208.338,144.067,69.991, 
Chenalh,180.285,36.974,74.992,213.335,157.975,132.025,219.125,87.876,70.743,72.249,103.654,90.556,210.258,195.746,83.755,214.882,180.433,132.816,125.712,169.69,0,149.544,139.601,37.594,118.491,193.933,19.934,136.604,75.999,115.305,172.808,145.195,122.526,41.575,36.39,91.042,27.98,102.287,150.49,117.66,82.984,94.655,290.935,64.204,91.881,182.09,84.285,47.618,114.763,133.346,68.206,148.75,187.302,87.896,109.015,132.825,68.295,88.371,104.16,89.306,50.794,162.135,70.923,167.877,200.028,34.019,83.432,107.343,114.046,232.93,181.894,114.903,192.708,118.542,129.403,183.316,80.73,64.114,193.151,154.448,62.34,101.584,99.04,62.819,127.095,90.375,138.371,129.703,256.699,182.491,141.531,190.368,96.211,120.102,30.438,112.276, 
Plan de Ayala,230.834,114.355,200.211,263.883,74.329,200.115,269.673,109.874,217.613,105.64,171.743,69.709,260.806,263.836,213.181,282.972,248.523,33.646,111.776,237.779,149.544,0,277.511,130.888,211.785,244.269,129.545,229.898,92.38,118.568,266.102,238.489,298.121,107.208,134.313,126.948,133.673,79.019,243.784,325.342,199.116,117.155,384.229,239.799,87.906,275.384,120.191,140.912,208.057,153.601,82.974,324.345,280.596,123.802,70.748,48.619,243.96,263.966,279.754,182.6,110.506,255.429,88.633,261.171,293.322,177.059,66.11,96.054,289.641,283.266,232.23,208.197,243.044,43.898,222.697,276.61,256.324,259.919,286.445,204.784,216.255,137.89,100.757,87.982,220.389,68.132,21.663,222.997,349.993,275.785,234.825,283.662,189.505,35.897,119.595,205.57, 
Coapilla,176.324,202.388,87.805,209.374,237.976,72.931,215.164,181.027,100.691,185.898,99.693,227.543,206.297,159.732,100.775,178.868,144.419,260.991,184.591,158.474,139.601,277.511,0,162.222,66.008,190.149,133.859,47.557,189.954,160.108,161.431,133.818,53.058,188.967,164.571,156.874,141.186,201.996,114.738,101.24,82.3,188.393,255.183,74.666,232.428,44.556,163.089,153.447,96.493,129.562,182.161,44.84,151.55,164.295,222.97,246.78,104.312,49.909,36.21,112.189,198.186,23.04,193.77,156.5,93.681,172.045,197.387,196.337,44.578,229.146,178.11,96.632,188.924,241.389,70.851,147.564,57.55,120.271,189.87,150.664,98.286,145.272,180.377,176.774,108.824,204.33,252.326,93.951,220.947,182.309,105.779,154.616,105.668,234.057,144.393,88.507, 
Nachig,142.732,55.765,83.114,175.782,139.527,94.472,181.572,69.428,100.516,91.744,66.101,80.92,172.705,158.193,96.084,177.329,142.88,114.368,97.409,132.137,37.594,130.888,162.222,0,80.897,156.339,17.762,99.01,57.491,95.908,135.214,107.601,167.233,58.358,4.91,72.534,5.593,83.779,112.896,194.454,68.228,76.147,253.341,108.911,99.965,144.496,65.777,10.024,77.169,95.752,49.698,193.457,149.708,69.388,90.507,114.316,113.072,133.078,148.866,51.712,67.577,124.541,61.307,130.283,162.434,71.318,64.924,88.835,158.753,195.336,144.3,77.309,155.114,108.926,91.809,145.722,125.436,129.031,155.557,116.854,85.367,63.99,80.532,44.311,89.501,71.867,119.863,92.109,219.105,144.897,103.937,152.774,58.617,101.594,11.93,74.682, 
Francisco Sarabia,146.007,136.662,71.747,179.057,220.424,42.614,184.847,150.325,89.219,172.641,69.376,161.817,175.98,129.415,84.717,148.551,114.102,195.265,160.829,128.157,118.491,211.785,66.008,80.897,0,160.266,86.407,18.618,166.882,125.717,139.141,111.528,123.494,167.749,111.741,105.401,114.985,167.606,84.644,150.715,16.797,136.921,225.089,65.172,209.356,64.104,111.617,100.616,81.096,99.679,159.09,149.718,121.456,112.822,178.276,223.708,69.334,89.339,105.127,46.686,176.968,44.149,170.698,134.21,134.182,137.067,174.315,161.946,115.014,199.263,148.227,81.236,159.041,218.317,40.757,117.47,81.698,85.293,159.484,120.781,41.628,93.799,145.986,153.702,93.428,181.258,229.254,63.857,190.853,148.824,75.685,124.522,62.544,210.986,121.322,78.609, 
Valle Morelos,63.052,212.104,199.068,22.591,200.174,122.399,28.381,143.225,216.539,248.083,95.926,237.259,19.514,68.44,212.038,165.886,81.971,227.749,146.789,59.334,193.933,244.269,190.149,156.339,160.266,0,173.928,142.145,170.723,121.31,87.917,84.155,273.915,214.524,158.515,118.585,161.759,163.198,140.85,301.136,174.91,150.105,212.525,215.593,230.738,187.631,124.801,147.391,97.13,90.764,162.93,300.139,79.198,126.006,173.869,204.678,219.754,239.76,255.548,158.394,223.743,167.676,192.08,82.986,190.388,227.484,195.697,157.539,265.435,41.974,12.248,98.252,22.807,239.699,119.763,157.277,232.118,235.713,36.926,44.497,192.049,106.984,141.579,157.543,83.899,173.108,233.095,120.063,178.289,47.804,131.891,164.328,99.612,214.826,168.096,102.636, 
Chamula,160.494,51.089,70.571,193.544,138.184,112.234,199.334,68.085,87.973,87.068,83.863,79.577,190.467,175.955,83.541,195.091,160.642,113.025,105.921,149.899,19.934,129.545,133.859,17.762,86.407,173.928,0,116.761,56.156,95.462,152.965,125.352,118.097,55.787,16.539,71.199,8.129,82.444,130.647,145.319,85.979,74.812,271.092,59.775,98.63,162.247,64.442,27.775,94.92,113.503,48.363,144.321,167.459,68.053,89.172,112.982,63.866,83.942,99.731,69.463,65.006,142.292,59.972,148.034,180.185,53.69,63.589,87.5,109.617,213.087,162.051,95.06,172.865,107.591,109.56,163.473,76.301,79.826,173.308,134.605,51.42,81.741,79.197,42.976,107.252,70.532,118.528,109.86,236.856,162.648,121.688,170.525,76.368,100.259,10.595,92.433, 
Chicoasn,128.711,154.775,89.861,161.761,190.363,25.318,167.551,133.414,107.333,190.754,52.08,179.93,158.684,112.119,102.831,131.255,96.806,213.378,136.978,110.861,136.604,229.898,47.557,99.01,18.618,142.145,116.761,0,146.93,112.718,114.041,86.428,141.607,173.19,117.181,109.484,120.425,154.606,67.348,168.828,34.91,141.003,207.793,83.285,189.405,45.653,115.699,106.057,49.103,82.172,139.138,91.901,104.16,116.905,165.277,203.756,87.447,107.452,123.24,64.799,182.409,25.699,150.747,109.11,116.886,155.18,154.364,148.947,133.127,181.756,130.72,49.242,141.534,198.366,23.461,100.174,99.811,103.406,142.48,103.274,59.741,97.882,132.987,133.75,61.434,161.306,209.302,46.561,173.557,134.919,58.389,107.226,58.278,191.034,126.762,41.117, 
Aguacatenango,157.289,86.745,126.666,190.338,56.827,126.57,196.128,36.329,144.068,116.379,98.198,92.428,187.261,190.291,139.636,209.427,174.978,75.86,58.411,164.234,75.999,92.38,189.954,57.491,166.882,170.723,56.156,146.93,0,65.631,192.497,164.884,224.516,91.21,60.708,53.343,60.068,27.905,170.179,251.737,125.511,43.551,310.624,166.194,111.18,201.779,46.586,67.307,134.452,79.996,8.244,250.74,206.991,50.197,34.633,75.601,170.355,190.361,206.149,108.995,100.429,181.824,72.523,187.566,219.717,103.454,76.139,32.961,216.036,209.661,158.625,134.592,169.439,120.141,149.092,203.005,182.719,186.314,212.84,131.179,142.65,64.285,47.82,14.378,146.784,15.993,81.147,149.392,276.388,202.18,161.22,210.057,115.9,62.879,45.99,131.965, 
Ricardo Flores Magn,107.876,126.051,164.519,140.925,61.534,92.358,146.715,27.586,181.99,155.685,81.069,131.734,137.848,121.347,177.489,175.215,140.766,110.28,8.149,104.63,115.305,118.568,160.108,95.908,125.717,121.31,95.462,112.718,65.631,0,125.386,97.773,239.442,133.468,92.035,28.067,95.279,42.696,127.96,266.663,140.437,23.741,268.405,181.12,153.438,174.741,31.907,80.91,92.233,48.398,70.036,265.666,164.772,35.488,53.367,84.176,185.281,205.287,221.075,123.921,142.687,154.786,114.781,120.455,177.498,145.712,118.397,37.037,230.962,178.063,127.027,92.373,137.841,162.399,106.873,160.786,197.645,201.24,151.96,99.581,157.576,32.686,21.077,64.649,83.678,52.607,118.054,107.173,234.169,135.069,119.001,167.838,73.681,89.864,88.248,89.746, 
Benito Jurez,40.609,190.979,177.943,107.532,186.494,93.681,113.322,129.545,195.414,226.958,74.801,216.134,104.455,23.953,190.913,121.399,30.879,249.582,133.109,28.739,172.808,266.102,161.431,135.214,139.141,87.917,152.965,114.041,192.497,125.386,0,38.443,263.352,203.961,147.952,115.372,151.196,159.984,92.04,290.573,164.347,146.892,170.671,205.03,220.175,192.189,121.588,136.828,76.605,87.55,169.908,289.576,37.343,122.793,170.655,201.464,209.191,229.197,244.985,147.831,213.18,149.858,181.517,5.222,152.987,216.921,185.134,154.325,254.872,114.466,64.137,77.728,53.372,229.136,101.946,115.422,221.555,225.15,39.416,69.214,181.486,103.771,138.365,164.52,63.374,169.894,240.072,97.107,136.435,31.855,77.572,122.473,89.049,221.804,157.533,83.457, 
