LOCALIDADES,El Carmen,Nopala (Guadalupe Nopala),Loma de San Jos,Santiago Zacualuca,La Planada,Colonia Morelos,El Cid,Colonia Santo Toms,Prados San Francisco,Colonia Lzaro Crdenas del Ro,San Miguel,Benito Jurez,San Pedro Tepetitln,Colonia la Asuncin,Unidad San Miguel Jageyes,El Dorado Huehuetoca,San Juan Teacalco,Santo Domingo Aztacameca,Prados de San Juan,Oxtotipac,Fraccionamiento Santa Cruz Tecmac,Lomas de Tenopalco,Barrio Tlatenco,Ocopulco,Axapusco,Santa Mara Huecatitla,Colonia Lzaro Crdenas (Los Hornos),San Francisco Mazapa,Caada de Cisneros,Santa Mara Cuevas (Cuevas),Cuautlacingo,Puerto Mag,San Francisco Tenopalco,Nopaltepec,Ixtlahuaca de Cuauhtmoc,Colonia el Salado,Santa Mara,Colonia Santa Luca,Villa URBI del Rey,Santa Luca,Colonia 2 de Septiembre,San Miguel Jaltocan,Santiago Chimalpa (Chimalpa),General Felipe ngeles (Los ngeles),La Providencia,San Bartolom Actopan,Loma Larga,San Buenaventura,Hueypoxtla,Transfiguracin,Villas de la Laguna,Axotln,San Marcos Nepantla,Tepojaco,San Pedro Xalpa,San Miguel Jageyes,Santa Mara de Guadalupe,San Jos de la Loma,San Miguel Hila,Santiago Tolman,Loma Alta,Santa Isabel Ixtapan,San Pedro Huaquilpan,San Miguel Xometla,Atlatongo,Zapotln de Jurez,San Francisco Mag,Nueva Santa Rosa,Ex-Hacienda Santa Ins,San Bartolo,Santa Catarina,Huitzila,Arbolada los Sauces,San Jos el Vidrio,Tezontepec,San Mateo Ixtacalco,Santa Mara Magdalena Cahuacn,San Pablo Tecalco,San Sebastin Xolalpa,San Lorenzo Tlalmimilolpan,Acolman de Nezahualcyotl,San Luis Tecuahutitln,Concepcin Jolalpan,Santa Ana Tlachihualpa,Quinto Barrio (Ejido Cahuacn),Granjas Ampliacin Santa Rosa,San Sebastin,Salitrillo,Temascalapa,San Bartolo,Tlapanaloya,Tequisistln,San Cristbal Nexquipayac,Santa Cruz del Monte,Santa Mara Tonanitla,Tolcayuca,Fraccionamiento Paseos de Tultepec II,Ejido de Coyotepec,San Francisco Zacacalco,San Bartolo,Jilotzingo,Villa del Carbn,San Mateo Xoloc,Ex-Hacienda de Jalpa,Galaxia Cuautitln,Santa Mara Ajoloapan,Ejido de Tequisistln Primero,Santiago Cuautlalpan,Paseos de San Juan,Otumba de Gmez Faras,Fraccionamiento la Trinidad,Puerto Escondido (Tepeolulco Puerto Escondido),San Bartolo Cuautlalpan,Jaltenco,Progreso Industrial,Huehuetoca,San Martn de las Pirmides,Veintids de Febrero,Haciendas de Tizayuca,Santa Ana Nextlalpan,Fraccionamiento Social Progresivo Santo Toms Chiconautla,Alborada Jaltenco,Tecmac de Felipe Villanueva,Ampliacin San Mateo (Colonia Solidaridad),Tezoyuca,San Salvador Atenco,Huilango,Santiago Teyahualco,Don Antonio,Santa Mara Ajoloapan,San Juan Zitlaltepec,Chiconcuac de Jurez,Los Reyes Acozac,Tequixquiac,Teotihuacn de Arista,Tultitln de Mariano Escobedo,San Martn Azcatepec,Coyotepec,Colonia Santa Teresa,Tepotzotln,Melchor Ocampo,Tizayuca,Zumpango de Ocampo,Teoloyucan,Tultepec,Fuentes del Valle,Tepexpan,Cuautitln,San Pablo de las Salinas,Buenavista,Ojo de Agua,San Francisco Coacalco,Villa Nicols Romero,Azcapotzalco,Cuautitln Izcalli,Ciudad Lpez Mateos,Tlalnepantla,Naucalpan de Jurez,Gustavo A. Madero,Ecatepec de Morelos, 
Santa Luca,19.45,23.401,71.136,9.566,32.59,71.755,22.907,31.273,35.595,24.613,27.642,46.266,35.29,19.398,61.175,41.012,17.449,28.087,18.055,28.269,8.738,35.884,38.441,35.088,54.304,38.151,44.38,25.14,73.644,28.039,49.577,77.299,37.366,58.102,24.964,26.775,34.26,8.15,58.211,0,33.808,20.619,34.625,19.978,40.978,23.299,67.588,75.919,29.265,77.709,21.078,56.455,14.816,13.436,32.108,57.063,23.508,27.685,65.054,28.783,95.241,30.862,34.963,20.866,15.459,33.152,68.519,29.119,31.062,16.942,19.583,9.585,14.186,77.366,35.689,44.689,78.641,11.706,22.079,18.838,19.025,12.748,41.858,11.059,80.054,28.44,12.368,34.605,17.952,44.183,32.837,29.612,33.863,39.467,16.627,28.433,38.559,37.933,24.46,32.528,21.895,95.467,58.587,30.207,44.652,47.987,27.738,58.837,9.328,32.77,19.945,31.552,12.367,19.399,68.685,33.479,23.503,67.89,19.533,17.783,12.758,25.953,5.768,33.383,36.218,35.634,55.074,31.378,17.331,3.771,25.554,36.529,5.75,32.253,17.038,34.025,8.388,35.382,65.375,55.321,44.185,11.763,19.685,43.492,34.22,30.178,26.462,40.725,29.894,38.111,12.762,26.155,62.816,45.911,51.041,52.634,41.209,53.492,36.72,23.695, 
Colonia 2 de Septiembre,50.432,38.059,37.786,34.436,17.071,38.405,53.888,15.93,7.945,19.547,22.576,77.247,33.34,7.326,29.199,37.889,46.046,56.099,24.03,46.933,33.608,0.811,15.539,32.967,52.354,8.267,11.03,42.275,31.197,22.973,47.627,34.852,2,59.374,55.945,25.47,31.138,15.472,26.235,33.808,0,9.504,32.404,52.852,10.387,56.173,37.248,46.438,28.367,47.369,20.472,20.804,37.455,46.31,25.655,27.582,18.235,21.231,34.714,49.449,65.76,28.642,67.837,35.306,36.023,66.026,32.558,26.898,5.819,34.86,32.42,31.054,25.141,47.026,68.563,6.637,48.301,36.622,42.275,41.229,32.265,42.485,39.637,40.796,49.714,26.22,16.368,27.024,50.826,7.965,31.939,27.392,31.642,26.959,8.678,61.307,7.64,25.425,58.459,26.075,28.637,65.986,18.685,23.754,7.147,36.854,25.517,22.876,20.178,52.083,21.047,28.268,23.246,8.664,38.345,29.199,43.374,37.55,54.368,11.752,26.356,8.992,32.051,16.92,36.233,33.414,19.113,6.006,50.205,37.811,19.1,34.309,23.291,26.981,40.889,8.982,33.304,15.054,35.894,15.419,2.966,27.801,16.128,12.901,2.07,11.675,24.242,7.679,6.208,17.242,25.124,10.614,32.476,42.627,16.239,30.864,30.869,38.186,33.436,20.411, 
San Miguel Jaltocan,28.97,34.404,44.575,21.246,19.269,45.194,30.712,18.128,8.625,17.3,20.329,56.412,34.279,5.012,31.397,33.699,35.879,57.038,24.969,47.872,20.418,9.242,17.737,33.906,53.293,17.447,16.788,43.214,39.182,20.726,48.566,42.837,10.724,60.313,56.884,26.409,26.947,8.32,28.433,20.619,9.504,0,33.408,28.829,12.597,34.424,44.087,48.648,25.984,54.208,16.792,25.904,20.536,24.561,23.273,29.792,15.852,18.849,41.553,50.453,67.97,29.646,43.814,36.31,25.865,42.003,39.737,27.902,4.206,35.864,33.424,23.942,13.132,53.865,44.54,18.739,55.14,17.426,43.279,42.233,33.269,29.188,40.641,27.499,56.553,27.224,9.256,29.234,29.077,15.802,29.556,28.396,32.646,33.701,4.318,37.284,14.479,32.167,33.387,23.693,25.662,68.196,26.056,21.372,15.726,34.471,26.521,30.348,13.066,53.087,15.659,29.272,16.134,7.424,45.184,25.158,44.378,44.389,28.46,4.64,10.902,9.996,17.783,21.418,37.237,34.418,31.573,12.419,33.348,20.211,16.718,35.313,16.179,24.598,41.893,15.309,16.133,20.636,38.104,22.79,12.258,20.689,11.511,15.111,9.912,17.554,25.246,15.23,9.995,23.569,9.999,13.728,39.315,43.631,27.54,37.703,38.929,51.212,34.44,21.415, 
Santiago Chimalpa (Chimalpa),51.249,61.364,67.395,21.748,46.031,68.014,54.705,44.89,31.853,48.155,51.184,53.527,8.398,31.235,57.434,66.124,49.214,38.659,16.061,18.031,23.955,32.142,44.499,2.718,34.914,44.209,40.639,24.835,69.903,51.581,30.187,73.558,33.624,41.934,56.762,14.055,59.373,41.855,54.47,34.625,32.404,33.408,0,49.868,38.212,53.189,64.822,73.153,55.485,74.943,47.59,53.689,13.841,43.326,52.773,54.297,45.353,48.349,62.288,29.937,92.475,6.697,64.853,10.251,16.511,63.042,65.753,8.368,28.296,15.348,9.186,46.267,45.228,74.6,53.662,41.923,75.875,15.554,22.763,13.424,12.753,32.228,7.218,37.812,77.288,9.6,38.845,53.74,47.842,41.417,59.057,5.505,5.188,58.207,25.337,58.323,35.793,56.673,55.475,56.985,52.937,92.701,55.821,50.872,41.886,77.877,8.115,56.071,41.743,32.571,48.165,29.692,43.409,40.521,65.919,55.915,23.862,65.124,51.384,34.229,17.547,23.186,29.067,30.617,4.208,6.959,52.308,28.612,47.221,34.827,46.218,3.691,36.791,54.099,21.377,31.259,22.773,57.369,62.609,52.555,41.419,45.925,43.246,40.726,31.454,27.412,10.585,37.959,27.128,35.345,17.673,23.389,60.05,44.051,48.275,50.774,39.349,51.632,34.86,21.835, 
General Felipe ngeles (Los ngeles),3.972,14.087,87.842,25.587,35.096,88.461,5.008,33.779,52.301,27.119,30.148,15.088,51.996,38.56,77.881,43.518,19.408,30.047,42.856,63.944,24.759,52.59,40.947,51.794,49.471,40.657,61.086,37.884,90.35,26.066,54.658,94.005,54.072,43.936,7.85,43.481,36.766,18.412,74.917,19.978,52.852,28.829,49.868,0,37.817,15.419,86.577,94.908,32.215,96.698,25.4,75.444,35.431,10.808,36.43,76.052,27.83,32.007,84.043,45.461,114.23,49.851,15.552,67.126,38.141,13.741,87.508,48.108,50.051,39.624,40.198,13.75,18.942,96.355,16.279,43.959,97.63,32.321,52.859,57.555,64.085,25.336,67.895,21.964,99.043,47.429,23.519,38.927,15.325,41.022,36.518,48.601,52.852,43.789,37.242,9.023,57.548,42.255,11.496,36.85,22.488,114.456,77.576,34.529,63.641,28.577,46.727,77.826,20.393,48.55,24.267,50.541,14.748,30.55,87.674,37.801,50.425,86.879,7.405,28.934,33.373,44.942,27.75,52.372,55.207,54.623,74.063,50.367,7.308,21.102,29.876,55.518,19.578,44.048,57.215,53.014,29.003,39.704,74.683,74.31,41.024,11.075,24.007,40.331,53.209,49.167,45.451,59.714,48.883,57.1,33.377,45.144,81.805,64.9,70.03,71.623,60.198,72.481,55.709,42.684, 
La Providencia,34.825,32.454,50.44,41.606,7.749,51.059,36.567,3.949,9.158,13.942,16.971,62.267,40.51,13.922,23.594,22.448,53.216,63.269,31.2,54.103,40.778,10.886,6.217,40.137,59.524,6.429,23.684,49.445,27.662,17.368,54.797,31.317,8.965,66.544,44.495,32.64,15.697,19.575,20.63,40.978,10.387,12.597,38.212,37.817,0,63.129,48.314,40.847,22.776,58.435,14.881,14.385,44.411,53.266,13.989,21.991,12.644,11.58,45.78,56.405,60.169,35.599,50.794,42.262,42.979,48.983,28.218,33.855,12.453,41.816,39.376,32.134,19.55,35.747,51.52,10.938,59.367,43.578,49.231,48.185,39.221,49.441,46.594,47.752,60.78,33.177,13.185,21.433,57.782,5.636,26.348,34.349,38.599,12.493,15.311,44.264,19.284,10.959,34.668,14.41,23.046,60.395,14.537,12.346,11.28,31.263,32.474,18.829,18.637,59.039,15.456,35.225,24.326,7.105,49.411,13.657,50.33,48.616,35.44,8.422,33.312,15.953,39.007,27.985,43.189,40.371,17.06,20.039,57.161,44.767,13.509,41.266,21.749,21.39,47.845,23.363,40.26,9.117,30.303,11.271,8.003,27.669,10.536,3.593,11.501,25.816,31.199,13.136,15.952,29.805,32.08,29.02,43.542,49.584,18.49,41.93,33.11,40.427,40.393,27.368, 
San Bartolom Actopan,18.306,28.421,91.163,28.908,40.691,91.782,14.905,39.374,55.622,32.714,35.743,8.94,30.077,41.88,81.202,49.113,5.353,14.917,46.177,33.038,28.08,55.911,68.267,55.115,22.353,67.977,64.407,24.098,93.671,31.661,27.704,97.326,57.393,25.411,7.315,46.802,42.361,26.419,78.238,23.299,56.173,34.424,53.189,15.419,63.129,0,88.149,96.48,49.881,98.27,28.945,77.016,37.003,11.326,39.975,77.624,31.375,35.552,85.615,24.173,115.802,51.423,33.219,28.525,23.768,31.408,89.08,49.68,51.623,25.251,42.952,13.095,28.48,97.927,6.459,65.25,99.202,33.893,31.57,25.002,42.797,11.327,46.606,12.801,100.615,49.001,32.227,42.472,5.845,64.744,54.184,50.173,54.424,47.334,38.814,26.689,59.12,45.8,23.841,40.395,26.033,116.028,79.148,38.074,65.213,46.243,48.299,79.398,29.1,25.261,27.812,52.113,18.293,39.258,89.246,41.346,21.748,88.451,19.75,37.642,34.945,46.514,29.322,53.944,46.765,56.195,75.635,51.939,15.587,20.135,33.421,57.09,21.15,40.12,23.223,54.586,30.575,43.249,85.936,75.882,64.746,14.008,27.552,64.053,54.781,50.739,47.023,61.286,50.455,58.672,34.949,46.716,83.377,66.472,71.602,73.195,61.77,74.053,57.281,44.256, 
Loma Larga,84.212,75.62,3.413,68.216,43.03,2.701,87.668,40.95,52.676,57.108,60.137,111.027,67.12,41.914,49.659,58.349,79.826,89.879,57.81,80.713,67.388,37.266,35.805,66.747,86.134,37.327,28.11,76.055,20.111,60.534,81.407,13.473,38.492,93.154,89.725,59.25,51.598,63.093,46.695,67.588,37.248,44.087,64.822,86.577,48.314,88.149,0,42.977,65.956,16.027,58.061,15.434,70.688,79.543,53.092,48.277,55.824,48.138,7.546,82.682,24.645,61.876,101.07,68.539,69.256,99.259,16.247,60.132,39.133,68.093,65.653,82.484,62.73,8.229,101.796,33.98,9.504,69.855,75.508,74.462,65.498,75.718,72.871,74.029,10.917,59.454,57.072,48.61,84.059,37.981,69.528,60.626,64.876,41.048,41.992,94.54,32.217,39.514,91.692,51.855,66.226,28.094,16.365,47.891,32.981,74.443,58.751,11.266,62.524,85.316,58.636,43.087,67.506,50.992,2.239,46.369,76.607,2.601,87.601,52.309,59.589,38.524,65.284,30.332,69.466,66.648,12.898,31.516,83.438,71.044,56.689,67.543,73.008,64.57,74.122,27.7,66.537,40.21,56.589,33.76,37.888,82.142,53.717,38.257,34.06,30.152,57.476,29.293,35.981,26.522,58.357,34.711,4.848,33.742,16.238,15.031,31.229,29.742,28.119,53.645, 
San Buenaventura,70.079,74.997,44.462,76.547,23.037,42.523,71.821,25.407,45.209,26.036,52.225,109.96,75.451,49.973,16.291,24.586,88.157,98.21,66.141,89.044,75.719,46.937,40.077,75.078,94.465,41.599,49.216,84.386,28.259,52.622,89.738,29.905,45.016,101.485,97.87,67.581,17.835,55.626,11.882,75.919,46.438,48.648,73.153,94.908,40.847,96.48,42.977,0,47.121,65.575,39.226,29.299,68.279,77.134,18.612,7.987,36.989,20.736,52.92,80.273,29.317,59.467,98.661,66.13,66.847,96.85,31.615,57.723,37.046,65.684,63.244,56.479,43.895,34.886,99.387,30.309,39.611,67.446,73.099,72.053,63.089,73.309,70.462,71.62,41.024,57.045,37.778,14.13,81.65,32.594,42.984,58.217,62.467,19.778,39.904,92.131,43.152,19.096,59.013,17.375,47.391,29.543,30.321,18.458,31.81,55.608,56.342,34.613,43.23,82.907,39.801,59.093,48.671,31.698,41.376,16.305,74.198,55.756,59.785,33.015,57.18,40.546,62.875,44.494,67.057,64.239,31.974,43.907,81.029,68.635,22.867,65.134,46.342,45.735,71.713,39.196,64.128,20.918,22.109,26.037,32.596,52.014,34.882,31.903,36.094,41.648,55.067,34.335,40.545,40.684,55.948,46.207,50.682,54.086,33.404,49.07,48.023,55.34,53.945,51.236, 
Hueypoxtla,17.861,9.807,67.713,36.71,22.063,68.332,36.655,20.746,27.138,12.182,13.865,49.139,57.783,31.902,41.326,26.811,51.055,60.373,48.473,78.044,35.882,28.866,27.914,57.41,63.571,27.624,40.957,72.661,49.359,5.624,68.758,53.014,26.945,58.036,37.049,49.913,23.733,22.615,38.362,29.265,28.367,25.984,55.485,32.215,22.776,49.881,65.956,47.121,0,76.099,10.144,36.119,42.086,39.45,21.425,39.21,12.824,17.002,63.444,64.622,77.388,53.263,35.693,59.926,42.729,33.882,49.952,51.519,30.469,59.48,57.04,23.346,19.73,75.756,36.42,28.954,77.031,38.976,72.02,76.716,56.885,37.372,87.056,50.606,78.444,50.841,20.341,23.922,43.967,26.017,4.468,52.013,56.263,27.997,29.696,40.815,36.948,26.463,11.905,21.845,7.715,77.614,36.271,19.524,29.296,8.818,50.138,40.563,22.573,67.711,15.636,52.889,16.928,20.725,67.075,22.796,69.586,66.28,36.047,22.023,40.028,33.969,33.038,45.649,60.853,58.035,53.463,37.703,35.95,28.395,14.871,58.93,25.792,11.998,76.376,41.027,35.658,23.912,33.259,33.005,26.019,19.747,16.003,25.326,29.517,43.48,48.863,31.152,33.968,47.469,49.744,46.684,61.206,67.248,49.43,59.594,59.598,66.915,58.057,45.032, 
Transfiguracin,94.333,85.741,17.041,78.337,53.151,16.81,97.789,51.071,62.797,67.229,70.258,121.148,77.241,52.035,59.78,68.47,89.947,100,67.931,90.834,77.509,47.387,45.926,76.868,96.255,47.448,38.231,86.176,34.141,70.655,91.528,27.503,48.613,103.275,99.846,69.371,61.719,73.214,56.816,77.709,47.369,54.208,74.943,96.698,58.435,98.27,16.027,65.575,76.099,0,70.605,29.009,83.232,92.087,65.636,60.821,68.368,60.682,17.488,95.226,38.297,74.42,113.614,81.083,81.8,111.803,32.913,72.676,51.677,80.637,78.197,95.028,75.274,24.895,114.34,46.524,21.688,82.399,88.052,87.006,78.042,88.262,85.415,86.573,18.111,71.998,69.616,61.154,96.603,50.525,82.072,73.17,77.42,53.592,54.536,107.084,44.761,52.058,104.236,64.399,78.77,41.746,29.94,60.435,45.525,86.987,71.295,26.634,75.068,97.86,71.18,55.631,80.05,63.536,19.605,58.913,89.151,17.29,100.145,64.853,72.133,51.068,77.828,42.876,82.01,79.192,26.473,44.06,95.982,83.588,69.233,80.087,85.552,77.114,86.666,40.244,79.081,52.754,69.133,46.304,50.432,94.686,66.261,50.801,46.604,42.696,70.02,41.837,48.525,39.066,70.901,47.255,17.392,46.286,29.814,27.575,43.773,42.286,40.663,66.189, 
Villas de la Laguna,22.408,19.786,59.818,28.523,14.168,60.437,24.15,12.851,19.243,6.191,9.22,49.85,49.888,24.007,33.431,22.59,30.119,40.758,40.578,63.481,27.695,20.971,20.019,49.515,67.221,19.729,33.062,42.463,41.464,4.7,64.175,45.119,19.05,61.686,32.078,42.018,15.838,14.428,30.467,21.078,20.472,16.792,47.59,25.4,14.881,28.945,58.061,39.226,10.144,70.605,0,28.202,33.525,18.787,13.508,31.293,4.907,9.085,55.527,66.152,69.471,45.346,38.04,52.009,34.168,36.229,42.035,43.602,22.552,35.651,49.123,19.38,6.796,67.839,38.766,21.037,69.114,30.415,58.978,57.932,48.968,28.811,56.341,27.122,70.527,42.924,11.213,16.005,23.303,18.1,13.766,44.096,48.346,20.867,19.989,31.51,29.031,19.333,27.613,13.928,7.666,69.697,28.354,11.607,21.379,18.681,42.221,32.646,14.011,68.786,1.915,44.972,11.572,11.018,59.158,14.879,39.566,58.363,22.686,12.316,31.467,26.052,24.477,37.732,52.936,50.118,45.546,29.786,28.786,19.834,6.954,51.013,17.231,13.653,35.747,33.11,27.097,16.782,27.791,25.088,18.102,14.915,5.817,17.409,21.6,35.563,40.946,23.235,26.051,39.552,31.471,38.767,53.289,59.331,41.513,51.677,51.681,58.998,50.14,37.115, 
Axotln,73.079,45.761,13.525,57.083,16.874,14.144,76.535,14.795,22.465,26.222,30.278,99.894,55.987,30.781,23.504,32.194,68.693,78.746,46.677,69.58,56.255,26.133,9.65,55.614,75.001,11.172,16.977,64.922,14.271,30.675,70.274,17.926,17.362,82.021,78.592,48.117,25.443,32.882,20.54,56.455,20.804,25.904,53.689,75.444,14.385,77.016,15.434,29.299,36.119,29.009,28.202,0,61.644,70.499,26.75,21.935,22.615,18.727,17.059,73.638,34.579,52.832,92.026,59.495,60.212,90.215,15.641,51.088,25.727,59.049,56.609,45.408,32.824,23.17,92.752,9.854,27.895,60.811,66.464,65.418,56.454,66.674,63.827,64.985,29.308,50.41,26.459,22.268,75.015,11.501,51.122,51.582,55.832,14.706,28.585,85.496,23.173,13.172,82.648,25.513,36.32,38.028,3.099,21.549,11.355,44.537,49.707,6.252,31.911,76.272,28.73,45.14,37.6,20.379,16.728,20.027,67.563,16.667,78.557,21.696,50.545,29.48,56.24,23.954,60.422,57.604,2.858,22.472,74.394,62,20.492,58.499,35.023,34.664,65.078,18.656,57.493,13.868,30.247,4.726,18.253,40.943,23.811,11.777,25.016,21.108,48.432,12.367,26.937,20.144,49.313,25.667,13.376,33.547,6.825,28.53,27.484,34.801,33.406,44.601, 
San Marcos Nepantla,33.065,43.18,72.445,7.499,51.081,73.064,36.522,49.94,36.904,37.589,40.618,47.837,9.276,18.056,62.484,53.988,20.126,32.969,10.686,18.553,4.609,37.193,49.549,14.102,29.224,49.259,45.689,15.264,74.953,41.015,24.497,78.608,38.675,36.244,38.579,17.063,47.236,22.045,59.52,14.816,37.455,20.536,13.841,35.431,44.411,37.003,70.688,68.279,42.086,83.232,33.525,61.644,0,27.324,44.693,59.986,36.093,40.27,67.977,19.454,98.164,12.638,48.852,8.26,5.623,47.041,71.442,14.309,33.985,5.238,5.061,22.17,26.771,80.289,49.578,47.612,81.564,3.147,12.242,9.002,6.419,15.98,27.278,21.81,82.977,14.762,26.326,59.429,31.84,47.106,45.422,11.388,15.638,63.896,15.202,42.322,41.482,62.362,39.473,45.113,34.48,98.39,61.51,42.792,47.575,61.876,11.715,61.76,23.286,28.769,32.53,33.011,24.952,25.826,71.608,46.064,12.282,70.813,35.382,23.042,9.361,28.876,7.473,36.306,11.327,17.41,57.997,34.301,31.219,16.355,38.139,18.305,18.334,44.838,7.202,36.948,6.157,63.058,68.298,58.244,47.108,24.347,32.27,46.415,37.143,33.101,13.48,43.648,32.817,41.034,11.337,29.078,65.739,47.37,53.964,54.093,42.668,54.951,38.179,25.154, 
Tepojaco,8.442,18.557,81.3,19.045,30.828,81.919,5.569,29.511,45.759,22.851,25.88,20.253,45.454,32.017,71.339,39.25,12.501,23.14,36.314,39.179,18.217,46.048,58.404,45.252,30.576,58.114,54.544,31.342,83.808,21.798,57.816,87.463,47.53,47.094,11.96,36.939,32.498,16.556,68.375,13.436,46.31,24.561,43.326,10.808,53.266,11.326,79.543,77.134,39.45,92.087,18.787,70.499,27.324,0,30.11,67.759,21.51,25.687,75.75,53.262,105.937,41.558,23.354,35.104,29.848,21.543,79.215,39.815,41.758,31.331,31.905,4.404,18.615,88.062,24.08,55.385,89.337,24.028,60.66,33.227,47.383,15.989,52.554,12.617,90.75,39.136,22.362,32.607,5.978,54.879,44.319,40.308,44.559,37.469,28.949,16.824,49.255,35.935,13.976,30.53,16.168,106.163,69.283,28.209,55.348,36.378,38.434,69.533,19.235,33.3,17.947,42.248,8.428,29.393,79.381,31.481,26.744,78.586,9.885,27.777,25.08,36.649,19.457,44.079,46.914,46.33,65.77,42.074,5.722,12.809,23.556,47.225,11.285,30.255,31.427,44.721,20.71,33.384,76.071,66.017,54.881,4.143,17.687,54.188,44.916,40.874,37.158,51.421,40.59,48.807,25.084,36.851,73.512,56.607,61.737,63.33,51.905,64.188,47.416,34.391, 
San Pedro Xalpa,33.438,31.067,54.849,39.553,7.868,55.468,35.18,9.474,24.426,9.287,15.584,60.88,55.071,29.19,12.832,11.391,41.149,51.788,45.761,68.664,38.725,26.154,13,54.698,74.085,13.929,35.175,64.006,40.059,15.981,69.358,43.714,24.233,72.716,43.108,47.201,4.639,25.458,9.351,32.108,25.655,23.273,52.773,36.43,13.989,39.975,53.092,18.612,21.425,65.636,13.508,26.75,44.693,30.11,0,10.773,8.677,4.423,50.276,72.506,49.113,51.7,49.411,58.363,45.539,47.6,41.358,49.956,28.906,57.917,55.477,30.751,18.167,48.887,50.137,17.886,53.612,41.786,65.332,64.286,55.322,40.182,62.695,38.493,55.025,49.278,18.778,4.795,34.674,13.999,18.572,50.45,54.7,11.764,28.133,42.881,35.385,10.23,33.285,1.489,21.663,49.339,27.677,1.42,18.893,29.88,48.575,31.969,25.382,75.14,14.073,51.326,22.943,19.162,53.907,3.738,66.431,53.112,34.057,20.46,49.413,32.406,35.848,41.85,59.29,56.472,29.33,36.14,40.157,31.205,6.554,57.367,28.602,11.937,63.946,36.552,38.468,8.631,16.581,23.394,24.456,26.286,14.44,10.256,27.954,39.004,47.3,31.691,32.405,38.04,48.181,45.121,48.038,51.443,30.76,46.426,45.38,52.697,51.302,43.469, 
San Miguel Jageyes,51.223,48.852,50.034,57.691,14.763,50.653,52.965,17.133,26.353,17.762,33.369,100.502,56.595,31.117,8.017,16.312,69.301,79.354,47.285,70.188,56.863,28.081,21.221,56.222,75.609,22.743,30.36,65.53,33.142,33.766,70.882,34.788,26.16,82.629,79.2,48.725,9.561,36.77,3.608,57.063,27.582,29.792,54.297,76.052,21.991,77.624,48.277,7.987,39.21,60.821,31.293,21.935,59.986,67.759,10.773,0,17.159,12.905,45.469,72.822,38.57,52.016,91.21,58.679,59.396,89.399,36.551,50.272,29.595,58.233,55.793,49.028,36.444,44.08,91.936,22.859,48.805,59.995,65.648,64.602,55.638,65.858,63.011,64.169,50.218,49.594,30.327,6.299,74.199,25.143,35.153,50.766,55.016,12.37,32.453,84.68,35.701,11.124,51.562,9.544,39.94,38.796,22.87,10.627,24.36,48.157,48.891,27.162,35.779,75.456,32.35,51.642,41.22,24.247,49.1,8.474,66.747,48.305,52.334,25.564,49.729,33.095,55.424,37.043,59.606,56.788,24.523,36.456,73.578,61.184,15.036,57.683,38.891,19.8,64.262,31.745,56.677,11.82,14.278,18.587,25.145,44.563,27.431,24.452,28.643,34.197,47.616,26.884,33.094,33.233,48.497,38.756,43.231,46.636,25.953,41.619,40.573,47.89,46.495,43.785, 
Santa Mara de Guadalupe,24.838,22.466,57.581,30.953,9.347,58.2,26.58,8.03,17.006,1.432,6.983,52.28,47.651,21.77,19.21,17.769,32.549,43.188,38.341,61.244,30.125,18.734,14.479,47.278,66.665,15.408,30.825,56.586,35.924,7.38,61.938,39.579,16.813,64.116,34.508,39.781,11.017,16.858,15.729,23.508,18.235,15.852,45.353,27.83,12.644,31.375,55.824,36.989,12.824,68.368,4.907,22.615,36.093,21.51,8.677,17.159,0,4.253,53.28,63.905,67.224,43.099,40.811,49.762,36.939,39,36.479,41.355,20.305,49.316,46.876,22.151,9.567,65.592,41.537,18.79,66.867,33.186,56.731,55.685,46.721,31.582,54.094,29.893,68.28,40.677,10.177,11.173,26.074,15.853,16.364,41.849,46.099,15.248,19.532,34.281,26.784,13.714,24.684,9.096,13.062,67.45,22.798,6.775,19.132,21.279,39.974,27.09,16.782,66.539,5.473,42.725,14.343,10.561,56.911,10.047,57.83,56.116,25.457,11.859,40.812,23.805,27.248,35.485,50.689,47.871,28.286,27.539,31.557,22.605,2.122,48.766,20.002,11.406,55.345,30.863,29.868,11.163,22.959,19.532,15.855,17.686,5.839,11.765,19.353,33.316,38.699,20.988,23.804,37.305,39.58,36.52,51.042,57.084,39.266,49.43,49.434,56.751,47.893,34.868, 
