LOCALIDADES,San Juan del Estado,San Juan Teitipac,Asuncin Ocotln,Santa Ana Zegache,Macuilxchitl de Artigas Carranza,Yaxe,Ixtln de Jurez,Villa Daz Ordaz,San Pedro Ixtlahuaca,Cinega de Zimatln,Tamazulpam del Espritu Santo,San Pedro Quiatoni,San Miguel del Valle,Magdalena Apasco,San Jos del Progreso,San Lucas Camotln,Coatecas Altas,San Juan Guelava,La Soledad Salinas,San Miguel Tilquipam,San Francisco Tutla,San Francisco Lachigol,San Baltazar Guelavila,Soledad Etla,Santiago Matatln,Santa Mara Tlahuitoltepec,nimas Trujano,Santa Luca Ocotln,Ayotzintepec,Santiago Apstol,San Pablo Etla,San Juan Cotzocn,San Agustn Etla,San Agustn Yatareni,Ayoquezco de Aldama,Nazareno Etla,San Miguel Quetzaltepec,San Juan Bautista Cuicatln,Reyes Mantecn,San Bartolo Coyotepec,Magdalena Teitipac,San Pablo Guil,San Andrs Huaypam,Teotitln del Valle,Santiago Etla,San Sebastin Tutla,Viguera,San Felipe Usila,San Antonino Castillo Velasco,San Dionisio Ocotepec,San Juan Bautista Valle Nacional,San Pablo Huitzo,Villa de Tamazulpam del Progreso,San Agustn de las Juntas,Santiago Suchilquitongo,Villa de Etla,San Lorenzo Cacaotepec,Santa Mara del Tule,Hacienda Blanca,San Pablo Villa de Mitla,San Pablo Huixtepec,Tlalixtac de Cabrera,Heroica Ciudad de Ejutla de Crespo,Santa Cruz Amilpas,San Francisco Telixtlahuaca,Zimatln de lvarez,El Rosario,Cuilpam de Guerrero,Asuncin Nochixtln,Vicente Guerrero,Tlacolula de Matamoros,San Jacinto Amilpas,Villa de Zaachila,Ocotln de Morelos,San Antonio de la Cal,Santa Mara Atzompa,Santa Luca del Camino,Santa Cruz Xoxocotln,Oaxaca de Jurez, 
Tamazulpam del Espritu Santo,134.831,99.201,123.27,135.518,87.201,100.017,159.86,83.276,118.02,130.178,0,56.456,86.135,129.866,128.801,70.191,149.681,89.714,84.366,106.789,101.835,95.887,92.353,124.569,72.841,14.747,112.513,122.616,366.635,121.552,118.975,74.753,124.202,102.999,160.552,125.821,59.9,225.111,123.139,116.756,95.719,85.421,106.629,86.548,119.778,100.851,115.854,417.146,117.62,81.451,265.67,139.501,235.622,110.77,134.783,124.58,119.726,95.408,119.206,63.623,137.039,100.787,144.549,102.356,142.507,132.008,104.238,118.828,187.315,120.412,75.821,113.773,120.119,116.011,106.974,113.596,103.024,113.406,108.963, 
San Pedro Quiatoni,144.782,109.152,147.512,145.469,97.152,124.259,169.811,93.227,127.971,140.129,56.456,0,96.086,139.817,138.752,110.339,159.632,99.665,27.91,116.74,111.786,105.838,107.25,134.52,82.792,70.783,122.464,132.567,376.586,131.503,128.926,114.901,134.153,112.95,170.503,135.772,100.048,235.062,133.09,126.707,105.67,95.372,116.58,96.499,129.729,110.802,125.805,427.097,127.571,91.402,275.621,149.452,245.573,120.721,144.734,134.531,129.677,105.359,129.157,73.574,146.99,110.738,154.5,112.307,152.458,141.959,114.189,128.779,197.266,130.363,85.772,123.724,130.07,125.962,116.925,123.547,112.975,123.357,118.914, 
San Miguel del Valle,68.73,33.1,84.928,69.417,21.1,53.795,69.188,3.942,51.919,64.077,86.135,96.086,0,63.529,69.152,148.553,90.033,23.377,109.776,60.251,35.498,29.55,45.815,58.232,26.303,100.939,46.176,62.968,276.794,72.49,52.638,153.115,57.865,36.662,94.215,59.484,138.262,158.774,56.802,50.419,23.612,38.883,40.292,20.211,53.441,34.514,49.517,327.305,71.082,34.913,175.829,73.164,169.285,44.433,68.446,58.243,53.389,29.071,52.869,23.073,70.702,34.45,84.901,36.019,76.17,65.671,37.901,52.491,120.978,54.075,11.09,47.436,53.782,69.473,40.637,47.259,36.687,47.069,42.626, 
Magdalena Apasco,5.376,49.901,69.78,54.269,45.301,92.052,87.407,60.078,29.409,44.423,129.866,139.817,63.529,0,72.333,192.287,93.214,52.559,153.51,74.216,30.049,39.573,89.549,13.5,70.037,144.673,32.211,66.149,294.849,58.526,16.338,196.849,11.61,29.665,80.251,9.391,181.996,96.169,42.838,36.455,58.564,82.617,31.286,51.626,11.898,30.184,17.148,316.38,61.146,78.647,193.884,10.559,108.285,30.468,5.842,6.734,17.042,34.577,14.353,66.807,56.738,33.775,88.082,30.419,13.565,51.707,30.558,35.793,59.978,40.111,54.824,19.94,37.085,63.581,28.954,21.741,28.031,30.371,22.059, 
San Jos del Progreso,76.704,41.358,11.64,31.912,58.236,37.509,111.687,65.701,59.248,42.554,128.801,138.752,69.152,72.333,0,190.653,25.162,51.571,125.68,23.2,53.202,62.726,64.7,67.068,56.608,143.038,40.345,7.897,318.002,18.324,61.474,195.215,66.701,53.127,22.233,68.32,180.362,167.609,36.507,36.125,46.7,45.07,54.748,74.779,62.277,52.131,58.352,368.513,15.437,49.833,217.037,82,178.121,42.448,77.282,67.079,62.224,57.73,61.704,65.493,28.522,56.928,20.03,49.329,85.005,33.349,47.986,47.41,129.814,32.905,77.977,53.566,40.384,13.43,44.883,55.328,49.738,47.258,52.573, 
San Lucas Camotln,196.657,161.027,185.097,197.344,149.027,161.844,221.686,145.102,179.846,192.004,70.191,110.339,148.553,192.287,190.653,0,211.62,151.653,138.362,168.728,163.774,157.826,154.292,186.508,134.78,82.829,174.452,184.555,428.574,183.491,180.914,72.688,186.141,164.938,222.491,187.76,10.403,287.05,185.078,178.695,157.658,147.36,168.568,148.487,181.717,162.79,177.793,479.085,179.559,143.39,327.609,201.44,297.561,172.709,196.722,186.519,181.665,157.347,181.145,125.562,198.978,162.726,206.488,164.295,204.446,193.947,166.177,180.767,249.254,182.351,137.76,175.712,182.058,177.95,168.913,175.535,164.963,175.345,170.902, 
Coatecas Altas,97.585,62.239,32.521,52.793,79.117,58.389,132.568,86.582,80.129,63.435,149.681,159.632,90.033,93.214,25.162,211.62,0,72.2,146.309,43.829,73.831,83.355,85.329,87.697,77.237,163.667,60.974,28.527,338.631,38.954,82.103,215.844,87.33,73.756,31.622,88.949,200.991,188.238,57.136,56.754,67.329,65.699,75.377,95.408,82.906,72.76,78.981,389.142,36.066,70.462,237.666,102.629,198.75,63.077,97.911,87.708,82.853,78.359,82.333,86.122,49.151,77.557,5.968,69.958,105.634,53.978,68.615,68.039,150.443,53.534,98.606,74.195,61.013,34.059,65.512,75.957,70.367,67.887,73.202, 
San Juan Guelava,56.929,9.355,48.986,34.174,9.299,57.373,81.958,19.926,40.118,52.276,89.714,99.665,23.377,52.559,51.571,151.653,72.2,0,113.195,63.67,24.598,13.483,49.234,47.332,29.722,104.358,35.276,45.66,289.398,36.918,41.738,156.534,46.965,25.762,74.148,48.584,141.681,147.874,36.734,39.519,6.305,42.302,29.392,11.311,42.541,23.614,38.617,339.909,34.574,38.332,188.433,62.264,158.385,33.533,57.546,47.343,42.489,18.171,41.969,26.492,50.635,23.55,67.593,25.119,65.27,45.604,27.001,41.591,110.078,33.132,14.509,36.536,42.882,43.957,29.737,36.359,25.787,36.169,31.726, 
La Soledad Salinas,157.88,122.25,120.124,123.173,110.25,96.871,182.909,106.325,141.069,153.227,84.366,27.91,109.776,153.51,125.68,138.362,146.309,113.195,0,119.552,124.982,119.034,79.861,147.716,85.043,98.635,135.66,135.379,389.782,134.315,142.122,142.753,147.349,126.146,183.699,148.968,127.9,248.258,146.286,139.903,118.866,98.184,129.776,109.696,142.925,123.998,139.001,440.293,130.383,94.214,288.817,162.648,258.769,133.917,157.93,147.727,142.873,118.555,142.353,92.172,142.921,123.934,157.312,125.503,165.654,155.155,127.385,141.975,210.462,143.559,98.969,136.92,143.266,128.774,130.121,136.743,126.171,136.553,132.11, 
San Miguel Tilquipam,78.587,43.241,17.644,20.693,60.725,15.497,113.57,56.8,61.131,30.171,106.789,116.74,60.251,74.216,23.2,168.728,43.829,63.67,119.552,0,58.495,68.019,42.277,72.361,34.185,120.615,45.638,16.93,323.295,15.866,66.767,172.792,71.994,58.42,49.49,73.613,157.939,172.902,31.819,41.418,39.803,22.647,60.041,60.594,67.57,57.424,63.645,373.806,11.934,27.41,222.33,87.293,183.414,47.741,82.575,72.372,67.517,63.023,66.997,43.07,24.472,62.221,38.863,54.622,90.298,27.79,53.279,52.703,135.107,38.198,49.867,58.859,45.677,10.325,50.176,60.621,55.031,52.551,57.866, 
San Francisco Tutla,34.419,21.87,50.617,35.106,17.27,69.494,57.994,32.047,17.607,29.766,101.835,111.786,35.498,30.049,53.202,163.774,73.831,24.598,124.982,58.495,0,10.856,60.832,24.74,41.32,115.956,14.196,48.133,265.398,40.51,19.146,168.132,24.373,3.17,62.235,25.992,153.279,125.281,24.822,18.439,29.847,53.9,6.8,22.909,19.949,2.047,16.025,315.909,43.13,49.93,164.433,39.672,135.793,12.453,34.954,24.751,19.897,5.86,19.377,38.09,38.722,4.683,70.066,4.681,42.677,33.691,4.82,18.999,87.486,22.095,26.107,13.944,20.29,45.565,7.556,13.767,3.318,13.577,9.134, 
San Francisco Lachigol,43.943,13.72,60.141,44.63,11.322,63.546,68.972,26.099,27.132,39.29,95.887,105.838,29.55,39.573,62.726,157.826,83.355,13.483,119.034,68.019,10.856,0,50.872,39.885,31.36,105.996,27.828,47.688,281.951,54.142,34.291,158.172,39.518,18.315,75.867,41.137,143.319,140.426,38.454,32.071,19.887,43.94,21.945,12.949,35.094,16.166,31.169,332.462,36.602,39.97,180.986,54.817,150.938,26.085,50.099,39.896,35.041,10.724,34.521,28.13,52.354,16.102,69.621,17.671,57.822,47.323,19.553,34.144,102.631,35.727,16.147,29.089,35.435,45.985,22.289,28.911,18.339,28.722,24.279, 
San Baltazar Guelavila,93.919,58.289,59.144,62.193,46.289,35.891,118.948,42.364,77.108,89.266,92.353,107.25,45.815,89.549,64.7,154.292,85.329,49.234,79.861,42.277,60.832,50.872,0,81.563,18.89,103.564,69.507,69.226,323.629,68.162,75.969,155.741,81.196,59.993,117.546,82.815,140.888,182.105,80.133,73.75,52.713,32.031,63.623,43.543,76.772,57.845,72.848,374.14,64.23,28.061,222.664,96.495,192.616,67.764,91.777,81.574,76.72,52.402,76.2,26.019,76.768,57.781,91.159,59.35,99.501,89.002,61.232,75.822,144.309,77.406,32.816,70.767,77.113,62.621,63.968,70.59,60.018,70.4,65.957, 
Soledad Etla,17.871,44.605,64.483,48.972,40.005,86.755,82.11,54.781,24.112,39.126,124.569,134.52,58.232,13.5,67.068,186.508,87.697,47.332,147.716,72.361,24.74,39.885,81.563,0,64.727,139.363,26.902,60.84,289.539,53.217,11.028,191.539,8.455,24.356,74.942,1.452,176.686,108.756,37.529,31.146,53.254,77.307,25.977,46.316,6.588,24.874,11.839,328.967,55.837,73.337,188.574,23.147,120.873,25.159,11.527,5.557,11.732,29.267,9.043,61.497,51.429,28.465,82.773,25.11,26.152,46.398,25.249,30.484,72.566,34.802,49.514,14.63,31.776,58.272,23.645,16.431,22.722,25.062,16.749, 
Santiago Matatln,74.407,38.777,51.052,75.094,26.777,27.799,99.436,22.852,57.596,69.754,72.841,82.792,26.303,70.037,56.608,134.78,77.237,29.722,85.043,34.185,41.32,31.36,18.89,64.727,0,87.288,53.231,50.339,307.353,49.275,59.693,139.465,64.92,43.717,82.899,66.539,124.612,165.829,63.857,57.474,36.437,13.144,47.347,27.267,60.496,41.569,56.572,357.864,45.343,9.175,206.388,80.219,176.34,51.488,75.501,65.298,60.444,36.126,59.924,9.743,57.881,41.505,72.272,43.074,83.225,72.726,44.956,59.546,128.033,61.13,16.54,54.491,60.837,43.734,47.692,54.314,43.742,54.124,49.681, 
Santa Mara Tlahuitoltepec,149.043,113.413,137.482,149.73,101.413,114.229,174.072,97.488,132.232,144.39,14.747,70.783,100.939,144.673,143.038,82.829,163.667,104.358,98.635,120.615,115.956,105.996,103.564,139.363,87.288,0,126.317,136.42,380.439,135.356,132.779,77.585,138.006,116.803,174.356,139.625,72.017,238.915,136.943,130.56,109.523,99.225,120.433,100.352,133.582,114.655,129.658,430.95,131.424,95.255,279.474,153.305,249.426,124.574,148.587,138.384,133.53,109.212,133.01,77.427,150.843,114.591,158.353,116.16,156.311,145.812,118.042,132.632,201.119,134.216,89.625,127.577,133.923,129.815,120.778,127.4,116.828,127.21,122.767, 
nimas Trujano,36.582,30.086,37.76,22.249,27.948,60.032,71.566,42.725,19.126,16.909,112.513,122.464,46.176,32.211,40.345,174.452,60.974,35.276,135.66,45.638,14.196,27.828,69.507,26.902,53.231,126.317,0,34.325,278.283,26.702,21.755,180.283,26.982,13.408,48.427,28.601,165.43,127.89,11.014,4.631,41.998,66.051,15.029,35.06,22.558,12.412,18.633,328.794,29.322,62.081,177.318,42.281,138.402,2.73,37.563,27.36,22.505,18.011,21.985,50.241,24.914,17.209,56.258,9.611,45.286,19.883,8.267,15.397,90.095,8.287,38.258,13.847,10.363,31.757,5.164,15.609,10.019,7.539,12.854, 
Santa Luca Ocotln,70.52,35.174,9.052,25.728,52.052,31.324,105.503,59.517,53.064,36.37,122.616,132.567,62.968,66.149,7.897,184.555,28.527,45.66,135.379,16.93,48.133,47.688,69.226,60.84,50.339,136.42,34.325,0,311.818,12.14,55.29,189.031,60.517,46.943,25.609,62.136,174.178,161.425,30.323,29.941,40.516,38.886,48.564,68.595,56.093,45.947,52.168,362.329,9.253,43.649,210.853,75.816,171.937,36.264,71.098,60.895,56.04,51.546,55.52,59.309,26.448,50.744,23.647,43.145,78.821,39.193,41.802,41.226,123.63,26.721,71.793,47.382,34.2,7.246,38.699,49.144,43.554,41.074,46.389, 
Ayotzintepec,299.219,286.67,315.417,299.906,282.07,334.294,208.632,273.432,282.407,294.566,366.635,376.586,276.794,294.849,318.002,428.574,338.631,289.398,389.782,323.295,265.398,281.951,323.629,289.539,307.353,380.439,278.283,311.818,0,301.345,279.981,221.916,285.208,261.747,323.07,286.827,283.278,314.031,285.657,279.274,291.428,315.481,262.097,268.364,280.784,263.066,276.86,170.204,303.965,311.511,97.345,300.507,396.628,273.288,295.789,285.586,280.732,267.441,280.212,299.671,299.557,262.37,330.901,265.516,303.512,294.526,265.655,279.834,348.321,282.93,287.688,274.779,281.125,306.4,268.391,274.602,264.153,274.412,269.969, 
Santiago Apstol,62.897,26.432,5.078,5.262,54.262,30.26,97.88,69.039,45.441,14.74,121.552,131.503,72.49,58.526,18.324,183.491,38.954,36.918,134.315,15.866,40.51,54.142,68.162,53.217,49.275,135.356,26.702,12.14,301.345,0,47.845,187.758,53.072,39.498,33.935,54.691,172.905,153.98,16.265,22.497,31.96,37.613,41.119,61.15,48.648,38.502,44.723,354.884,4.668,42.376,203.408,68.371,164.492,28.82,63.653,53.45,48.595,44.101,48.075,58.036,8.917,43.299,34.221,35.701,71.376,12.235,34.357,29.515,116.185,20.137,64.348,39.937,23.729,5.367,31.254,41.699,36.109,33.63,38.944, 
San Pablo Etla,20.708,39.011,58.889,43.378,34.411,81.161,76.516,49.187,18.518,33.532,118.975,128.926,52.638,16.338,61.474,180.914,82.103,41.738,142.122,66.767,19.146,34.291,75.969,11.028,59.693,132.779,21.755,55.29,279.981,47.845,0,184.943,10.336,17.76,68.346,11.955,170.09,111.244,30.933,24.55,46.658,70.711,19.381,39.72,5.912,18.278,2.801,331.455,49.241,66.741,181.978,25.635,121.756,18.563,20.917,10.714,6.072,22.671,5.339,54.901,44.833,21.869,76.177,18.514,28.64,39.802,18.653,23.888,73.449,28.206,42.918,8.034,25.18,51.676,17.049,9.835,16.126,18.466,10.153, 
San Juan Cotzocn,201.219,165.589,189.659,201.906,153.589,166.406,226.248,149.664,184.408,196.566,74.753,114.901,153.115,196.849,195.215,72.688,215.844,156.534,142.753,172.792,168.132,158.172,155.741,191.539,139.465,77.585,180.283,189.031,221.916,187.758,184.943,0,190.591,169.388,226.941,192.21,62.285,291.5,189.528,183.145,162.108,151.81,173.018,152.937,186.167,167.24,182.243,418.053,184.009,147.84,332.059,205.89,302.011,177.159,201.172,190.969,186.115,161.797,185.595,130.012,203.428,167.176,210.938,168.745,208.896,198.397,170.627,185.217,253.704,186.801,142.21,180.162,186.508,182.4,173.363,179.985,169.413,179.795,175.352, 
San Agustn Etla,15.981,44.238,64.116,48.605,39.637,86.388,81.743,54.414,23.745,38.759,124.202,134.153,57.865,11.61,66.701,186.141,87.33,46.965,147.349,71.994,24.373,39.518,81.196,8.455,64.92,138.006,26.982,60.517,285.208,53.072,10.336,190.591,0,24.012,74.598,9.698,176.342,105.499,37.185,30.802,52.91,76.963,25.633,45.972,6.244,24.53,11.495,325.71,55.493,72.993,188.23,19.89,117.615,24.815,15.172,4.968,11.389,28.923,8.699,61.153,51.085,28.121,82.429,24.766,22.895,46.054,24.905,30.14,69.308,34.458,49.17,14.286,31.432,57.928,23.301,16.087,22.378,24.718,16.405, 
San Agustn Yatareni,34.036,23.035,50.542,35.031,18.435,70.658,58.282,33.211,17.224,29.691,102.999,112.95,36.662,29.665,53.127,164.938,73.756,25.762,126.146,58.42,3.17,18.315,59.993,24.356,43.717,116.803,13.408,46.943,261.747,39.498,17.76,169.388,24.012,0,61.646,25.403,156.02,124.693,24.233,17.85,32.588,56.641,3.589,25.65,19.361,4.208,15.436,316.209,42.541,52.671,164.733,39.084,135.205,11.864,34.366,24.162,19.308,8.601,18.788,40.831,38.133,4.983,69.477,5.395,42.089,33.102,5.534,18.41,86.898,21.506,28.848,13.355,19.701,44.976,8.27,13.178,3.008,12.988,8.545, 
Ayoquezco de Aldama,84.622,63.662,31.32,34.171,75.987,63.884,119.605,90.764,67.166,32.435,160.552,170.503,94.215,80.251,22.233,222.491,31.622,74.148,183.699,49.49,62.235,75.867,117.546,74.942,82.899,174.356,48.427,25.609,323.07,33.935,68.346,226.941,74.598,61.646,0,74.883,211.712,174.172,36.457,42.689,62.906,68.196,61.311,81.342,68.84,58.694,64.915,375.076,35.251,72.959,223.6,88.563,184.684,49.012,83.845,73.642,68.787,64.293,68.267,96.523,21.973,63.491,25.585,55.893,91.568,26.8,54.549,43.596,136.377,40.33,84.54,60.129,37.811,35.95,51.446,61.891,56.301,48.33,59.136, 
Nazareno Etla,13.761,45.857,65.735,50.224,41.257,88.007,83.362,56.033,25.364,40.378,125.821,135.772,59.484,9.391,68.32,187.76,88.949,48.584,148.968,73.613,25.992,41.137,82.815,1.452,66.539,139.625,28.601,62.136,286.827,54.691,11.955,192.21,9.698,25.403,74.883,0,177.938,101.703,38.781,32.398,54.506,78.559,27.229,47.568,7.84,26.126,13.091,321.914,57.089,74.589,189.826,16.094,113.82,26.411,10.405,5.205,12.984,30.519,10.295,62.749,52.681,29.717,84.025,26.362,19.099,47.65,26.501,31.736,65.513,36.054,50.766,15.882,33.028,59.524,24.897,17.683,23.974,26.314,18.001, 
San Miguel Quetzaltepec,186.366,150.736,174.806,187.053,138.736,151.553,211.395,134.811,169.555,181.713,59.9,100.048,138.262,181.996,180.362,10.403,200.991,141.681,127.9,157.939,153.279,143.319,140.888,176.686,124.612,72.017,165.43,174.178,283.278,172.905,170.09,62.285,176.342,156.02,211.712,177.938,0,276.647,174.675,168.292,147.255,136.957,158.165,138.084,171.314,152.387,167.39,468.682,169.156,132.987,317.206,191.037,287.158,162.306,186.319,176.116,171.262,146.944,170.742,115.159,188.575,152.323,196.085,153.892,194.043,183.544,155.774,170.364,238.851,171.948,127.357,165.309,171.655,167.547,158.51,165.132,154.56,164.942,160.499, 
