LOCALIDADES,Apango de Zaragoza,La Compaa,San Jos Alchichica,Xochimilco,Tepeyahualco de Cuauhtmoc,Petlalcingo,San Francisco Independencia (Santa Mara Aserradero),San Vicente Boquern,San Francisco Cuautlancingo (El Barrio),Santa Clara Huitziltepec,La Pursima de Hidalgo,San Cristbal Tepeteopan,Tepanco de Lpez,Santiago Acozac,San Miguel Zacaola,Tlacamilco,Jess Nazareno,Nicols Bravo,Emilio Portes Gil,Francisco I. Madero,Santo Nombre,San Pablo de las Tunas,Atzitzintla,San Nicols Buenos Aires,San Andrs Cacaloapan,La Pursima,San Jos Tuzuapan,San Antonio Portezuelo,San Nicols Zoyapetlayoca,Santa Rosa,San Pablo Actipan,San Lorenzo Ometepec,Benito Jurez,San Jos Ixtapa,Aljojuca,Azumbilla,Cuesta Blanca,Mximo Serdn,Santa Mara Nenetzintla,Santa Ins Ahuatempan,Morelos Caada,San Miguel Zozutla,Ahuatepec,Tlanepantla,San Jernimo Ocotitln,San Jos Chiapa,Santiago Tenango,Palmar de Bravo,San Juan Ixcaquixtla,Tepexi de Rodrguez,San Simn de Bravo,San Martn Caltenco,Xochitln,Tecali de Herrera,Santo Toms Hueyotlipan,El Rincn Citlaltpetl,Chapulco,Santa Mara Coatepec,San Bartolo Teontepec,Santa rsula Chiconquiac,San Gabriel Tetzoyocan,Atoyatempan,San Agustn Tlaxco,La Magdalena Tetela Morelos,Soltepec,Tochtepec,Santa Mara la Alta,Nopalucan de la Granja,San Sebastin Villanueva,Yehualtepec,Cuapiaxtla de Madero,Actipan de Morelos (Santa Mara Actipan),Santa Mara Ixtiyucan,Tlachichuca,Santiago Acatln,Santiago Alseseca,Esperanza,Cuapiaxtla,Cuacnopalan,San Miguel Xaltepec,Tlacotepec de Benito Jurez,San Hiplito Xochiltenango,Magdalena Cuayucatepec,San Marcos Tlacoyalco,Oriental,Guadalupe Victoria,Ciudad de Rafael Lara Grajales,Quecholac,San Mateo Tlaixpan,San Salvador Huixcolotla,Santiago Miahuatln,Villa de El Carmen Tequexquitla,Ciudad de Libres,Tepatlaxco de Hidalgo,Acatln de Osorio,Los Reyes de Jurez,Palmarito Tochapan,San Salvador el Seco,Acajete,Ciudad Serdn,Acatzingo de Hidalgo,Tepeaca,Tecamachalco,Heroica Ciudad de Huajuapan de Len, 
La Pursima de Hidalgo,42.705,19.245,88.642,9.944,11.151,116.027,78.945,98.668,75.367,13.686,0,57.11,53.103,25.342,11.681,43.488,25.267,25.963,68.736,108.342,37.576,27.736,64.933,57.364,48.554,32.866,19.244,26.27,19.331,6.585,20.117,7.744,31.067,57.813,57.787,71.629,50.446,82.813,38.704,69.687,51.948,32.225,14.935,11.316,36.223,63.06,30.073,38.865,59.991,44.016,20.77,9.023,19.147,27.366,12.976,66.508,75.693,50.679,64.223,33.344,14.286,17.682,42.039,39.658,45.116,3.434,47.502,53.418,36.139,26.647,13.568,18.722,46.406,72.467,30.732,16.088,58.248,92.496,46.464,26.9,36.269,20.623,64.995,41.222,83.29,90.232,60.142,23.264,12.62,11.639,70.508,77.009,96.926,51.75,101.695,18.733,22.816,45.249,56.263,74.619,19.987,25.307,10.194,156.64, 
San Cristbal Tepeteopan,85.196,58.138,131.132,44.393,57.174,84.198,94.41,93.623,84.133,51.433,57.11,0,4.293,68.316,62.16,86.461,59.033,68.089,110.862,150.468,24.566,69.862,74.277,99.49,8.234,63.042,53.01,68.396,62.305,53.098,69.121,65.862,74.041,40.686,98.56,30.021,57.478,125.787,81.677,72.65,46.123,30.941,72.05,68.431,79.196,105.186,63.839,60.997,47.498,56.12,61.784,56.325,37.083,78.309,63.545,109.482,27.317,92.805,5.663,64.123,36.615,74.796,85.012,82.631,87.242,57.965,20.394,95.544,78.265,36.306,56.541,60.848,88.532,98.502,73.706,41.286,67.592,135.47,53.496,68.284,22.19,63.596,10.309,20.219,125.416,132.358,102.268,57.03,51.072,53.766,15.822,119.135,139.052,94.724,90.602,60.859,56.582,87.375,99.237,83.963,62.113,68.28,46.923,127.341, 
Tepanco de Lpez,81.189,54.131,127.125,40.386,53.167,92.68,96.601,102.105,86.324,47.426,53.103,4.293,0,64.2,58.044,82.345,54.917,63.972,106.745,146.351,20.45,65.745,76.39,95.373,4.118,65.155,48.894,64.279,58.189,48.982,65.005,61.746,69.925,42.799,95.796,32.134,59.591,121.671,77.561,68.533,48.236,26.825,67.934,64.315,75.08,101.069,59.723,63.11,38.574,52.003,57.668,52.208,32.967,74.193,59.429,105.366,29.43,88.688,11.649,60.007,32.499,70.68,80.896,78.515,83.125,53.849,16.277,91.427,74.148,32.189,52.425,56.731,84.415,100.615,69.59,37.17,69.705,131.354,55.609,56.55,18.074,59.48,12.422,16.103,121.299,128.241,98.151,52.914,46.956,49.649,17.935,115.018,134.935,90.608,99.006,56.742,52.466,83.258,95.121,86.076,57.996,64.164,42.807,135.745, 
Santiago Acozac,30.522,18.427,73.567,29.452,24.06,126.266,63.87,108.907,62.455,29.728,25.342,68.316,64.2,0,10.473,26.714,28.912,9.333,54.208,93.815,42.835,13.209,62.31,42.837,53.813,39.515,22.613,11.743,8.64,13.627,15.456,14.175,8.907,55.19,43.26,69.006,47.823,66.416,28.442,77.56,57.193,37.484,19.726,16.107,25.961,65.862,22.687,36.242,67.864,51.889,12.587,11.341,37.124,24.644,12.663,50.111,73.07,36.152,88.646,18.817,31.421,22.844,32.879,29.396,30.589,18.48,52.761,58.278,21.612,31.907,6.235,2.439,30.642,57.94,20.471,21.348,55.625,76.099,43.841,28.116,41.528,9.931,90.618,46.481,68.762,75.705,62.397,21.078,10.92,8.693,87.788,62.481,82.398,35.353,109.568,1.565,23.043,30.722,39.866,71.996,4.913,14.615,15.454,164.513, 
San Miguel Zacaola,31.682,24.314,87.865,23.296,9.016,111.223,78.169,93.864,76.754,14.684,11.681,62.16,58.044,10.473,0,33.429,30.538,22.745,68.556,108.162,42.846,27.556,75.721,57.184,53.824,38.137,24.515,26.09,5.951,13.638,9.805,3.943,21.009,68.601,57.607,82.417,61.234,72.755,28.645,67.328,70.604,37.495,10.13,6.511,26.164,72.201,35.344,49.653,57.632,41.657,26.934,4.233,28.808,25.277,1.936,56.45,86.481,50.499,69.493,33.164,31.432,12.877,31.98,29.599,44.936,8.247,52.772,64.617,35.959,31.918,6.148,11.443,44.054,72.287,20.674,21.359,69.036,82.438,57.252,41.527,41.539,10.564,70.265,46.492,83.11,90.052,68.736,28.535,17.988,12.405,75.778,76.829,96.746,41.692,99.336,10.233,28.087,45.069,46.205,85.407,19.26,15.248,15.465,154.281, 
Tlacamilco,3.284,40.661,93.046,47.598,42.205,144.411,86.104,127.052,84.69,47.873,43.488,86.461,82.345,26.714,33.429,0,49.416,15.146,72.849,112.618,67.629,34.662,82.814,64.29,78.607,60.019,43.117,33.196,26.916,38.42,22.741,37.351,14.824,75.694,64.713,89.51,68.327,36.849,7.68,100.736,77.697,62.278,33.881,34.383,8.857,36.296,48.391,56.746,91.04,75.065,34.04,34.731,61.918,31.386,30.938,20.544,93.574,57.605,94.276,40.27,56.214,41.12,10.657,4.018,49.666,41.656,77.555,28.712,28.653,56.7,30.93,27.532,33.905,79.393,14.53,46.141,76.129,43.315,64.345,48.62,66.322,24.382,95.048,71.275,59.961,94.508,32.83,41.582,35.324,33.097,108.292,53.069,69.135,9.927,132.744,28.772,43.547,52.175,10.299,92.5,20.882,18.661,40.247,187.689, 
Jess Nazareno,54.667,16.889,98.742,20.169,39.314,147.59,59.813,124.161,49.536,37.128,25.267,59.033,54.917,28.912,30.538,49.416,0,33.78,79.59,119.196,39.867,17.144,39.443,68.218,50.845,9.217,6.023,20.315,30.798,21.592,37.614,34.355,34.886,32.323,63.726,46.139,24.956,90.791,52.817,97.74,28.299,34.516,40.543,36.924,50.336,90.237,17.679,10.488,88.044,72.069,15.624,24.818,36.261,46.802,32.038,74.486,50.203,61.533,65.779,17.963,28.453,43.289,57.254,53.771,55.97,26.459,49.793,82.653,46.993,28.938,25.034,31.46,55.089,63.668,44.846,18.379,32.758,100.475,15.118,2.081,38.56,32.089,67.751,43.513,94.144,101.086,86.772,9.818,14.958,22.259,64.921,87.863,107.78,59.728,153.136,32.7,3.577,56.103,64.241,49.129,30.294,36.773,15.416,178.648, 
Nicols Bravo,17.676,21.375,76.515,29.225,31.521,133.727,66.819,116.368,65.404,37.189,25.963,68.089,63.972,9.333,22.745,15.146,33.78,0,57.155,96.762,48.733,16.156,66.519,45.784,59.711,43.724,26.822,14.689,15.738,19.525,22.554,25.947,5.86,59.399,46.207,73.215,52.032,35.828,25.675,89.332,61.402,43.382,26.824,23.205,23.194,32.897,25.634,40.451,79.636,63.661,15.534,23.327,43.022,31.742,19.761,53.577,77.279,39.099,92.855,21.764,37.319,29.942,36.345,18.717,33.536,30.252,58.659,29.72,15.45,37.805,19.526,9.026,22.708,60.887,17.704,27.246,59.834,38.069,48.05,32.325,47.426,17.029,94.827,52.379,56.562,78.652,29.485,25.287,16.818,14.591,91.997,49.67,70.198,38.819,121.34,10.266,27.252,33.669,43.332,76.205,6.47,14.583,21.352,176.285, 
Emilio Portes Gil,69.906,49.84,21.441,71.998,77.332,179.538,45.307,162.179,58.639,83,68.736,110.862,106.745,54.208,68.556,72.849,79.59,57.155,0,52.124,91.657,44.306,77.638,23.748,102.635,89.404,72.502,42.644,61.417,62.449,68.233,71.626,58.808,105.079,32.942,118.895,97.712,46.464,75.328,135.011,107.082,86.306,72.503,68.884,75.107,36.712,48.121,86.131,125.315,109.34,47.168,63.751,85.946,77.421,65.44,56.277,122.959,31.754,118.304,42.84,80.243,75.621,72.981,70.613,33.739,69.905,101.583,45.098,40.299,80.729,63.968,51.765,45.497,38.851,69.617,70.17,73.13,34.163,93.73,78.005,90.35,62.708,119.076,95.303,26.975,34.014,41.354,52.819,55.351,57.515,137.677,20.694,40.611,84.499,167.019,53.005,59.401,24.782,63.498,54.168,49.901,69.026,64.276,221.964, 
Francisco I. Madero,109.675,89.447,45.92,111.604,116.938,219.144,47.824,201.785,61.707,122.606,108.342,150.468,146.351,93.815,108.162,112.618,119.196,96.762,52.124,0,131.873,84.522,82.273,63.964,142.851,129.62,112.718,82.86,101.634,102.665,108.45,111.843,99.024,106.035,57.248,104.468,78.289,86.68,115.544,175.228,91.461,126.522,112.72,109.101,115.323,76.928,88.337,126.347,165.532,149.557,87.384,103.967,126.162,117.638,105.657,96.493,108.532,71.97,139.491,83.056,120.459,115.838,113.197,110.829,73.955,110.121,141.799,85.314,80.515,120.945,104.184,91.981,85.713,42.151,109.833,110.386,77.765,74.379,86.391,118.221,130.566,102.925,141.463,135.519,67.191,18.857,81.57,93.035,95.567,97.731,119.02,60.91,80.827,124.715,207.236,93.221,99.617,64.999,103.714,58.029,90.117,109.242,104.492,262.181, 
Santo Nombre,65.662,38.604,111.598,24.859,33.211,88.113,101.901,98.408,106.597,27.47,37.576,24.566,20.45,42.835,42.846,67.629,39.867,48.733,91.657,131.873,0,50.649,79.487,80.277,16.308,47.419,33.798,49.183,43.093,33.886,49.909,46.65,54.829,63.127,80.7,52.461,65,106.575,62.465,74.752,68.564,11.729,40.856,49.219,59.984,85.973,44.627,53.419,36.227,49.081,42.572,37.112,13.417,59.097,44.333,90.27,49.757,73.592,31.976,44.911,17.403,38.032,65.8,63.419,68.029,38.753,8.541,76.331,59.052,17.093,37.329,41.635,69.319,95.38,54.494,22.074,72.802,116.258,61.018,41.454,2.558,44.384,32.749,8.976,106.203,113.145,83.055,37.818,31.86,34.553,38.262,99.922,119.839,75.512,94.431,41.646,37.37,68.162,80.025,89.173,42.9,49.068,27.711,131.17, 
San Pablo de las Tunas,39.913,4.259,64.247,30.998,36.332,138.538,54.55,121.179,53.136,42,27.736,69.862,65.745,13.209,27.556,34.662,17.144,16.156,44.306,84.522,50.649,0,53.831,32.851,53.908,28.485,14.956,1.985,21.195,22.227,28.011,31.404,18.586,46.711,33.274,60.527,39.344,42.358,37.366,94.789,48.714,37.579,32.281,28.662,34.885,38.547,10.371,27.764,85.093,69.118,3.477,23.529,39.324,37.199,25.218,59.035,64.591,26.166,80.167,4.366,31.516,35.399,41.803,38.32,20.603,29.683,52.856,36.826,11.626,32.001,23.746,11.543,36.795,47.954,29.395,21.442,47.146,44.65,35.362,19.637,41.623,22.486,82.139,46.576,58.777,65.719,35.629,7.326,9.737,17.293,79.309,52.496,72.413,44.277,126.797,12.783,13.908,20.736,48.79,48.58,9.679,28.804,18.479,181.742, 
Atzitzintla,88.065,53.576,97.578,59.835,84.497,152.787,34.749,162.212,24.472,90.165,64.933,74.277,76.39,62.31,75.721,82.814,39.443,66.519,77.638,82.273,79.487,53.831,0,48.986,81.249,35.71,44.669,70.68,70.244,62.688,77.06,75.451,68.442,39.218,39.739,37.651,19.018,124.347,86.372,138.836,24.644,75.612,81.33,77.711,83.891,74.109,58.263,32.437,116.928,113.165,56.208,65.914,77.357,86.248,74.267,108.042,41.715,46.781,72.674,58.547,69.549,84.385,90.81,87.326,62.16,67.555,93.408,116.209,80.549,70.034,66.13,65.016,88.645,39.681,78.401,59.475,8.805,134.03,25.357,39.724,95.205,71.535,74.646,93.233,92.785,62.084,77.186,51.454,54.477,63.355,52.203,86.504,106.421,93.284,160.031,66.256,42.029,52.657,97.797,25.142,63.85,77.81,56.512,185.543, 
San Nicols Buenos Aires,69.541,38.469,43.689,60.626,65.96,168.166,21.773,150.807,29.394,71.628,57.364,99.49,95.373,42.837,57.184,64.29,68.218,45.784,23.748,63.964,80.277,32.851,48.986,0,91.891,78.66,61.758,31.9,50.674,51.705,57.49,60.883,48.064,94.335,9.496,71.21,46.376,58.362,66.844,124.268,58.203,75.562,61.76,58.141,64.363,34.944,37.378,75.387,114.572,98.597,36.424,53.007,75.202,66.678,54.697,68.175,75.274,13.391,107.56,32.097,69.499,64.878,71.281,67.798,22.995,59.161,90.839,39.218,29.555,69.985,53.224,41.021,37.835,15.859,58.873,59.426,44.507,46.061,82.986,67.261,79.606,51.965,108.332,84.559,38.873,45.816,38.021,42.075,44.607,46.771,126.933,32.592,52.509,73.755,156.276,42.261,48.657,14.039,78.268,25.545,39.157,58.282,53.532,211.221, 
San Andrs Cacaloapan,76.64,49.582,122.576,35.837,48.618,96.621,100.542,106.046,90.265,42.877,48.554,8.234,4.118,53.813,53.824,78.607,50.845,59.711,102.635,142.851,16.308,53.908,81.249,91.891,0,58.397,44.776,60.161,54.07,44.864,60.887,57.628,65.806,46.819,91.678,36.153,63.611,117.552,73.443,63.544,52.256,22.706,63.816,60.197,70.962,96.951,55.605,67.13,33.585,47.014,53.55,48.09,28.849,70.074,55.311,101.247,33.449,84.57,15.669,55.889,28.381,66.562,76.778,74.397,79.007,49.731,12.159,87.309,70.03,28.071,48.307,52.613,80.297,104.635,65.472,33.052,73.725,127.235,59.629,52.432,13.956,55.362,16.441,11.984,117.181,124.123,94.033,48.796,42.837,45.531,21.954,110.9,130.817,86.489,103.026,52.624,48.348,79.14,91.002,90.096,53.878,60.046,38.689,139.765, 
La Pursima,65.27,28.23,109.345,27.767,46.913,141.552,43.664,131.76,38.372,44.727,32.866,63.042,65.155,39.515,38.137,60.019,9.217,43.724,89.404,129.62,47.419,28.485,35.71,78.66,58.397,0,13.606,31.63,38.38,29.174,45.196,41.937,41.816,22.554,58.818,35.207,15.963,97.721,59.747,105.322,21.908,42.099,48.125,44.506,57.266,97.167,28.994,4.097,95.626,79.651,26.939,32.4,43.843,54.384,39.62,81.416,39.271,59.988,60.871,29.278,36.036,50.871,64.184,60.701,54.424,34.041,57.376,89.583,45.447,36.521,32.616,38.39,62.019,58.76,51.776,25.962,27.85,107.405,8.727,7.532,46.143,39.671,62.843,51.096,92.598,81.163,93.702,21.133,22.54,29.841,60.013,86.317,106.234,66.658,148.228,39.63,13.27,54.558,71.171,44.221,37.224,44.355,22.998,173.74, 
San Jos Tuzuapan,48.368,13.085,92.443,14.146,33.291,141.396,54.46,118.138,49.168,31.105,19.244,53.01,48.894,22.613,24.515,43.117,6.023,26.822,72.502,112.718,33.798,14.956,44.669,61.758,44.776,13.606,0,19.335,24.774,15.568,31.59,28.331,27.905,37.97,54.801,51.786,30.603,83.81,45.836,91.716,32.705,28.493,34.519,30.9,43.355,83.256,16.699,14.893,82.02,66.045,14.644,18.794,30.237,40.778,26.014,67.505,55.85,47.693,71.426,16.983,22.43,37.265,50.273,46.79,42.129,20.435,43.77,75.672,33.152,22.915,19.01,24.479,48.108,69.481,37.865,12.356,38.405,93.493,19.524,7.656,32.537,26.065,73.398,37.49,80.303,87.246,79.791,9.108,8.935,16.235,70.568,74.022,93.939,52.747,123.724,25.719,3.573,42.263,57.26,54.776,23.313,30.749,9.392,184.295, 
