LOCALIDADES,Flores Magn,Congregacin Ortz,El Terrero,Constitucin,Janos,Tomochi,Miguel Hidalgo,Santa Ana,Guadalupe,San Isidro (Ro Grande),Ignacio Zaragoza,El Largo,Colonia Revolucin,Puerto Palomas de Villa,Naica,Creel,Casas Grandes,Valentn Gmez Faras,Santa Cruz de Rosales,Ejido Benito Jurez,San Buenaventura,Santa Eulalia,Vicente Guerrero,Miguel Ahumada,Lzaro Crdenas,La Junta,Colonia Anhuac,San Juanito,Saucillo,Ascensin,Madera,Juan Aldama,Pedro Meoqui,Manuel Ojinaga,Nuevo Casas Grandes,Cuauhtmoc,Delicias,Chihuahua,Jurez, 
Ignacio Zaragoza,102.704,395.854,90.655,119.236,189.872,222.963,409.968,84.409,361.455,335.151,0,115.002,398.341,314.04,444.378,272.862,133.84,35.732,402.906,129.131,48.865,329.745,150.853,196.249,372.462,164.328,211.81,240.451,427.871,220.396,107.563,339.683,390.832,543.07,128.185,202.973,403.797,310.279,315.002, 
El Largo,216.41,434.327,154.825,232.942,303.578,250.794,448.441,148.578,475.161,448.857,115.002,0,437.38,427.765,467.414,316.509,247.565,99.913,441.946,242.856,162.59,372.785,188.992,309.974,411.501,207.974,268.635,284.098,466.91,334.121,79.798,386.103,429.872,589.49,241.91,254.923,442.836,362.831,428.727, 
Colonia Revolucin,296.731,11.635,267.209,279.937,468.385,297.676,15.871,301.45,487.065,460.761,398.341,437.38,0,570.514,49.633,337.97,412.597,349.608,17.649,320.668,352.329,75.11,250.87,322.051,26.741,230.652,183.042,305.559,33.126,499.153,357.752,102.918,8.298,306.305,406.942,182.258,9.052,92.057,440.804, 
Puerto Palomas de Villa,296.887,567.754,371.794,313.419,126.356,593.327,581.868,392.851,199.8,173.496,314.04,427.765,570.514,0,615.962,633.722,194.388,348.48,574.49,323.348,265.865,501.329,459.953,249.143,544.046,526.404,495.223,601.311,599.455,94.225,420.312,511.267,562.416,548.492,186.192,486.386,575.381,481.863,152.041, 
Naica,342.768,49.761,313.246,325.974,514.422,327.71,56.51,331.484,533.102,506.798,444.378,467.414,49.633,615.962,0,368.466,458.576,380.104,43.076,366.647,398.308,121.089,281.366,368.03,72.72,261.148,213.538,336.055,33.562,545.132,388.248,148.897,54.276,314.441,452.921,212.754,42.183,138.036,486.783, 
Creel,358.447,335.21,209.836,374.979,509.549,142.548,349.324,188.698,659.652,633.348,272.862,316.509,337.97,633.722,368.466,0,453.64,241.153,342.755,384.895,320.164,273.594,117.907,492.955,312.31,109.476,169.444,32.961,367.719,540.196,225.188,286.912,330.681,490.299,447.985,155.732,343.645,263.64,611.708, 
Casas Grandes,116.687,409.837,191.594,133.219,70.215,413.127,423.951,212.651,322.998,296.694,133.84,247.565,412.597,194.388,458.576,453.64,0,168.199,416.842,143.067,85.584,343.681,279.672,210.185,386.398,346.123,314.942,421.03,441.807,100.741,240.031,353.619,404.768,557.006,11.397,306.105,417.733,324.215,275.237, 
Valentn Gmez Faras,137.139,346.848,55.117,153.671,224.307,187.424,360.962,48.87,395.89,369.586,35.732,99.913,349.608,348.48,380.104,241.153,168.199,0,354.501,163.64,83.374,285.34,115.358,230.758,324.056,128.833,176.315,204.956,379.465,254.905,72.069,298.658,342.427,502.045,162.694,167.478,355.391,233.177,349.511, 
Santa Cruz de Rosales,301.296,9.047,271.774,284.502,472.95,302.242,21.86,306.016,491.63,465.326,402.906,441.946,17.649,574.49,43.076,342.755,416.842,354.501,0,325.333,356.994,79.775,255.535,326.716,31.406,235.317,187.707,310.224,38.3,503.818,362.417,107.583,13.174,310.97,411.607,186.923,11.981,96.722,445.469, 
Ejido Benito Jurez,25.639,317.908,174.661,41.29,199.175,344.382,332.022,195.393,233.32,207.016,129.131,242.856,320.668,323.348,366.647,384.895,143.067,163.64,325.333,0,82.843,251.851,297.772,68.174,294.568,277.553,246.372,352.46,349.977,229.667,235.395,261.789,312.938,465.176,137.456,237.535,325.903,232.385,186.927, 
San Buenaventura,56.419,349.569,106.619,72.951,141.692,266.435,363.683,127.676,315.17,288.866,48.865,162.59,352.329,265.865,398.308,320.164,85.584,83.374,356.994,82.843,0,282.8,194.113,149.304,325.517,207.588,247.396,283.711,380.926,172.215,155.132,292.738,343.887,496.125,80.004,238.559,356.852,263.334,268.057, 
Santa Eulalia,228.135,72.35,198.613,211.341,399.789,233.081,86.464,236.855,418.469,392.165,329.745,372.785,75.11,501.329,121.089,273.594,343.681,285.34,79.775,251.851,282.8,0,185.695,253.643,49.447,165.477,117.867,240.384,104.856,430.745,292.577,34.51,67.818,237.897,338.534,117.083,80.782,23.649,372.396, 
Vicente Guerrero,271.348,248.11,87.827,287.88,335.78,64.178,262.224,66.689,572.552,546.248,150.853,188.992,250.87,459.953,281.366,117.907,279.672,115.358,255.535,297.772,194.113,185.695,0,405.908,225.263,21.736,82.397,97.86,280.672,376.145,109.639,199.865,243.634,403.252,283.934,68.685,256.598,176.593,524.661, 
Miguel Ahumada,92.757,319.291,241.779,154.676,304.31,452.442,333.405,262.511,166.282,139.978,196.249,309.974,322.051,249.143,368.03,492.955,210.185,230.758,326.716,68.174,149.304,253.643,405.908,0,295.935,387.083,339.473,461.99,351.344,272.531,302.471,263.156,314.305,466.543,204.532,338.689,327.27,233.752,119.784, 
Lzaro Crdenas,270.852,23.981,241.33,254.058,442.506,271.797,38.096,275.571,461.186,434.882,372.462,411.501,26.741,544.046,72.72,312.31,386.398,324.056,31.406,294.568,325.517,49.447,225.263,295.935,0,204.74,157.13,279.647,57.499,473.241,331.84,77.006,20.461,280.393,381.03,156.346,33.425,66.145,414.892, 
La Junta,251.129,227.892,101.302,267.661,402.231,68.963,242.006,80.164,552.334,526.03,164.328,207.974,230.652,526.404,261.148,109.476,346.123,128.833,235.317,277.553,207.588,165.477,21.736,387.083,204.74,0,62.122,76.998,260.397,432.874,128.663,179.59,223.359,382.977,340.663,48.41,236.323,156.318,504.386, 
Colonia Anhuac,219.948,180.282,143.86,236.48,371.05,128.931,194.396,127.83,504.724,478.42,211.81,268.635,183.042,495.223,213.538,169.444,314.942,176.315,187.707,246.372,247.396,117.867,82.397,339.473,157.13,62.122,0,137.011,213.009,401.544,189.204,132.202,175.971,335.589,309.333,13.862,188.935,108.93,456.998, 
San Juanito,326.036,302.799,177.425,342.568,477.138,110.137,316.913,156.287,627.241,600.937,240.451,284.098,305.559,601.311,336.055,32.961,421.03,204.956,310.224,352.46,283.711,240.384,97.86,461.99,279.647,76.998,137.011,0,335.255,507.732,192.724,254.448,298.217,457.835,415.521,123.268,311.181,231.176,579.244, 
Saucillo,326.261,38.029,296.739,309.467,497.915,327.206,25.762,330.98,516.595,490.291,427.871,466.91,33.126,599.455,33.562,367.719,441.807,379.465,38.3,349.977,380.926,104.856,280.672,351.344,57.499,260.397,213.009,335.255,0,528.609,387.208,132.374,37.754,298.8,436.398,211.714,26.771,121.513,470.26, 
Ascensin,203.243,496.393,278.15,219.775,32.712,499.683,510.507,299.207,222.836,196.532,220.396,334.121,499.153,94.225,545.132,540.196,100.741,254.905,503.818,229.667,172.215,430.745,376.145,272.531,473.241,432.874,401.544,507.732,528.609,0,326.667,440.255,491.404,583.392,92.547,392.741,504.369,410.851,175.076, 
Madera,208.971,354.992,104.632,225.503,296.139,171.459,369.106,107.211,467.722,441.418,107.563,79.798,357.752,420.312,388.248,225.188,240.031,72.069,362.417,235.395,155.132,292.577,109.639,302.471,331.84,128.663,189.204,192.724,387.208,326.667,0,306.759,350.528,510.146,234.489,175.579,363.492,283.487,421.306, 
Juan Aldama,238.073,100.158,208.551,221.279,409.727,246.399,114.272,250.173,428.407,402.103,339.683,386.103,102.918,511.267,148.897,286.912,353.619,298.658,107.583,261.789,292.738,34.51,199.865,263.156,77.006,179.59,132.202,254.448,132.374,440.255,306.759,0,91.622,212.628,342.369,126.99,104.587,28.484,376.231, 
Pedro Meoqui,289.222,5.749,259.7,272.428,460.876,290.168,19.652,293.942,479.556,453.252,390.832,429.872,8.298,562.416,54.276,330.681,404.768,342.427,13.174,312.938,343.887,67.818,243.634,314.305,20.461,223.359,175.971,298.217,37.754,491.404,350.528,91.622,0,298.925,399.562,174.878,13.736,84.677,433.424, 
Manuel Ojinaga,441.46,303.545,411.938,424.666,615.524,449.786,319.668,453.56,360.494,388.254,543.07,589.49,306.305,548.492,314.441,490.299,557.006,502.045,310.97,465.176,496.125,237.897,403.252,466.543,280.393,382.977,335.589,457.835,298.8,583.392,510.146,212.628,298.925,0,549.748,334.369,320.759,235.863,418.366, 
Nuevo Casas Grandes,111.032,404.182,185.939,127.564,62.019,407.472,418.296,206.996,314.802,288.498,128.185,241.91,406.942,186.192,452.921,447.985,11.397,162.694,411.607,137.456,80.004,338.534,283.934,204.532,381.03,340.663,309.333,415.521,436.398,92.547,234.489,342.369,399.562,549.748,0,300.531,412.159,318.641,267.044, 
Cuauhtmoc,211.111,179.498,135.023,227.643,362.213,115.219,193.612,118.993,503.94,477.636,202.973,254.923,182.258,486.386,212.754,155.732,306.105,167.478,186.923,237.535,238.559,117.083,68.685,338.689,156.346,48.41,13.862,123.268,211.714,392.741,175.579,126.99,174.878,334.369,300.531,0,188.343,108.338,456.406, 
Delicias,302.187,10.32,272.665,285.393,473.841,303.132,8.67,306.906,492.521,466.217,403.797,442.836,9.052,575.381,42.183,343.645,417.733,355.391,11.981,325.903,356.852,80.782,256.598,327.27,33.425,236.323,188.935,311.181,26.771,504.369,363.492,104.587,13.736,320.759,412.159,188.343,0,97.55,446.297, 
Chihuahua,208.669,89.297,179.147,191.875,380.323,223.127,103.411,226.901,399.003,372.699,310.279,362.831,92.057,481.863,138.036,263.64,324.215,233.177,96.722,232.385,263.334,23.649,176.593,233.752,66.145,156.318,108.93,231.176,121.513,410.851,283.487,28.484,84.677,235.863,318.641,108.338,97.55,0,350.672, 
Jurez,211.51,438.044,360.532,273.429,207.208,571.195,452.158,381.264,58.14,31.836,315.002,428.727,440.804,152.041,486.783,611.708,275.237,349.511,445.469,186.927,268.057,372.396,524.661,119.784,414.892,504.386,456.998,579.244,470.26,175.076,421.306,376.231,433.424,418.366,267.044,456.406,446.297,350.672,0, 
