LOCALIDADES,Gabriel Leyva Velzquez,Cohuibampo,Leopoldo Snchez Celis (El Gato de Lara),Las Grullas Margen Izquierda,Poblado Nmero Cinco,El Varal (San Sebastin Nmero Uno),Cerrillos (Campo 35),Alhuey,Colonia Agrcola Mxico (Palmitas),El Cubilete (El Cubilete Nmero Uno),El Cerro Cabezn,El Colorado,Juan Aldama (El Tigre),Mochis (Ejido Mochis),Bamoa,Callejones de Guasavito,El Castillo,Nuevo San Miguel,No,Charay,Len Fonseca (Estacin Verdura),Leopoldo Snchez Celis,El Limn de los Ramos,Tamazula,Bachoco,Baborigame,Colonia Independencia (Chinitos),Genaro Estrada,Alfonso G. Caldern (Poblado Siete),Corerepe (El Gallo),Primero de Mayo,Badiraguato,San Pedro,El Burrin,Compuertas,Los ngeles,La Trinidad,Culiacancito,El Estero (Juan Jos Ros),El Centenario,Gustavo Daz Ordaz (El Carrizo),Bagojo Colectivo,Adolfo Lpez Mateos (Jahuara Segundo),Angostura,Todos Santos,Sinaloa de Leyva,Mocorito,Benito Jurez,Adolfo Lpez Mateos (El Tamarindo),Mochicahui,Quil,Guadalupe y Calvo,San Miguel Zapotitln,San Blas,Estacin Naranjo,Pericos,Topolobampo,Constancia,Estacin Bamoa (Campo Wilson),La Reforma,El Diez,San Jos Viejo,Choix,Higuera de Zaragoza,General ngel Flores (La Palma),Las Veredas,Ahome,Las Palmas,El Fuerte,Adolfo Ruiz Cortines,Eldorado,Guachochi,Juan Jos Ros,Licenciado Benito Jurez (Campo Gobierno),Costa Rica,Gabriel Leyva Solano (Benito Jurez),Navolato,Colonia del Sol,Guamchil,Cabo San Lucas,San Jos del Cabo,Guasave,La Paz,Los Mochis,Culiacn Rosales, 
El Cerro Cabezn,49.082,77.591,146.896,103.004,98.55,67.487,52.896,101.689,144.24,54.351,0,111.11,169.477,58.616,78.062,60.639,230.479,65.56,68.106,73.292,80.245,242.597,187.876,62.624,18.8,455.917,150.407,91.421,78.75,25.858,53.417,196.551,200.424,64.871,56.403,59.272,62.411,195.753,32.284,306.217,101.964,70.519,114.005,104.245,376.048,98.197,117.177,92.222,183.645,60.854,251.734,399.275,63.057,83.809,71.319,160.661,71.454,64.237,82.25,145.861,211.14,469.65,174.241,93.374,184.478,466.021,79.533,450.723,125.897,29.02,259.347,442.454,30.155,208.932,224.394,37.749,194.895,452.507,100.295,449.159,475.195,58.116,297.814,50.083,205.958, 
El Colorado,114.348,36.454,212.163,11.981,79.409,132.754,79.316,166.956,209.507,134.453,111.11,0,234.612,49.151,143.197,125.774,295.614,46.985,133.241,74.259,145.381,307.732,253.011,142.173,95.428,521.052,215.542,156.556,61.581,107.094,66.521,261.686,265.559,130.006,54.605,124.407,127.546,260.888,81.938,314.696,84.795,40.462,96.837,169.38,384.527,163.333,182.312,157.357,248.78,61.68,316.869,464.41,49.708,84.776,136.454,225.796,79.933,65.204,147.385,210.996,276.275,478.129,188.762,29.098,249.613,474.5,32.239,459.202,139.163,94.155,324.482,456.975,82.671,274.067,289.529,102.884,260.03,460.986,165.43,457.638,483.674,123.252,306.293,57.567,271.093, 
Juan Aldama (El Tigre),146.628,199.241,34.679,224.654,220.2,121.861,174.546,72.548,32.517,123.119,169.477,234.612,0,184.912,130.491,113.789,75.939,191.856,120.535,199.588,137.167,88.056,46.147,123.021,158.61,325.222,22.413,167.703,205.046,146.31,179.712,65.856,45.884,109.82,182.699,120.66,138.694,35.924,158.58,432.513,228.26,196.815,240.301,79.317,502.344,142.538,100.649,96.151,23.816,187.15,97.193,268.58,189.353,210.105,147.601,27.204,197.75,190.533,125.007,41.108,56.599,595.946,300.537,219.67,29.353,592.317,205.829,577.019,252.193,144.477,104.806,426.522,156.451,54.391,69.853,135.072,41.643,578.803,83.151,575.455,601.491,116.122,424.11,176.379,48.965, 
Mochis (Ejido Mochis),61.854,20.905,159.669,39.193,50.951,80.26,26.822,114.462,157.013,81.959,58.616,49.151,184.912,0,92.925,75.502,245.342,20.961,82.969,38.868,95.109,257.46,202.739,91.901,45.156,470.78,165.27,106.284,34.151,56.822,17.93,211.414,215.287,79.734,6.014,74.135,77.274,210.616,31.666,266.105,57.365,11.504,69.406,119.108,335.936,113.061,132.04,107.085,198.508,21.923,266.597,414.138,18.457,49.385,86.182,175.524,31.342,29.813,97.113,160.724,226.003,429.538,139.816,32.178,199.341,425.909,17.556,410.611,91.472,43.883,274.21,408.03,32.399,223.795,239.257,52.612,209.758,412.395,115.158,409.047,435.083,72.98,257.702,8.976,220.821, 
Bamoa,30.948,107.826,105.248,133.239,128.784,13.802,83.13,60.041,102.592,32.351,78.062,143.197,130.491,92.925,0,19.185,189.424,97.549,10.074,105.281,4.605,201.542,146.821,35.983,64.303,414.862,109.352,34.07,110.739,52.003,85.405,155.496,159.369,23.816,88.392,26.353,18.161,154.698,64.273,338.206,133.953,102.508,145.994,63.19,408.037,22.216,76.122,51.167,142.59,92.843,210.679,358.22,95.046,80.681,26.399,119.606,103.443,96.226,4.685,104.806,170.085,501.639,170.423,125.363,143.423,498.01,111.522,482.712,122.079,50.171,218.292,438.636,62.144,167.877,183.339,40.765,153.84,484.496,59.24,481.148,507.184,21.815,329.803,82.072,164.903, 
Callejones de Guasavito,37.789,90.403,88.546,115.816,111.361,13.023,65.707,43.339,85.89,13.187,60.639,125.774,113.789,75.502,19.185,0,171.016,80.625,8.988,88.357,23.614,183.134,128.413,17.575,47.379,396.454,90.944,56.472,93.815,35.079,68.481,137.088,140.961,5.408,71.468,9.429,27.463,136.29,47.349,321.282,117.029,85.584,129.07,44.782,391.113,40.664,57.714,32.759,124.182,75.919,192.271,339.812,78.122,98.874,36.37,101.198,86.519,79.302,23.133,86.398,151.677,484.715,189.306,108.439,125.015,481.086,94.598,465.788,140.962,33.247,199.884,457.519,45.22,149.469,164.931,23.841,135.432,467.572,40.832,464.224,490.26,3.091,312.879,65.148,146.495, 
El Castillo,207.63,260.243,102.836,285.656,281.202,182.863,235.548,133.55,97.127,184.121,230.479,295.614,75.939,245.342,189.424,171.016,0,255.336,184.015,263.068,200.647,72.122,71.646,186.501,222.09,393.814,96.489,231.183,268.526,209.79,243.192,134.448,38.452,173.3,246.179,184.14,202.174,55.348,222.06,495.993,291.74,260.295,303.781,142.797,565.824,206.018,164.129,159.631,53.362,250.63,81.259,337.172,252.833,273.585,211.081,100.952,261.23,254.013,188.487,115.183,45.406,659.426,364.017,283.15,40.833,655.797,269.309,640.499,315.673,207.957,88.872,495.114,219.931,29.129,53.168,198.552,29.302,642.283,146.631,638.935,664.971,179.602,487.59,239.859,54.131, 
Nuevo San Miguel,68.798,11.613,166.613,37.027,33.046,87.204,33.766,121.406,163.957,88.903,65.56,46.985,191.856,20.961,97.549,80.625,255.336,0,87.807,28.665,99.947,262.298,207.577,96.739,49.994,475.618,170.108,111.122,15.816,61.66,34.05,216.252,220.125,84.572,17.492,78.973,82.112,215.454,36.504,281.903,39.031,24.149,51.072,123.946,351.734,117.899,136.878,111.923,203.346,16.086,271.435,418.976,4.274,39.182,91.02,180.362,47.14,19.61,101.951,165.562,230.841,445.336,142.997,30.652,204.179,441.707,16.811,426.409,93.398,48.721,279.048,411.21,37.237,228.633,244.095,57.45,214.596,428.193,119.996,424.845,450.881,77.818,273.5,25.769,225.659, 
No,45.256,97.87,95.292,123.283,118.828,17.541,73.174,50.085,92.636,22.395,68.106,133.241,120.535,82.969,10.074,8.988,184.015,87.807,0,95.207,14.627,191.468,136.747,25.909,54.229,404.788,99.278,53.1,100.665,41.929,75.331,145.422,149.295,13.742,78.318,16.279,34.313,144.624,54.199,328.132,123.879,92.434,135.92,53.116,397.963,31.676,66.048,41.093,132.516,82.769,200.605,348.146,84.972,105.724,43.22,109.532,93.369,86.152,14.145,94.732,160.011,491.565,196.156,115.289,133.349,487.936,101.448,472.638,147.812,40.097,208.218,464.369,52.07,157.803,173.265,30.691,143.766,474.422,49.166,471.074,497.11,11.741,319.729,71.998,154.829, 
Charay,47.167,38.888,174.345,64.301,50.987,94.936,19.049,129.138,171.689,96.635,73.292,74.259,199.588,38.868,105.281,88.357,263.068,28.665,95.207,0,109.076,271.428,216.707,105.868,59.123,484.748,179.238,55.473,32.298,70.789,43.179,225.382,229.255,93.702,36.723,88.103,91.242,224.584,45.634,291.032,62.314,50.839,40.805,133.076,360.863,77.737,146.008,121.053,212.476,14.266,280.565,428.106,28.962,10.752,71.301,189.492,56.269,10.673,111.081,174.692,239.971,454.465,101.183,59.714,213.309,450.836,45.873,435.538,52.839,57.85,288.178,369.397,46.366,237.763,253.225,66.58,223.726,437.322,129.126,433.974,460.01,86.947,282.629,34.898,234.789, 
Len Fonseca (Estacin Verdura),28.497,110.01,111.924,135.423,130.968,14.533,85.314,66.717,109.268,36.442,80.245,145.381,137.167,95.109,4.605,23.614,200.647,99.947,14.627,109.076,0,207.659,152.938,42.099,66.636,420.979,115.469,30.365,113.072,54.336,87.738,161.613,165.486,29.933,90.725,25.303,15.623,160.815,66.606,340.539,136.286,104.841,148.327,69.307,410.37,18.852,82.239,57.284,148.707,95.176,216.796,364.337,97.379,76.976,23.861,125.723,105.776,98.559,7.198,110.923,176.202,503.972,166.718,127.696,149.54,500.343,113.855,485.045,118.374,52.503,224.409,434.931,64.477,173.994,189.456,43.098,159.957,486.829,65.357,483.481,509.517,24.141,332.136,84.405,171.02, 
Leopoldo Snchez Celis,219.748,272.361,114.953,297.774,293.32,194.981,247.666,145.667,109.244,196.239,242.597,307.732,88.056,257.46,201.542,183.134,72.122,262.298,191.468,271.428,207.659,0,63.166,187.708,223.297,385.334,97.697,232.39,269.733,210.997,244.399,125.968,51.225,174.507,247.386,185.347,203.381,56.555,223.267,497.2,292.947,261.502,304.988,144.005,567.031,207.225,165.337,160.839,62.63,251.837,27.497,328.692,254.04,274.792,212.288,92.472,262.437,255.22,189.694,116.391,34.252,660.633,365.224,284.357,58.07,657.004,270.516,641.706,316.88,209.164,17.972,486.634,221.138,37.338,20.805,199.759,66.522,643.49,147.839,640.142,666.178,180.809,488.797,241.066,45.658, 
El Limn de los Ramos,165.027,217.64,78.333,243.053,238.599,140.26,192.945,97.76,72.624,141.518,187.876,253.011,46.147,202.739,146.821,128.413,71.646,207.577,136.747,216.707,152.938,63.166,0,138.596,174.185,322.714,66.856,183.278,220.621,161.885,195.287,63.348,38.732,125.395,198.274,136.235,154.269,18.396,174.155,448.088,243.835,212.39,255.876,100.954,517.919,158.113,104.013,97.091,26.044,202.725,76.67,266.072,204.928,225.68,163.176,29.851,213.325,206.108,140.582,85.55,35.153,611.521,316.112,235.245,27.014,607.892,221.404,592.594,267.768,160.052,91.554,424.014,172.026,51.18,54.836,150.647,35.696,594.378,87.884,591.03,617.066,131.697,439.685,191.954,23.897, 
Tamazula,54.188,106.802,97.778,132.215,127.76,29.421,82.106,52.571,95.122,8.369,62.624,142.173,123.021,91.901,35.983,17.575,186.501,96.739,25.909,105.868,42.099,187.708,138.596,0,51.644,406.766,101.256,73.379,110.722,36.982,85.388,147.4,151.273,15.653,88.375,26.336,44.37,146.602,64.256,338.189,133.936,102.491,145.977,55.094,408.02,57.57,68.026,43.071,134.494,92.826,202.583,350.124,95.029,115.781,53.277,111.51,103.426,96.209,40.039,96.71,161.989,501.622,206.213,125.346,135.327,497.993,111.505,482.695,157.869,50.154,210.196,474.426,62.127,159.781,175.243,40.748,145.744,484.479,51.144,481.131,507.167,20.808,329.786,82.055,156.807, 
Bachoco,35.553,60.057,133.367,85.47,81.015,53.958,35.361,88.16,130.711,43.371,18.8,95.428,158.61,45.156,64.303,47.379,222.09,49.994,54.229,59.123,66.636,223.297,174.185,51.644,0,442.352,136.842,77.856,63.2,14.877,37.867,182.986,186.859,51.306,40.853,45.707,48.846,182.188,16.734,290.667,86.414,54.969,98.455,90.68,360.498,84.633,103.612,78.657,170.08,45.304,238.169,385.71,47.507,68.259,57.754,147.096,55.904,48.687,68.685,132.296,197.575,454.1,158.691,77.824,170.913,450.471,63.983,435.173,110.347,15.455,245.782,426.904,14.605,195.367,210.829,24.184,181.33,436.957,86.73,433.609,459.645,44.552,282.264,34.533,192.393, 
Baborigame,433.068,485.681,343.131,511.094,506.64,408.301,460.986,365.8,337.917,409.559,455.917,521.052,325.222,470.78,414.862,396.454,393.814,475.618,404.788,484.748,420.979,385.334,322.714,406.766,442.352,0,330.827,451.383,488.726,429.99,463.392,260.208,355.773,393.5,466.379,404.34,422.374,336.397,442.26,716.193,511.94,480.495,523.981,369.058,786.024,426.218,312.788,365.195,325.839,470.83,393.711,68.871,473.033,493.785,431.281,297.956,481.43,474.213,408.687,349.521,352.194,879.626,327.717,503.35,345.015,875.997,489.509,860.699,377.165,428.157,408.595,101.3,440.131,368.221,371.877,418.752,371.07,862.483,355.989,859.135,885.171,399.802,707.79,460.059,340.939, 
Colonia Independencia (Chinitos),127.558,180.171,13.049,205.584,201.13,102.791,155.476,53.478,10.887,104.049,150.407,215.542,22.413,165.27,109.352,90.944,96.489,170.108,99.278,179.238,115.469,97.697,66.856,101.256,136.842,330.827,0,146.821,184.164,125.428,158.83,71.499,60.516,88.938,161.817,99.778,117.812,55.844,137.698,411.631,207.378,175.933,219.419,58.435,481.462,121.656,79.767,75.269,43.736,166.268,111.825,274.223,168.471,189.223,126.719,29.75,176.868,169.651,104.125,19.479,71.231,575.064,279.655,198.788,44.569,571.435,184.947,556.137,231.311,123.595,119.438,432.165,135.569,69.023,84.485,114.19,54.986,557.921,62.269,554.573,580.609,95.24,403.228,155.497,76.984, 
Genaro Estrada,36.703,121.185,142.46,146.598,142.144,43.997,78.424,97.253,139.804,64.75,91.421,156.556,167.703,106.284,34.07,56.472,231.183,111.122,53.1,55.473,30.365,232.39,183.278,73.379,77.856,451.383,146.821,0,86.795,65.559,98.961,192.116,195.989,60.436,101.948,54.836,29.009,191.318,77.829,351.762,147.509,116.064,80.17,99.81,421.593,22.584,112.742,87.787,179.21,68.762,247.299,394.84,108.602,46.932,20.102,156.226,116.999,65.169,39.013,141.426,206.705,515.195,136.674,138.919,180.043,511.566,125.078,496.268,88.33,63.726,254.912,404.887,75.7,204.497,219.959,54.321,190.46,498.052,95.86,494.704,520.74,53.681,343.359,95.628,201.523, 
Alfonso G. Caldern (Poblado Siete),81.988,26.21,179.803,51.623,19.012,100.394,46.956,134.596,177.147,102.093,78.75,61.581,205.046,34.151,110.739,93.815,268.526,15.816,100.665,32.298,113.072,269.733,220.621,110.722,63.2,488.726,184.164,86.795,0,75.044,47.434,229.636,233.509,97.956,30.876,92.357,95.496,228.838,49.888,295.287,24.384,37.533,36.425,137.33,365.118,131.283,150.262,125.307,216.73,19.392,284.819,432.36,17.658,42.488,104.404,193.746,60.524,22.916,115.335,178.946,244.225,458.72,128.35,44.036,217.563,455.091,30.195,439.793,78.751,62.105,292.432,396.563,50.621,242.017,257.479,70.834,227.98,441.577,133.38,438.229,464.265,91.202,286.884,39.153,239.043, 
Corerepe (El Gallo),35.228,71.723,121.067,97.136,92.681,41.658,47.027,75.86,118.411,28.709,25.858,107.094,146.31,56.822,52.003,35.079,209.79,61.66,41.929,70.789,54.336,210.997,161.885,36.982,14.877,429.99,125.428,65.559,75.044,0,49.578,170.675,174.548,38.995,52.564,33.396,36.535,169.877,28.446,302.378,98.126,66.68,110.167,78.369,372.209,72.322,91.301,66.346,157.769,57.016,225.858,373.399,59.218,79.971,45.443,134.785,67.615,60.399,56.374,119.985,185.264,465.811,170.403,89.535,158.602,462.182,75.694,446.884,122.059,13.059,233.471,438.616,26.317,183.056,198.518,11.873,169.019,448.668,74.419,445.32,471.356,32.241,293.975,46.244,180.082, 
Primero de Mayo,56.655,44.113,154.469,56.563,65.071,75.06,20.71,109.262,151.813,76.759,53.417,66.521,179.712,17.93,85.405,68.481,243.192,34.05,75.331,43.179,87.738,244.399,195.287,85.388,37.867,463.392,158.83,98.961,47.434,49.578,0,196.56,200.433,64.88,18.664,59.281,62.42,195.762,16.812,262.989,71.088,28.888,83.129,104.254,332.82,98.206,117.186,92.231,183.654,29.978,251.743,399.284,32.181,52.933,71.328,160.67,28.226,33.361,82.259,145.87,211.149,426.422,143.365,49.561,184.487,422.793,34.94,407.495,95.021,29.029,259.356,411.578,17.544,208.941,224.403,37.758,194.904,409.279,100.304,405.931,431.967,58.125,254.586,10.069,205.967, 
Badiraguato,173.702,226.315,83.765,251.728,247.274,148.935,201.62,106.434,78.551,150.193,196.551,261.686,65.856,211.414,155.496,137.088,134.448,216.252,145.422,225.382,161.613,125.968,63.348,147.4,182.986,260.208,71.499,192.116,229.636,170.675,196.56,0,96.423,134.15,207.029,144.99,163.024,77.047,182.91,456.843,252.59,221.145,264.631,109.708,526.674,166.868,56.265,105.845,66.489,211.48,134.361,203.56,213.683,234.435,171.931,38.606,222.08,214.863,149.337,90.171,92.844,620.276,324.867,244,85.665,616.647,230.159,601.349,276.523,168.807,149.245,361.502,180.781,108.871,112.527,159.402,111.72,603.133,96.639,599.785,625.821,140.452,448.44,200.709,81.589, 
San Pedro,177.575,230.188,72.781,255.601,251.147,152.808,205.493,103.495,67.072,154.066,200.424,265.559,45.884,215.287,159.369,140.961,38.452,220.125,149.295,229.255,165.486,51.225,38.732,151.273,186.859,355.773,60.516,195.989,233.509,174.548,200.433,96.423,0,136.184,209.063,147.024,165.058,10.815,184.944,458.877,254.624,223.179,266.665,105.681,528.708,168.902,127.013,122.515,24.307,213.514,67.404,299.804,215.717,236.469,173.965,63.584,224.114,216.897,151.371,78.067,18.616,622.31,326.901,246.034,19.747,618.681,232.193,603.383,278.557,170.841,75.017,457.746,182.815,13.346,38.299,161.436,15.509,605.167,109.515,601.819,627.855,142.486,450.474,202.743,16.763, 
El Burrin,42.022,94.635,84.577,120.048,115.594,17.255,69.94,39.37,81.921,18.513,64.871,130.006,109.82,79.734,23.816,5.408,173.3,84.572,13.742,93.702,29.933,174.507,125.395,15.653,51.306,393.5,88.938,60.436,97.956,38.995,64.88,134.15,136.184,0,75.5,13.461,31.496,130.857,51.382,325.314,121.062,89.616,133.103,39.349,395.145,45.012,52.281,27.326,118.749,79.952,186.838,334.379,82.154,102.907,40.403,95.765,90.551,83.335,27.481,80.965,146.244,488.747,193.339,112.471,119.582,485.118,98.63,469.82,144.995,37.279,194.451,461.552,49.253,144.036,159.498,27.874,129.999,471.604,35.399,468.256,494.292,8.924,316.911,69.18,141.062, 
