LOCALIDADES,Tzajal,Atasta,El Limar,Tapijulapa,Catazaj,Sabanilla,Palizada,Joshil,Tumbal,Chabl,Nueva Esperanza,San Antonio Crdenas,Aquiles Serdn (San Fernando),Nuevo Progreso,Bachajn,Frontera Corozal,Salto de Agua,El Triunfo,La Curva,Pemex (Ciudad Pemex),Beln,Isla Aguada,Petalcingo,Jonuta,Tila,Benemrito de las Amricas,Chiln,Candelaria,Nueva Palestina,Balancn,Benito Jurez (San Carlos),Yajaln,Emiliano Zapata,Macuspana,Tenosique de Pino Surez,Ocosingo,Palenque,Ciudad del Carmen, 
Nueva Esperanza,37.491,271.421,40.637,79.936,132.656,26.017,196.972,18.726,27.033,171.905,0,256.219,100.793,250.038,44.587,295.319,68.959,238.314,102.066,104.485,95.772,343.587,5.655,173.604,13.85,326.008,31.032,282.034,259.548,203.349,96.397,18.718,160.524,85.873,226.874,74.147,161.007,305.239, 
San Antonio Crdenas,286.568,14.046,237.177,217.984,239.43,271.356,180.346,267.803,271.759,278.678,256.219,0,193.588,8.971,296.373,433.634,212.932,294.533,190.584,193.002,182.156,87.101,257.441,157.875,246.5,464.322,282.818,248.996,397.863,312.646,186.384,270.504,269.82,177.636,336.17,345.813,270.304,48.753, 
Aquiles Serdn (San Fernando),131.142,206.081,81.709,81.708,83.962,135.08,98.172,112.377,116.291,123.211,100.793,193.588,0,176.629,138.63,275.849,55.147,189.826,8.753,11.171,15.524,270.178,99.698,74.622,88.757,306.537,125.075,233.546,240.078,154.861,5.85,112.761,112.036,16.041,178.386,188.028,112.519,231.83, 
Nuevo Progreso,280.387,21.464,230.996,211.803,233.249,265.175,174.166,261.622,265.578,272.497,250.038,8.971,176.629,0,287.735,424.996,204.294,302.767,181.946,184.364,173.518,95.335,248.803,149.237,237.862,455.684,274.18,257.23,389.225,304.008,177.746,261.866,261.182,168.998,327.532,337.175,261.666,56.987, 
Bachajn,39.851,308.866,78.082,123.869,133.137,69.95,241.539,38.107,46.414,172.386,44.587,296.373,138.63,287.735,0,250.96,106.403,238.639,139.51,141.929,133.216,388.164,39.231,200.177,51.294,281.649,13.732,282.358,215.189,203.674,133.841,25.797,160.848,123.317,175.361,29.788,107.698,342.683, 
Frontera Corozal,290.583,446.127,283.883,321.754,194.216,320.682,302.618,288.839,297.146,233.465,295.319,433.634,275.849,424.996,250.96,0,220.338,234.814,274.165,276.584,267.913,446.648,287.422,258.661,274.486,94.768,261.923,340.842,57.353,188.006,268.496,273.988,219.332,257.972,165.864,262.188,166.182,477.38, 
Salto de Agua,99.308,225.425,28.505,101.052,65.434,94.322,129.75,74.062,63.088,104.683,68.959,212.932,55.147,204.294,106.403,220.338,0,170.907,56.029,58.448,49.777,297.592,67.287,106.197,56.346,287.618,92.664,214.627,221.159,135.942,50.36,80.35,93.117,39.836,159.467,133.62,93.6,259.244, 
El Triunfo,278.262,281.337,197.86,235.731,108.193,263.677,135.995,243.416,232.442,75.326,238.314,294.533,189.826,302.767,238.639,234.814,170.907,0,190.708,193.127,184.456,201.782,236.642,123.344,225.701,268.243,252.114,46.018,201.783,49.991,185.039,249.705,94.989,174.515,67.768,252.379,136.359,243.519, 
La Curva,132.415,203.077,82.982,82.981,85.235,136.353,89.618,113.65,117.564,124.484,102.066,190.584,8.753,181.946,139.51,274.165,56.029,190.708,0,2.617,16.797,268.655,100.972,66.068,90.031,307.811,126.349,234.82,241.352,156.135,6.616,114.035,113.31,17.315,179.66,189.302,113.793,230.307, 
Pemex (Ciudad Pemex),134.834,205.495,85.401,85.399,87.654,138.771,87.009,116.069,119.983,126.903,104.485,193.002,11.171,184.364,141.929,276.584,58.448,193.127,2.617,0,19.262,271.121,103.437,63.451,92.496,310.276,128.814,237.285,243.817,158.6,9.082,116.5,115.775,19.78,182.125,191.767,116.258,232.773, 
Beln,126.121,194.649,76.73,70.276,78.983,123.648,106.216,107.356,111.312,118.232,95.772,182.156,15.524,173.518,133.216,267.913,49.777,184.456,16.797,19.262,0,259.52,94.315,82.666,83.374,301.196,119.692,228.205,234.737,149.52,15.033,107.378,106.695,5.764,173.045,182.687,107.178,221.172, 
Isla Aguada,373.936,73.905,324.545,305.352,257.718,358.724,281.957,355.171,359.127,224.851,343.587,87.101,270.178,95.335,388.164,446.648,297.592,201.782,268.655,271.121,259.52,0,344.038,244.472,333.097,480.053,369.415,162.354,413.594,247.777,272.981,357.101,244.665,264.233,311.015,402.055,286.035,42.291, 
Petalcingo,32.136,269.934,39.15,84.937,131.169,31.018,195.485,13.371,21.678,170.418,5.655,257.441,99.698,248.803,39.231,287.422,67.287,236.642,100.972,103.437,94.315,344.038,0,172.117,12.363,320.653,25.677,280.547,254.193,201.862,94.91,13.363,159.037,84.386,225.387,68.792,146.702,303.752, 
Jonuta,203.953,170.368,133.15,148.85,69.731,198.967,25.333,178.706,167.732,65.604,173.604,157.875,74.622,149.237,200.177,258.661,106.197,123.344,66.068,63.451,82.666,244.472,172.117,0,160.991,320.266,197.309,163.111,253.807,87.99,72.482,184.995,84.878,83.181,151.228,242.268,126.248,205.813, 
Tila,44.199,258.993,28.209,93.132,120.228,39.213,184.544,25.434,28.631,159.477,13.85,246.5,88.757,237.862,51.294,274.486,56.346,225.701,90.031,92.496,83.374,333.097,12.363,160.991,0,342.597,37.74,269.606,276.138,190.921,83.969,25.426,148.096,73.445,214.446,80.855,148.579,292.811, 
Benemrito de las Amricas,321.272,476.815,314.571,352.442,224.904,351.371,333.306,319.528,327.835,264.153,326.008,464.322,306.537,455.684,281.649,94.768,287.618,268.243,307.811,310.276,301.196,480.053,320.653,320.266,342.597,0,295.186,374.106,90.617,221.269,301.76,307.251,252.596,291.236,199.127,295.451,199.446,510.644, 
Chiln,26.296,295.311,64.527,110.314,146.641,56.395,255.043,24.552,32.859,185.89,31.032,282.818,125.075,274.18,13.732,261.923,92.664,252.114,126.349,128.814,119.692,369.415,25.677,197.309,37.74,295.186,0,295.843,228.674,217.159,120.633,12.589,174.333,110.109,188.846,43.273,121.183,329.475, 
Candelaria,321.981,235.8,241.58,279.45,151.912,307.397,176.151,287.136,276.162,119.045,282.034,248.996,233.546,257.23,282.358,340.842,214.627,46.018,234.82,237.285,228.205,162.354,280.547,163.111,269.606,374.106,295.843,0,307.735,95.048,228.856,293.522,138.806,218.332,112.825,296.196,180.176,204.039, 
Nueva Palestina,254.812,410.356,248.112,285.983,158.445,284.911,266.847,253.068,261.375,197.694,259.548,397.863,240.078,389.225,215.189,57.353,221.159,201.783,241.352,243.817,234.737,413.594,254.193,253.807,276.138,90.617,228.674,307.735,0,154.822,235.313,240.804,186.149,224.789,132.68,134.752,132.999,444.197, 
Balancn,243.297,325.139,162.895,200.766,73.228,228.712,101.03,208.451,197.477,40.361,203.349,312.646,154.861,304.008,203.674,188.006,135.942,49.991,156.135,158.6,149.52,247.777,201.862,87.99,190.921,221.269,217.159,95.048,154.822,0,150.076,214.742,48.344,139.552,67.394,217.416,101.396,289.366, 
Benito Jurez (San Carlos),126.746,198.877,77.313,77.312,79.566,130.684,96.035,107.981,111.895,118.815,96.397,186.384,5.85,177.746,133.841,268.496,50.36,185.039,6.616,9.082,15.033,272.981,94.91,72.482,83.969,301.76,120.633,228.856,235.313,150.076,0,108.365,107.64,11.645,173.99,183.632,108.123,225.407, 
Yajaln,17.385,282.997,52.213,98,144.232,44.081,208.548,12.238,20.545,183.481,18.718,270.504,112.761,261.866,25.797,273.988,80.35,249.705,114.035,116.5,107.378,357.101,13.363,184.995,25.426,307.251,12.589,293.522,240.804,214.742,108.365,0,172.236,97.585,200.929,55.356,133.266,316.951, 
Emiliano Zapata,200.471,282.313,120.07,157.94,30.402,185.887,97.918,165.626,154.652,28.765,160.524,269.82,112.036,261.182,160.848,219.332,93.117,94.989,113.31,115.775,106.695,244.665,159.037,84.878,148.096,252.596,174.333,138.806,186.149,48.344,107.64,172.236,0,96.359,66.68,174.223,58.203,285.238, 
Macuspana,116.222,190.129,66.789,65.756,69.042,119.128,106.734,97.457,101.371,108.291,85.873,177.636,16.041,168.998,123.317,257.972,39.836,174.515,17.315,19.78,5.764,264.233,84.386,83.181,73.445,291.236,110.109,218.332,224.789,139.552,11.645,97.585,96.359,0,162.983,172.625,97.116,223.814, 
Tenosique de Pino Surez,214.984,348.663,186.42,224.29,96.752,252.237,164.268,213.24,221.002,95.115,226.874,336.17,178.386,327.532,175.361,165.864,159.467,67.768,179.66,182.125,173.045,311.015,225.387,151.228,214.446,199.127,188.846,112.825,132.68,67.394,173.99,200.929,66.68,162.983,0,178.615,82.609,351.991, 
Ocosingo,69.411,358.306,107.642,153.429,146.906,99.51,255.308,67.667,75.974,186.155,74.147,345.813,188.028,337.175,29.788,262.188,133.62,252.379,189.302,191.767,182.687,402.055,68.792,242.268,80.855,295.451,43.273,296.196,134.752,217.416,183.632,55.356,174.223,172.625,178.615,0,121.298,432.496, 
Palenque,147.321,282.797,120.553,158.424,30.886,186.37,139.288,145.577,155.135,70.135,161.007,270.304,112.519,261.666,107.698,166.182,93.6,136.359,113.793,116.258,107.178,286.035,146.702,126.248,148.579,199.446,121.183,180.176,132.999,101.396,108.123,133.266,58.203,97.116,82.609,121.298,0,316.601, 
Ciudad del Carmen,335.588,35.557,286.197,267.004,288.45,320.376,229.366,316.823,320.779,266.588,305.239,48.753,231.83,56.987,342.683,477.38,259.244,243.519,230.307,232.773,221.172,42.291,303.752,205.813,292.811,510.644,329.475,204.039,444.197,289.366,225.407,316.951,285.238,223.814,351.991,432.496,316.601,0, 
