LOCALIDADES,Soconusco,Montecristo de Guerrero,La Esperanza,Salvador Urbina,Xochiltepec,Jos Mara Morelos,Metapa de Domnguez,Unin Jurez,Carrillo Puerto,1ra. Seccin de Medio Monte,El Triunfo,Tuzantn,El Pacayal,Raymundo Enrquez,Los Cafetales,Pablo L. Sidar,Siltepec,Nueva Palestina,Frontera Hidalgo,Paso Hondo,Lzaro Crdenas,Santo Domingo,2da. Seccin de Medio Monte,Buenos Aires,La Libertad,Venustiano Carranza,El Triunfo,lvaro Obregn,Chicomuselo,Acapetahua,Huehuetn Estacin FFCC,Vida Mejor I,Mazatn,Tuxtla Chico,Villa Comaltitln,Acacoyagua,Huehuetn,La Trinitaria,Puerto Madero (San Benito),Escuintla,Jaltenango de la Paz (Angel Albino Corzo),Ciudad Hidalgo,Cacahoatn,Pijijiapan,Mapastepec,Frontera Comalapa,Motozintla de Mendoza,Huixtla,Tapachula de Crdova y Ordez, 
El Triunfo,27.1,225.856,213.595,106.204,52.447,200.46,107.99,132.226,106.533,99.299,0,54.051,167.52,89.672,89.552,190.559,88.15,264.129,117.191,172.798,263.927,128.81,105.915,91.848,140.731,272.185,270.697,78.527,177.066,21.698,68.217,89.731,91.233,106.319,32.414,18.633,67.783,238.064,112.761,16.063,261.336,129.251,112.907,90.379,48.134,155.769,105.143,48.796,90.761, 
Tuzantn,44.939,224.57,212.309,58.766,2.843,199.174,60.552,84.788,59.095,51.861,54.051,0,115.468,40.102,39.982,138.508,101.22,212.078,67.62,120.747,211.876,79.239,56.344,42.278,91.161,220.134,218.646,28.957,125.015,45.426,18.647,40.161,41.663,56.748,25.99,43.594,18.212,186.013,63.191,39.831,209.285,79.68,63.336,115.339,73.094,103.718,53.092,7.034,41.19, 
El Pacayal,158.408,149.365,98.432,174.108,120.352,85.298,175.895,200.13,174.437,167.204,167.52,115.468,0,157.046,156.926,67.384,83.199,140.954,184.564,14.103,101.84,196.183,173.288,159.222,208.105,110.098,108.61,145.901,53.892,156.279,135.59,157.105,158.607,173.692,136.843,154.447,135.156,75.977,180.135,150.684,138.161,196.624,180.28,226.192,183.947,30.356,63.13,121.663,158.134, 
Raymundo Enrquez,80.561,261.125,248.863,26.897,37.237,235.728,27.083,54.388,27.226,18.391,89.672,40.102,157.046,0,1.397,178.495,141.207,252.065,26.175,160.734,251.863,45.735,22.84,26.472,53.254,260.121,258.633,13.152,165.002,77.664,23.19,1.577,25.857,23.244,58.228,75.832,23.313,226,25.283,72.069,249.272,38.234,29.832,147.577,105.332,143.705,93.079,40.841,13.735, 
Los Cafetales,80.441,261.005,248.743,25.695,37.117,235.608,25.881,53.186,26.024,17.189,89.552,39.982,156.926,1.397,0,178.402,141.114,251.972,24.982,160.641,251.77,44.542,21.647,26.379,53.189,260.028,258.54,13.059,164.909,77.571,23.097,0.28,25.764,22.051,58.135,75.739,23.22,225.907,25.219,71.976,249.179,37.041,28.639,147.484,105.239,143.612,92.986,40.748,13.642, 
Pablo L. Sidar,181.447,105.924,141.207,197.148,143.392,128.072,198.935,223.17,197.477,190.244,190.559,138.508,67.384,178.495,178.402,0,98.4,97.706,206.854,53.677,144.806,218.473,195.578,181.512,230.395,153.064,151.576,168.191,13.74,178.569,157.88,179.395,180.897,195.982,159.133,176.737,157.446,118.943,202.425,172.974,94.913,218.914,202.57,248.482,206.237,37.593,85.42,143.953,180.424, 
Siltepec,144.159,180.189,175.016,159.86,106.104,161.881,161.647,185.882,160.189,152.956,88.15,101.22,83.199,141.207,141.114,98.4,0,171.968,169.028,112.83,203.959,180.647,157.752,143.686,192.569,212.217,210.729,130.365,84.906,140.743,120.054,141.569,143.071,158.156,121.307,138.911,119.62,178.096,164.599,135.148,169.175,181.088,164.744,210.656,168.411,95.801,46.773,106.127,142.598, 
Nueva Palestina,255.017,48.356,214.777,270.718,216.962,201.642,272.505,296.74,271.047,263.814,264.129,212.078,140.954,252.065,251.972,97.706,171.968,0,280.489,127.312,218.441,292.108,269.213,255.147,304.03,226.699,225.211,241.826,87.375,252.204,231.515,253.03,254.532,269.617,232.768,250.372,231.081,192.578,276.06,246.609,12.123,292.549,276.205,319.432,279.872,111.228,159.055,217.588,254.059, 
Frontera Hidalgo,108.079,288.643,276.381,38.742,64.755,263.246,6.777,52.339,32.808,20.505,117.191,67.62,184.564,26.175,24.982,206.854,169.028,280.489,0,188.614,279.743,43.892,13.366,54.352,33.322,288.001,286.513,41.032,192.882,105.544,51.069,33.5,53.737,21.401,86.108,103.711,51.193,253.88,53.848,99.949,277.152,12.35,27.989,175.457,133.212,171.585,120.959,68.72,29.132, 
Paso Hondo,163.686,135.466,87.925,179.387,125.631,74.79,181.174,205.409,179.716,172.483,172.798,120.747,14.103,160.734,160.641,53.677,112.83,127.312,188.614,0,91.333,200.279,177.384,163.318,212.201,99.591,98.103,149.997,39.993,160.375,139.686,161.201,162.703,177.788,140.939,158.543,139.252,65.47,184.231,154.78,124.262,200.72,184.376,230.288,188.043,16.457,67.226,125.759,162.23, 
Lzaro Crdenas,254.815,226.595,9.279,270.516,216.76,10.825,272.303,296.538,270.845,263.612,263.927,211.876,101.84,251.863,251.77,144.806,203.959,218.441,279.743,91.333,0,291.483,268.588,254.522,303.405,15.72,14.452,241.201,131.198,251.58,230.89,252.405,253.907,268.992,232.144,249.748,230.456,24.947,275.435,245.985,215.467,291.924,275.58,321.493,279.248,107.662,158.431,216.963,253.434, 
Santo Domingo,119.698,300.262,288,22.419,76.374,274.865,36.452,8.741,20.717,32.124,128.81,79.239,196.183,45.735,44.542,218.473,180.647,292.108,43.892,200.279,291.483,0,33.121,63.206,77.428,296.854,295.366,49.886,201.735,114.398,59.923,45.423,62.591,23.62,94.961,112.565,60.046,262.733,65.771,108.803,286.005,56.456,15.897,184.31,142.065,180.438,129.812,77.574,37.986, 
2da. Seccin de Medio Monte,96.803,277.367,265.105,27.466,53.479,251.97,5.926,41.063,21.532,9.229,105.915,56.344,173.288,22.84,21.647,195.578,157.752,269.213,13.366,177.384,268.588,33.121,0,42.859,46.18,276.508,275.02,29.539,181.389,94.051,39.576,22.007,42.244,9.908,74.615,92.218,39.7,242.387,42.355,88.456,265.659,25.209,16.496,163.964,121.719,160.092,109.466,57.227,17.639, 
Buenos Aires,82.737,263.301,251.039,45.126,39.413,237.904,46.912,71.148,45.455,38.221,91.848,42.278,159.222,26.472,26.379,181.512,143.686,255.147,54.352,163.318,254.522,63.206,42.859,0,62.653,262.267,260.779,20.431,167.148,79.81,25.336,26.461,6.505,43.048,60.374,77.978,25.459,228.146,34.682,74.215,251.418,65.98,49.636,149.723,107.478,145.851,95.225,42.987,27.49, 
La Libertad,131.62,312.184,299.922,74.281,88.296,286.787,39.808,85.37,65.839,53.536,140.731,91.161,208.105,53.254,53.189,230.395,192.569,304.03,33.322,212.201,303.405,77.428,46.18,62.653,0,311.358,309.87,64.389,216.239,128.901,74.426,53.708,60.133,44.758,109.465,127.068,74.55,277.237,49.528,123.306,300.509,11.665,51.346,198.814,156.569,194.942,144.316,92.077,52.489, 
Venustiano Carranza,263.073,234.853,12.237,278.774,225.018,26.365,280.561,304.796,279.103,271.87,272.185,220.134,110.098,260.121,260.028,153.064,212.217,226.699,288.001,99.591,15.72,296.854,276.508,262.267,311.358,0,11.997,238.197,128.194,248.576,227.886,249.401,250.903,265.988,229.14,246.744,227.452,21.942,272.431,242.981,212.463,288.92,272.576,318.489,276.244,104.658,155.427,213.959,250.43, 
El Triunfo,261.585,233.365,10.475,277.286,223.53,25.097,279.073,303.308,277.615,270.382,270.697,218.646,108.61,258.633,258.54,151.576,210.729,225.211,286.513,98.103,14.452,295.366,275.02,260.779,309.87,11.997,0,250.335,140.332,260.714,240.024,261.539,263.041,278.126,241.278,258.882,239.59,34.081,284.569,255.119,224.601,301.058,284.714,330.627,288.382,116.796,167.565,226.097,262.568, 
lvaro Obregn,69.416,249.98,237.718,31.806,26.092,224.583,33.592,57.828,32.135,24.901,78.527,28.957,145.901,13.152,13.059,168.191,130.365,241.826,41.032,149.997,241.201,49.886,29.539,20.431,64.389,238.197,250.335,0,157.837,70.499,16.025,17.15,12.884,33.737,51.063,68.667,16.148,218.835,40.18,64.904,242.107,56.669,40.325,140.412,98.167,136.54,85.914,33.676,18.179, 
Chicomuselo,167.954,95.529,127.715,183.655,129.899,114.58,185.442,209.677,183.984,176.751,177.066,125.015,53.892,165.002,164.909,13.74,84.906,87.375,192.882,39.993,131.198,201.735,181.389,167.148,216.239,128.194,140.332,157.837,0,165.076,144.387,165.902,167.404,182.489,145.64,163.244,143.953,105.45,188.932,159.481,84.516,205.421,189.077,234.989,192.744,24.1,71.927,130.46,166.931, 
Acapetahua,12.378,260.358,248.097,96.318,42.561,234.962,98.104,122.34,96.647,89.413,21.698,45.426,156.279,77.664,77.571,178.569,140.743,252.204,105.544,160.375,251.58,114.398,94.051,79.81,128.901,248.576,260.714,70.499,165.076,0,53.31,74.824,76.326,91.411,17.507,9.983,52.875,223.157,97.854,5.786,246.429,114.343,97.999,81.729,39.483,140.862,90.236,33.888,75.853, 
Huehuetn Estacin FFCC,59.105,239.669,227.407,41.843,15.782,214.272,43.629,67.865,42.172,34.938,68.217,18.647,135.59,23.19,23.097,157.88,120.054,231.515,51.069,139.686,230.89,59.923,39.576,25.336,74.426,227.886,240.024,16.025,144.387,53.31,0,23.117,24.62,39.705,36.695,54.299,1.779,204.467,46.147,50.536,227.739,62.637,46.293,126.044,83.799,122.172,71.546,19.308,24.147, 
Vida Mejor I,80.62,261.184,248.922,25.874,37.296,235.787,26.06,53.365,26.203,17.368,89.731,40.161,157.105,1.577,0.28,179.395,141.569,253.03,33.5,161.201,252.405,45.423,22.007,26.461,53.708,249.401,261.539,17.15,165.902,74.824,23.117,0,25.943,22.23,58.314,75.918,23.399,226.086,25.398,72.155,249.358,37.22,28.818,147.663,105.418,143.791,93.165,40.927,13.821, 
Mazatn,82.122,262.686,250.424,44.511,38.798,237.289,46.297,70.533,44.84,37.606,91.233,41.663,158.607,25.857,25.764,180.897,143.071,254.532,53.737,162.703,253.907,62.591,42.244,6.505,60.133,250.903,263.041,12.884,167.404,76.326,24.62,25.943,0,42.424,59.75,77.354,24.835,227.522,28.522,73.591,250.794,58.465,49.012,149.099,106.854,145.227,94.601,42.363,26.866, 
Tuxtla Chico,97.207,277.771,265.509,17.965,53.883,252.374,13.961,31.562,12.031,9.633,106.319,56.748,173.692,23.244,22.051,195.982,158.156,269.617,21.401,177.788,268.992,23.62,9.908,43.048,44.758,265.988,278.126,33.737,182.489,91.411,39.705,22.23,42.424,0,73.884,91.487,38.969,241.656,41.624,87.725,264.928,32.309,7.803,163.233,120.988,159.361,108.735,56.496,16.908, 
Villa Comaltitln,23.303,240.922,228.661,76.881,23.125,215.526,78.668,102.903,77.21,69.977,32.414,25.99,136.843,58.228,58.135,159.133,121.307,232.768,86.108,140.939,232.144,94.961,74.615,60.374,109.465,229.14,241.278,51.063,145.64,17.507,36.695,58.314,59.75,73.884,0,19.992,35.78,206.062,80.759,16.229,229.334,97.248,80.904,91.737,49.492,123.767,73.141,16.793,58.758, 
Acacoyagua,8.8,258.526,246.265,94.485,40.729,233.13,96.271,120.507,94.814,87.58,18.633,43.594,154.447,75.832,75.739,176.737,138.911,250.372,103.711,158.543,249.748,112.565,92.218,77.978,127.068,246.744,258.882,68.667,163.244,9.983,54.299,75.918,77.354,91.487,19.992,0,56.273,226.554,101.251,8.92,249.826,117.741,101.397,72.139,29.894,144.259,93.633,37.286,79.251, 
Huehuetn,58.671,239.235,226.973,41.966,15.347,213.838,43.753,67.988,42.295,35.062,67.783,18.212,135.156,23.313,23.22,157.446,119.62,231.081,51.193,139.252,230.456,60.046,39.7,25.459,74.55,227.452,239.59,16.148,143.953,52.875,1.779,23.399,24.835,38.969,35.78,56.273,0,204.059,46.369,50.128,227.331,62.859,46.515,125.636,83.391,121.764,71.138,18.9,24.369, 
La Trinitaria,228.952,200.732,21.463,244.653,190.897,35.592,246.44,270.675,244.982,237.749,238.064,186.013,75.977,226,225.907,118.943,178.096,192.578,253.88,65.47,24.947,262.733,242.387,228.146,277.237,21.942,34.081,218.835,105.45,223.157,204.467,226.086,227.522,241.656,206.062,226.554,204.059,0,249.923,220.473,189.955,266.412,250.068,295.981,253.736,82.15,132.919,191.451,227.922, 
Puerto Madero (San Benito),103.65,284.214,271.952,46.31,60.326,258.817,46.408,73.713,46.639,37.717,112.761,63.191,180.135,25.283,25.219,202.425,164.599,276.06,53.848,184.231,275.435,65.771,42.355,34.682,49.528,272.431,284.569,40.18,188.932,97.854,46.147,25.398,28.522,41.624,80.759,101.251,46.369,249.923,0,95.171,272.374,50.212,49.276,170.679,128.434,166.807,116.181,63.943,30.555, 
Escuintla,11.318,254.763,242.502,90.723,36.966,229.367,92.509,116.745,91.052,83.818,16.063,39.831,150.684,72.069,71.976,172.974,135.148,246.609,99.949,154.78,245.985,108.803,88.456,74.215,123.306,242.981,255.119,64.904,159.481,5.786,50.536,72.155,73.591,87.725,16.229,8.92,50.128,220.473,95.171,0,245.424,113.339,96.995,76.081,33.835,139.857,89.231,32.884,74.849, 
Jaltenango de la Paz (Angel Albino Corzo),252.224,45.563,211.984,267.925,214.169,198.849,269.712,293.947,268.254,261.021,261.336,209.285,138.161,249.272,249.179,94.913,169.175,12.123,277.152,124.262,215.467,286.005,265.659,251.418,300.509,212.463,224.601,242.107,84.516,246.429,227.739,249.358,250.794,264.928,229.334,249.826,227.331,189.955,272.374,245.424,0,290.028,273.684,308.626,277.351,108.707,156.534,215.067,251.538, 
Ciudad Hidalgo,120.139,300.703,288.441,50.801,76.815,275.306,18.836,64.398,44.867,32.565,129.251,79.68,196.624,38.234,37.041,218.914,181.088,292.549,12.35,200.72,291.924,56.456,25.209,65.98,11.665,288.92,301.058,56.669,205.421,114.343,62.637,37.22,58.465,32.309,97.248,117.741,62.859,266.412,50.212,113.339,290.028,0,39.838,187.306,145.061,183.434,132.808,80.569,40.981, 
Cacahoatn,103.795,284.359,272.097,14.613,60.471,258.962,20.549,23.839,5.68,16.221,112.907,63.336,180.28,29.832,28.639,202.57,164.744,276.205,27.989,184.376,275.58,15.897,16.496,49.636,51.346,272.576,284.714,40.325,189.077,97.999,46.293,28.818,49.012,7.803,80.904,101.397,46.515,250.068,49.276,96.995,273.684,39.838,0,168.397,126.152,164.525,113.899,61.661,22.073, 
Pijijiapan,73.307,330.271,318.01,166.23,112.474,304.875,168.017,192.252,166.559,159.326,90.379,115.339,226.192,147.577,147.484,248.482,210.656,319.432,175.457,230.288,321.493,184.31,163.964,149.723,198.814,318.489,330.627,140.412,234.989,81.729,126.044,147.663,149.099,163.233,91.737,72.139,125.636,295.981,170.679,76.081,308.626,187.306,168.397,0,46.168,212.506,161.88,105.533,147.498, 
Mapastepec,31.062,288.026,275.765,123.985,70.229,262.63,125.772,150.007,124.314,117.081,48.134,73.094,183.947,105.332,105.239,206.237,168.411,279.872,133.212,188.043,279.248,142.065,121.719,107.478,156.569,276.244,288.382,98.167,192.744,39.483,83.799,105.418,106.854,120.988,49.492,29.894,83.391,253.736,128.434,33.835,277.351,145.061,126.152,46.168,0,169.185,118.559,62.211,104.176, 
Frontera Comalapa,146.657,119.382,104.179,162.358,108.602,91.044,164.145,188.38,162.687,155.454,155.769,103.718,30.356,143.705,143.612,37.593,95.801,111.228,171.585,16.457,107.662,180.438,160.092,145.851,194.942,104.658,116.796,136.54,24.1,140.862,122.172,143.791,145.227,159.361,123.767,144.259,121.764,82.15,166.807,139.857,108.707,183.434,164.525,212.506,169.185,0,50.229,108.762,145.233, 
Motozintla de Mendoza,96.031,167.209,154.948,111.732,57.976,141.813,113.519,137.754,112.061,104.828,105.143,53.092,63.13,93.079,92.986,85.42,46.773,159.055,120.959,67.226,158.431,129.812,109.466,95.225,144.316,155.427,167.565,85.914,71.927,90.236,71.546,93.165,94.601,108.735,73.141,93.633,71.138,132.919,116.181,89.231,156.534,132.808,113.899,161.88,118.559,50.229,0,58.104,94.575, 
Huixtla,39.684,225.742,213.48,59.494,5.738,200.345,61.28,85.516,59.823,52.589,48.796,7.034,121.663,40.841,40.748,143.953,106.127,217.588,68.72,125.759,216.963,77.574,57.227,42.987,92.077,213.959,226.097,33.676,130.46,33.888,19.308,40.927,42.363,56.496,16.793,37.286,18.9,191.451,63.943,32.884,215.067,80.569,61.661,105.533,62.211,108.762,58.104,0,41.704, 
Tapachula de Crdova y Ordez,81.649,262.213,249.951,19.906,38.325,236.816,21.692,45.928,20.235,13.001,90.761,41.19,158.134,13.735,13.642,180.424,142.598,254.059,29.132,162.23,253.434,37.986,17.639,27.49,52.489,250.43,262.568,18.179,166.931,75.853,24.147,13.821,26.866,16.908,58.758,79.251,24.369,227.922,30.555,74.849,251.538,40.981,22.073,147.498,104.176,145.233,94.575,41.704,0, 
