LOCALIDADES,Libertad 1ra. Seccin (El Chivero),Poblado C-27 Ingeniero Eduardo Chvez Ramrez,Vicente Guerrero 1ra. Seccin,Guaytalpa,Poblado C-11 Jos Mara Morelos y Pavn,El Ro,Moctezuma 2da. Seccin,Poblado C-23 General Venustiano Carranza,Anacleto Canabal 3ra. Seccin,Ingenio Presidente Benito Jurez,Acachapan y Colmena 1ra. Seccin,Emiliano Zapata,Cocohital,Carlos Rovirosa (Tulipn),Puerto Ceiba (Carrizal),PobladoC-17 Independencia,Sargento Lpez 1ra. Seccin,Moctezuma 1ra. Seccin,Lagartera,Constitucin,Francisco I. Madero (Madero),Lzaro Crdenas 2da. Seccin,Poblado C-33 20 de Noviembre,Puerto Ceiba,Ocuapan,Poblado C-15 Adolfo Lpez Mateos,Tapotzingo,Boquern 4ta. Seccin (Laguna Nueva),Azucena 2da. Seccin,Iquinuapa,Gonzlez 1ra. Seccin,Boquern 1ra. Seccin (San Pedro),Saloya 1ra. Seccin,Ostuacn,Poblado C-20 Miguel Hidalgo y Costilla,Buena Vista 1ra. Seccin,Simn Sarlat,Arena 1ra. Seccin,Poblado C-29 General Vicente Guerrero,Chapultenango,C-34 (Licenciado Benito Jurez Garca),Poblado C-22 Licenciado Jos Mara Pino Surez,Reyes Hernndez 2da. Seccin,Arroyo Hondo 1ra. Seccin (Santa Teresa A),Samarkanda,El Muelle (Gaviln Norte),Sandial,Ignacio Allende,Libertad,Poblado C-10 General Lzaro Crdenas del Ro,Juan Aldama,Guatacalca,Cuauhtmoc,Saloya 2da. Seccin,Libertad,C-41 (Licenciado Carlos A. Madrazo),C-40 (Ernesto Aguirre Colorado),El Cedro,Melchor Ocampo,C-31 (General Francisco Villa),Libertad,Anacleto Canabal 1ra. Seccin,C-32 (Licenciado Francisco Trujillo Gurra),Soyataco,Cucuyulapa,Ro Seco y Montaa 2da. Seccin,Huimango,Buena Vista Ro Nuevo 3ra. Seccin,Poblado C-16 General Emiliano Zapata,Poblado C-09 Licenciado Francisco I. Madero,Lomitas,Benito Jurez (Campo Magallanes),Fraccionamiento Ocuiltzapotln Dos,Jalupa,Ixtacomitn,Jalapa,Anacleto Canabal 2da. Seccin,Quintn Arauz,Aldama,Ixtacomitn 1ra. Seccin,Miguel Hidalgo,Poblado C-28 Coronel Gregorio Mndez Magaa,Medelln y Pigua 3ra. Seccin,Santa Rosala (Miguel Hidalgo 2da. Seccin),Buena Vista Ro Nuevo 1ra. Seccin,La Lima,Ayapa,Buena Vista Ro Nuevo 2da. Seccin,Guapinol,Luis Gil Prez,Macultepec,Ro Viejo 1ra. Seccin,Coronel Andrs Snchez Magallanes,Chichicapa,Jurez,Chontalpa (Estacin Chontalpa),La Selva,Medelln y Madero 2da. Seccin,Once de Febrero 1ra. Seccin,Tacotalpa,Vicente Guerrero,Bosque de Saloya,La Venta,Tamult de las Sabanas,Parrilla,Tecolutilla,Pomoca,Parrilla II,Nacajuca,Pichucalco,Jalpa de Mndez,Ocuiltzapotln,Cunduacn,Playas del Rosario (Subteniente Garca),Frontera,Paraso,Reforma,Teapa,Huimanguillo,Agua Dulce,Comalcalco,Las Choapas,Crdenas,Villahermosa, 
Lzaro Crdenas 2da. Seccin,55.662,59.64,34.52,40.145,83.637,36.477,59.525,85.871,7.922,61.721,25.77,10.322,73.896,44.687,68.681,58.902,45.843,60.294,50.715,24.25,56.203,0,63.87,72.909,70.395,74.809,37.683,18.643,97.015,44.431,8.061,19.568,20.485,140.181,61.31,42.082,58.398,59.905,53.34,116.993,66.752,74.686,53.087,49.156,18.321,136.702,36.719,68.002,63.984,81.582,69.3,32.116,79.512,17.959,12.57,57.18,62.066,16.528,43.619,52.172,54.751,5.369,58.255,48.407,30.138,44.975,34.996,18.111,66.727,73.093,16.278,110.09,32.827,33.928,97.507,52.064,1.147,64.547,64.58,11.159,60.419,56.407,21.682,47.711,20.848,22.251,49.421,23.201,19.278,30.383,32.006,13.974,130.526,49.631,63.112,83.398,13.416,29.172,47.034,69.378,73.338,12.119,115.728,45.911,20.094,63.894,20.462,25.407,32.581,86.69,45.44,30.538,27.652,26.934,91.523,68.67,29.718,66.442,63.327,132.537,50.7,140.211,42.127,9.654, 
Poblado C-33 20 de Noviembre,76.766,11.198,65.118,78.541,32.035,70.467,80.065,32.375,66.39,8.225,84.239,68.791,70.868,44.753,88.719,28.906,60.539,80.834,74.367,82.719,76.493,63.87,0,89.466,18.058,22.379,77.672,78.808,54.513,70.177,57.92,74.695,80.65,102.077,18.807,102.247,118.563,43.634,22.86,177.158,5.089,19.691,66.592,18.611,78.485,86.239,96.884,128.167,27.809,39.08,129.465,85.266,108.57,78.124,72.735,17.415,9.427,76.693,28.893,19.565,44.496,66.113,8.841,74.153,37.08,24.486,60.741,63.417,24.224,30.59,76.443,59.627,92.992,71.88,157.672,112.229,61.436,81.104,50.84,71.324,56.581,13.905,81.847,36.139,61.996,82.416,76.736,57.979,79.443,68.627,92.171,74.139,80.063,67.422,73.964,45.294,73.581,89.337,38.377,129.543,133.503,72.284,65.265,106.076,80.259,56.594,80.626,85.572,77.099,96.311,71.186,90.703,53.194,87.099,151.688,85.227,64.496,126.607,32.42,82.074,65.723,89.748,24.024,69.819, 
Puerto Ceiba,17.384,88.818,45.207,44.679,88.039,42.573,9.553,87.978,75.43,90.898,97.258,77.831,41.351,45.27,2.503,67.251,33.44,9.435,28.911,84.291,13.747,72.909,89.466,0,92.248,76.234,46.864,87.8,81.062,36.037,66.912,88.725,62.449,162.034,70.979,78.914,50.721,43.919,65.626,186.15,92.201,84.324,29.975,74.605,88.841,162.151,79.033,38.082,85.836,81.841,138.457,54.662,25.915,67.215,72.785,82.629,87.516,68.645,58.748,77.621,54.383,75.105,83.705,39.721,66.496,66.828,42.283,73.594,71.492,62.641,65.768,135.539,78.216,49.984,166.664,121.221,70.428,9.706,40.908,80.316,36.747,81.856,86.888,53.028,72.173,91.408,32.446,68.156,88.435,78.804,77.46,83.131,155.975,27.67,108.067,105.251,73.754,79.007,50.265,138.535,32.786,73.776,141.177,73.475,89.251,31.526,68.635,94.564,49.721,155.847,45.094,76.398,47.13,96.091,72.211,4.897,74.673,135.599,85.179,157.986,24.437,165.66,63.98,78.811, 
Ocuapan,79.695,28.335,71.643,85.066,49.172,76.992,82.994,49.512,72.916,25.362,90.764,75.316,82.111,51.278,91.648,40.149,63.468,83.763,77.296,89.244,79.422,70.395,18.058,92.248,0,39.614,86.77,87.905,65.801,77.354,67.017,83.792,89.747,84.971,30.095,111.344,127.66,54.922,34.148,109.868,22.481,36.828,72.916,29.899,87.583,103.474,105.981,137.264,9.785,50.368,84.144,94.363,114.894,87.221,81.832,15.184,13.853,85.79,37.905,20.396,57.686,75.21,17.647,83.251,46.177,31.188,69.839,72.514,35.512,41.878,85.54,76.862,102.089,80.978,90.382,121.326,70.533,87.427,62.128,80.421,80.248,25.193,90.944,45.151,71.093,91.513,83.06,67.076,88.54,77.724,101.268,83.236,97.298,73.746,55.94,28.188,82.678,98.434,47.389,138.64,142.6,81.381,82.5,115.173,89.356,83.723,89.724,94.669,86.197,78.287,80.284,99.8,62.292,96.196,160.785,91.55,47.858,135.704,14.396,99.309,72.047,106.983,32.398,78.916, 
Poblado C-15 Adolfo Lpez Mateos,63.681,11.609,76.057,76.092,14.098,81.406,64.4,16.447,77.33,15.496,95.178,79.73,55.623,33.47,75.634,13.661,47.636,65.169,62.702,93.658,63.408,74.809,22.379,76.234,39.614,0,88.726,89.862,27.317,59.185,68.974,85.749,91.704,133.164,12.563,113.301,129.617,28.434,22.688,188.212,21.523,13.75,46.959,25.884,89.539,95.256,107.938,139.221,56.967,11.884,140.519,96.32,96.725,89.178,83.789,35.627,26.566,87.747,39.947,30.619,29.296,77.167,22.755,71.123,48.134,35.539,50.86,74.471,8.427,15.391,87.497,50.383,104.046,82.934,168.726,123.283,72.49,67.744,35.64,82.378,41.381,19.776,92.901,24.754,73.05,93.47,64.891,69.033,90.497,79.681,103.225,85.193,70.82,55.577,98.903,76.381,84.635,100.391,28.285,140.597,103.596,83.338,74.282,117.13,91.313,41.394,91.68,96.626,88.153,157.909,82.24,101.757,64.248,98.153,162.742,69.096,75.55,137.661,56.31,91.091,51.962,98.765,35.078,80.873, 
Tapotzingo,28.187,77.024,17.751,2.246,85.379,12.261,37.48,103.254,34.19,79.104,38.202,31.92,54.974,45.916,49.991,67.896,36.497,41.372,17.914,36.682,33.585,37.683,77.672,46.864,86.77,88.726,0,44.455,82.956,14.727,40.643,45.38,18.325,154.338,75.467,50.724,57.771,48.249,67.497,140.049,80.909,88.843,34.305,63.313,28.905,150.859,24.963,61.16,78.141,81.31,92.356,8.868,48.993,23.091,28.661,71.337,76.224,24.521,51.556,66.329,56.302,37.815,72.413,7.143,54.728,59.132,22.762,46.467,80.884,66.971,21.644,124.247,32.138,10.569,120.563,75.12,39.13,37.42,45.238,36.971,41.077,70.564,35.16,54.947,48.55,45.306,14.72,47.792,42.333,57.536,31.38,39.786,144.683,24.687,87.703,97.555,29.63,32.927,52.184,92.434,55.864,29.652,129.885,45.285,43.149,44.552,24.511,48.462,5.124,109.746,9.933,30.318,26.765,49.989,90.897,41.543,54.309,89.498,77.484,146.694,29.344,154.368,56.284,34.895, 
Boquern 4ta. Seccin (Laguna Nueva),74.181,78.159,53.039,46.617,102.156,42.95,78.044,104.39,15.312,80.24,26.084,15.583,92.415,63.206,87.2,77.421,64.362,78.813,57.346,24.564,74.722,18.643,78.808,87.8,87.905,89.862,44.455,0,111.925,59.341,22.971,2.221,31.254,111.688,76.22,46.326,62.642,74.815,68.25,116.596,81.661,89.595,67.997,64.066,22.304,151.611,40.963,72.246,78.894,96.492,68.903,41.707,83.756,22.218,16.829,72.09,76.976,20.787,58.529,67.082,69.661,16.322,73.165,51.655,45.048,59.885,49.906,19.273,81.637,88.003,29.799,124.999,37.071,43.52,97.11,51.667,21.458,79.457,79.49,8.149,75.329,71.317,25.926,62.621,23.669,21.854,64.331,22.95,18.881,13.378,36.25,5.358,145.435,64.541,58.072,98.308,17.675,33.416,61.944,68.981,77.582,16.378,130.637,50.155,19.697,78.804,24.445,25.01,42.172,86.293,48.448,34.782,42.562,26.537,95.767,83.58,24.679,66.045,78.237,147.446,65.61,155.12,57.037,12.967, 
Azucena 2da. Seccin,66.073,37.53,82.381,79.475,13.823,79.747,63.204,29.064,99.536,41.418,117.384,101.936,51.086,52.609,80.462,34.702,50.028,63.973,66.085,115.864,60.986,97.015,54.513,81.062,65.801,27.317,82.956,111.925,0,72.885,91.18,107.955,113.91,155.37,36.893,135.507,151.823,39.731,44.895,210.418,47.445,26.367,50.465,48.091,111.745,101.498,130.144,118.614,79.173,16.699,162.725,88.52,106.446,111.384,105.995,57.833,52.753,109.953,62.153,52.825,42.204,99.373,48.942,75.526,70.34,57.745,71.019,96.677,30.635,31.57,109.703,63.001,126.252,83.049,190.932,145.489,94.696,71.25,39.146,104.584,44.887,41.983,115.107,48.881,95.256,115.676,69.294,91.239,112.703,101.887,125.431,107.399,83.438,59.98,121.109,98.587,106.841,122.597,52.412,162.803,113.317,105.544,80.524,139.336,113.519,40.84,113.886,118.832,83.579,180.115,77.665,123.963,75.866,120.359,184.948,79.194,97.756,159.867,78.516,97.333,55.468,105.007,57.284,103.079, 
Iquinuapa,18.403,69.529,11.968,11.631,75.595,11.518,27.696,75.748,46.952,71.609,46.944,49.353,45.19,26.834,35.437,48.815,20.926,31.588,7.793,45.424,23.801,44.431,70.177,36.037,77.354,59.185,14.727,59.341,72.885,0,39.214,61.027,26.581,143.437,52.381,61.183,68.23,37.169,47.028,148.306,73.603,65.726,23.225,56.007,37.162,143.553,35.422,57.505,67.239,70.23,100.613,18.794,45.338,31.347,36.917,64.031,68.918,32.777,40.151,59.023,35.786,47.407,65.107,6.851,47.394,48.231,11.306,45.896,52.894,55.891,29.9,116.941,42.597,13.323,128.82,83.377,42.73,26.34,34.158,52.618,29.997,63.258,43.417,34.43,44.475,53.563,3.64,40.458,50.59,51.106,41.839,55.433,137.377,13.607,80.369,86.654,37.886,43.386,31.667,100.691,52.209,37.908,122.579,55.744,51.406,33.472,32.767,56.719,13.853,118.003,7.939,40.777,19.431,58.246,101.356,30.463,46.975,97.755,66.582,139.388,18.264,147.062,45.383,51.113, 
Gonzlez 1ra. Seccin,53.293,57.272,32.151,42.805,81.268,38.988,57.156,83.502,10.582,59.352,28.43,12.983,71.527,42.318,66.312,56.534,43.474,57.925,48.346,26.91,53.834,8.061,57.92,66.912,67.017,68.974,40.643,22.971,91.18,39.214,0,23.105,24.022,135.233,56.361,45.619,61.935,54.956,48.391,120.531,61.803,69.737,48.139,44.207,21.858,131.753,40.256,71.539,59.036,76.633,72.838,35.653,83.049,21.496,16.107,52.232,57.118,20.065,38.67,47.224,49.802,9.486,53.307,43.459,25.19,40.027,30.048,21.648,61.778,68.144,19.815,105.141,36.364,37.465,101.045,55.602,4.809,59.599,59.632,14.696,55.471,51.458,25.219,42.762,24.385,25.789,44.473,18.253,22.816,28.901,35.543,17.511,125.577,44.683,58.164,78.45,16.953,32.709,42.085,72.916,76.875,15.656,110.779,49.448,23.632,58.946,23.999,28.945,36.118,90.228,40.492,34.075,22.704,30.472,95.06,63.722,24.77,69.98,58.379,127.588,45.752,135.262,37.179,13.192, 
Boquern 1ra. Seccin (San Pedro),75.106,74.046,53.964,47.542,98.043,43.875,78.969,100.277,16.237,76.127,27.009,16.508,93.34,59.093,88.125,73.308,65.287,79.738,58.271,25.489,75.647,19.568,74.695,88.725,83.792,85.749,45.38,2.221,107.955,61.027,23.105,0,32.18,109.607,72.14,47.252,63.568,70.735,64.17,117.522,77.582,85.516,63.97,59.986,23.23,147.532,41.889,73.172,74.815,92.412,69.829,42.633,84.682,23.144,17.755,68.011,72.897,21.713,54.449,63.003,65.581,17.248,69.086,52.581,40.968,55.806,45.879,17.192,77.557,83.923,30.725,120.92,37.997,44.446,98.036,52.593,22.384,75.43,75.463,9.075,71.302,67.237,26.852,58.541,21.588,22.78,60.304,20.869,19.807,11.297,37.176,6.283,141.356,60.514,55.991,94.229,18.601,34.342,57.864,69.907,78.508,17.304,126.558,51.081,20.623,74.777,25.371,25.936,43.098,87.219,49.374,35.708,38.535,27.463,96.693,79.553,22.598,66.971,74.158,143.367,61.583,151.041,52.958,13.893, 
Saloya 1ra. Seccin,41.825,80.001,21.135,20.487,103.998,16.819,51.118,106.232,18.171,82.082,22.182,15.901,68.612,49.446,58.859,79.263,50.135,55.01,31.215,20.662,47.223,20.485,80.65,62.449,89.747,91.704,18.325,31.254,113.91,26.581,24.022,32.18,0,156.72,77.849,36.884,43.931,60.565,69.879,124.006,83.291,91.225,46.621,65.695,12.862,153.241,11.123,53.536,80.523,98.121,76.313,12.735,65.046,7.048,12.618,73.719,78.605,8.478,60.158,68.711,57.035,21.772,74.794,22.682,46.677,61.514,31.677,30.424,83.266,89.632,4.657,126.629,18.298,14.547,104.52,59.077,23.087,49.736,57.554,20.928,53.393,72.946,19.117,64.25,32.507,29.263,27.036,39.74,26.29,41.493,17.54,23.743,147.065,37.003,79.651,99.937,13.587,19.087,63.573,76.391,58.872,13.609,132.267,31.445,27.106,56.868,8.468,32.419,13.199,93.703,19.475,16.478,31.119,33.946,77.057,53.859,46.257,73.455,79.866,149.076,41.66,156.75,58.666,18.852, 
Ostuacn,149.481,121.462,141.429,154.852,145.458,146.778,152.78,147.692,142.702,123.542,160.55,145.102,168.058,121.064,161.434,120.724,133.254,153.549,147.082,159.03,149.208,140.181,102.077,162.034,84.971,133.164,154.338,111.688,155.37,143.437,135.233,109.607,156.72,0,120.326,177.554,193.87,128.502,112.356,103.068,106.501,133.702,139.125,108.172,153.793,195.718,172.191,203.474,78.205,140.598,82.228,160.573,181.103,153.431,148.042,91.026,98.758,152,104.114,103.635,123.896,141.42,102.552,149.461,112.387,97.397,136.049,106.078,125.743,132.109,151.75,169.106,168.299,147.188,83.582,127.855,136.743,153.637,132.602,146.631,146.457,115.423,157.154,111.36,137.303,157.723,149.269,133.286,154.75,103.559,167.478,149.446,189.542,139.955,54.025,56.946,148.888,164.644,113.598,112.873,208.81,147.591,174.744,181.383,155.566,149.932,155.934,133.614,152.407,71.488,146.494,166.01,128.502,131.587,226.995,157.76,87.538,95.392,78.803,191.553,138.256,149.139,98.608,145.126, 
Poblado C-20 Miguel Hidalgo y Costilla,58.426,11.806,62.558,75.981,26.98,67.907,61.725,29.329,63.831,20.239,81.679,66.231,53.204,26.795,70.379,11.241,42.199,62.494,56.027,80.159,58.153,61.31,18.807,70.979,30.095,12.563,75.467,76.22,36.893,52.381,56.361,72.14,77.849,120.326,0,99.802,116.118,26.015,9.189,174.713,21.734,14.367,44.54,12.386,76.04,91.684,94.439,125.722,43.468,21.461,127.02,82.821,90.015,75.679,70.29,22.128,17.048,74.248,26.448,17.12,26.877,63.668,13.237,71.708,34.635,22.04,44.15,60.972,6.606,12.972,73.998,65.072,90.547,69.435,155.227,109.784,58.991,62.549,33.221,68.879,38.962,6.277,79.402,18.228,59.551,79.971,58.181,55.534,76.998,66.182,89.726,71.694,85.508,48.867,85.404,62.882,71.136,86.892,21.575,127.098,96.886,69.839,70.71,103.631,77.814,38.975,78.181,83.127,74.654,144.41,68.741,88.258,50.749,84.654,149.243,66.672,62.051,124.162,42.811,87.519,47.168,95.193,21.579,67.374, 
Buena Vista 1ra. Seccin,76.427,101.598,55.737,52.886,125.595,51.421,87.913,127.829,38.751,103.679,33.913,35.875,115.854,86.645,82.041,100.86,87.801,87.795,65.817,20.946,81.825,42.082,102.247,78.914,111.344,113.301,50.724,46.326,135.507,61.183,45.619,47.252,36.884,177.554,99.802,0,31.822,98.715,92.15,140.581,105.562,113.496,91.898,87.966,26.144,175.512,24.893,41.426,102.794,120.392,92.888,42.136,52.936,33.677,35.586,95.99,100.876,33.102,82.429,90.982,93.561,40.222,97.065,57.26,68.948,83.785,73.807,47.677,105.537,111.903,39.087,148.9,24.076,49.125,121.095,75.652,45.358,88.003,103.391,37.041,99.23,95.217,21.509,86.521,49.76,45.839,61.614,53.132,42.865,58.746,23.32,39.856,169.336,71.581,101.922,122.208,36.432,15.243,85.844,92.966,46.762,35.524,154.538,5.44,43.681,102.705,33.814,48.995,46.274,110.278,54.053,17.943,66.463,50.522,64.947,83.194,68.528,90.03,102.137,171.347,89.511,179.021,80.937,34.965, 
Simn Sarlat,67.551,117.914,62.784,59.933,141.911,58.468,59.72,144.145,55.067,119.995,50.229,52.191,91.518,102.961,53.848,117.176,104.117,59.602,72.864,37.262,63.914,58.398,118.563,50.721,127.66,129.617,57.771,62.642,151.823,68.23,61.935,63.568,43.931,193.87,116.118,31.822,0,114.32,107.755,156.186,121.167,129.101,80.079,103.571,41.748,191.117,31.94,13.233,118.399,135.997,108.493,49.184,24.743,49.282,51.191,111.595,116.481,48.707,98.034,106.587,109.166,55.827,112.67,64.308,84.553,99.39,89.412,63.282,121.142,127.508,54.692,164.505,31.123,56.173,136.7,91.257,60.963,59.81,91.012,52.646,86.851,110.822,39.795,102.126,65.365,61.444,68.662,68.737,58.47,74.351,30.368,55.461,184.941,66.238,117.527,137.813,52.037,31.915,101.449,108.571,18.569,51.129,170.143,26.383,59.286,81.63,49.419,64.6,53.322,125.883,61.101,29.306,82.068,66.127,36.753,55.001,84.133,105.635,117.742,186.952,74.541,194.626,96.542,50.57, 
Arena 1ra. Seccin,31.366,37.857,40.579,44.768,37.763,45.04,32.085,43.077,62.426,45.066,80.274,64.826,31.873,15.568,43.319,15.997,14.202,32.854,31.378,78.754,31.093,59.905,43.634,43.919,54.922,28.434,48.249,74.815,39.731,37.169,54.956,70.735,60.565,128.502,26.015,98.715,114.32,0,23.178,174.085,46.561,40.38,14.75,26.369,75.412,116.511,69.433,77.58,52.307,32.293,126.392,52.805,65.413,65.358,69.662,38.207,41.875,73.62,25.218,33.199,5.154,63.04,38.064,39.811,34.007,33.298,29.753,60.344,21.043,17.954,63.911,89.899,89.919,47.334,154.599,109.156,58.363,35.535,6.392,68.251,10.146,31.104,78.774,17.452,58.923,79.343,33.579,54.906,76.37,65.554,89.098,71.066,110.335,24.265,94.243,71.721,70.508,86.264,16.232,126.47,72.284,69.211,95.537,103.003,77.186,12.367,77.553,82.499,47.864,143.782,41.95,87.63,32.554,84.026,111.709,36.887,61.423,123.534,51.65,112.346,19.753,120.02,30.451,66.746, 
Poblado C-29 General Vicente Guerrero,53.073,16.162,54.588,64.064,34.982,59.937,56.372,37.331,55.861,24.292,73.709,58.261,54.36,21.442,65.026,10.215,36.846,57.141,50.674,72.189,52.8,53.34,22.86,65.626,34.148,22.688,67.497,68.25,44.895,47.028,48.391,64.17,69.879,112.356,9.189,92.15,107.755,23.178,0,166.742,25.786,22.569,42.719,4.377,68.069,95.736,86.467,117.75,35.497,29.593,119.049,74.849,84.697,67.707,62.318,16.214,21.1,66.276,18.477,11.206,23.304,55.696,17.289,59.095,26.663,14.069,38.832,53,14.738,21.104,66.026,69.124,82.575,61.464,147.256,101.813,51.019,57.231,28.834,60.907,32.588,9.409,71.43,12.908,51.579,72,52.863,47.562,69.027,58.21,81.754,63.722,89.56,43.549,77.433,54.911,63.164,78.92,16.257,119.127,91.568,61.867,74.762,95.659,69.843,36.412,70.21,75.156,66.683,136.439,60.77,80.286,42.778,76.683,141.271,61.354,54.079,116.191,34.84,91.571,41.85,99.245,13.608,59.403, 
Chapultenango,172.531,176.51,142.86,142.211,200.506,138.544,176.394,202.74,113.663,178.59,122.14,110.78,190.765,161.556,185.55,175.772,162.712,177.163,152.94,120.62,173.072,116.993,177.158,186.15,109.868,188.212,140.049,116.596,210.418,148.306,120.531,117.522,124.006,103.068,174.713,140.581,156.186,174.085,166.742,0,184.572,192.506,170.908,166.976,114.349,254.522,132.962,164.245,101.355,199.402,47.7,133.752,175.755,116.353,111.985,117.447,179.886,117.764,161.439,169.992,172.571,119.233,176.075,143.7,147.958,116.308,152.817,119.707,184.547,190.913,121.763,227.91,129.07,135.565,20.138,87.064,124.368,182.368,182.401,109.302,178.24,174.227,117.925,165.531,123.029,97.271,148.054,126.401,98.98,88.745,128.249,112.117,248.346,167.452,53.615,116.856,112.831,125.415,164.854,72.082,169.581,111.534,233.548,142.154,97.654,181.715,116.49,92.823,134.217,32.061,140.493,126.781,145.473,90.796,187.766,186.491,83.509,54.601,97.054,250.357,168.521,258.031,159.947,109.343, 
C-34 (Licenciado Benito Jurez Garca),79.648,9.887,68,81.423,30.994,73.349,82.947,26.957,69.272,6.914,87.121,71.673,73.75,47.635,91.601,31.788,63.421,83.716,77.249,85.601,79.375,66.752,5.089,92.201,22.481,21.523,80.909,81.661,47.445,73.603,61.803,77.582,83.291,106.501,21.734,105.562,121.167,46.561,25.786,184.572,0,18.838,69.475,21.494,81.368,76.552,99.767,131.05,32.232,32.012,132.348,88.149,111.453,81.007,75.618,27.456,13.85,79.576,31.776,22.448,47.379,68.996,16.553,77.036,39.963,27.369,63.624,66.3,27.107,33.473,79.326,49.493,95.875,74.763,160.555,115.112,64.319,83.987,53.723,74.207,59.464,16.788,84.73,39.022,64.879,85.299,79.619,60.862,82.326,71.51,95.054,77.022,69.929,70.305,78.387,49.717,76.464,92.22,41.26,132.426,136.386,75.167,55.578,108.959,83.142,59.477,83.509,88.455,79.982,149.738,74.069,93.586,56.077,89.982,154.571,88.11,67.379,129.49,48.139,72.387,68.606,80.061,26.907,72.702, 
Poblado C-22 Licenciado Jos Mara Pino Surez,71.771,12.583,75.934,89.357,13.431,81.283,75.07,15.996,77.207,12.182,95.055,79.607,67.569,40.14,83.724,25.607,55.544,75.839,69.372,93.535,71.498,74.686,19.691,84.324,36.828,13.75,88.843,89.595,26.367,65.726,69.737,85.516,91.225,133.702,14.367,113.496,129.101,40.38,22.569,192.506,18.838,0,58.905,25.643,89.292,75.366,107.69,138.973,46.457,19.789,140.272,96.072,103.273,88.93,83.541,35.38,28.288,87.499,39.7,30.372,41.242,76.919,24.477,84.96,47.886,35.292,57.408,74.223,20.373,27.337,87.249,48.307,103.798,82.687,168.479,123.036,72.242,75.807,47.586,82.13,53.327,19.535,92.653,31.484,72.802,93.223,71.439,68.785,90.25,79.433,102.977,84.945,68.743,62.125,98.656,76.134,84.387,100.143,34.833,140.35,144.309,83.09,54.392,116.882,91.066,53.34,91.433,96.379,87.906,157.662,81.993,101.509,64.001,97.906,162.494,79.93,75.302,137.414,56.063,71.201,60.426,78.875,34.831,80.626, 
Reyes Hernndez 2da. Seccin,17.422,65.944,34.991,30.824,53.175,31.096,16.586,61.602,55.608,68.024,73.457,58.009,29.176,22.396,29.375,30.747,3.635,17.355,17.434,71.937,17.149,53.087,66.592,29.975,72.916,46.959,34.305,67.997,50.465,23.225,48.139,63.97,46.621,139.125,44.54,91.898,80.079,14.75,42.719,170.908,69.475,58.905,0,51.699,65.996,139.245,55.489,63.636,62.931,47.811,116.975,38.861,51.469,51.414,60.245,59.723,64.61,52.844,35.843,54.715,17.613,53.623,60.799,25.867,43.59,43.923,20.801,52.112,39.674,33.472,49.967,112.633,62.664,33.39,145.182,99.739,48.946,21.591,11.739,58.834,7.578,58.95,69.357,30.122,50.691,69.926,19.635,46.674,66.953,57.322,79.681,61.649,133.069,10.321,86.585,82.346,61.091,76.847,27.359,117.053,58.34,59.794,118.271,93.586,67.769,11.053,52.834,73.082,33.92,134.365,28.006,78.213,25.648,74.609,97.765,25.714,53.191,114.117,62.274,135.08,5.809,142.754,41.075,57.329, 
Arroyo Hondo 1ra. Seccin (Santa Teresa A),62.052,17.962,50.404,63.827,38.178,55.753,65.351,44.193,51.677,20.043,69.525,54.077,57.551,30.039,74.005,13.406,45.825,66.12,59.653,68.005,61.779,49.156,18.611,74.605,29.899,25.884,63.313,64.066,48.091,56.007,44.207,59.986,65.695,108.172,12.386,87.966,103.571,26.369,4.377,166.976,21.494,25.643,51.699,0,63.821,91.488,82.219,113.502,31.249,32.658,114.801,70.601,93.906,63.459,58.07,11.966,16.852,62.028,14.229,6.958,26.495,51.448,13.041,59.489,22.415,9.821,46.077,48.752,17.803,24.169,61.778,64.876,78.327,57.216,143.008,97.565,46.771,66.44,32.025,56.659,35.779,7.483,67.182,15.392,47.331,67.752,62.072,43.314,64.779,53.962,77.506,59.474,85.312,52.758,73.185,50.663,58.916,74.672,18.741,114.879,118.838,57.619,70.514,91.411,65.595,39.603,65.962,70.908,62.435,132.191,56.522,76.038,38.53,72.435,137.023,70.563,49.831,111.943,30.592,87.323,51.059,94.997,9.36,55.155, 
Samarkanda,52.406,77.837,31.716,31.067,101.833,27.4,61.699,104.067,14.99,79.917,11.382,10.069,79.193,62.883,91.968,77.099,64.04,65.591,41.796,6.183,57.804,18.321,78.485,88.841,87.583,89.539,28.905,22.304,111.745,37.162,21.858,23.23,12.862,153.793,76.04,26.144,41.748,75.412,68.069,114.349,81.368,89.292,65.996,63.821,0,151.338,21.489,52.773,78.62,96.218,68.714,23.103,64.283,5.704,7.613,71.816,76.702,5.129,58.255,66.808,69.387,16.048,72.891,33.051,44.774,59.611,49.633,23.503,81.363,87.729,11.114,124.726,17.597,24.916,96.921,51.478,21.184,60.105,79.217,12.867,75.056,71.043,6.453,62.347,25.586,21.665,37.405,28.958,18.691,34.572,16.777,15.682,145.162,47.372,77.748,98.034,8.459,13.943,61.67,68.792,58.109,7.551,130.364,30.682,19.507,78.531,5.841,24.821,23.568,86.104,29.844,15.308,42.289,26.348,76.294,64.228,44.354,65.856,77.963,147.173,52.029,154.847,56.763,10.791, 
